P,species,n,mean,std,sem
2,A,200,83725.57109226445,1184057.3302719344,83725.49675489243
2,M,200,0.896364378843204,0.10930355023920973,0.007728928158190968
3,A,200,140508.3993200513,1411778.4398129717,99827.81083247164
3,M,200,0.8878192059043255,0.1179650062257381,0.008341385584493271
4,A,200,409496.2912130258,2192817.0009673657,155055.57712851724
4,M,200,0.8656610210884799,0.12547737635008935,0.00887259037026447
5,A,200,508879.1362683718,2561970.9402160957,181158.70250296762
5,M,200,0.8843462369533179,0.12463949421210561,0.008813343156104133
6,A,200,421713.64122217364,1867235.6040709873,132033.49577115546
6,M,200,0.42811811419187534,0.06955692098854553,0.004918417050945744
7,A,200,260269.8287807632,1225509.0019108485,86656.57256563185
7,M,200,0.020523467307657858,0.01013963182370759,0.0007169802421278556
8,A,200,232283.70583049723,966310.390110708,68328.46295782998
8,M,200,0.19401867433059158,0.029644812635063567,0.0020962048041258093
9,A,200,254519.5193171815,1082425.46917981,76539.0389386074
9,M,200,0.006953337638010908,0.005687278949924159,0.000402151351199088
