P,species,n,mean,std,sem,median,q25,q75,iqr
2,A,200,83725.57109226445,1184057.3302719344,83725.49675489243,0.0696004306111336,0.06278213715372358,0.08020573176826862,0.01742359461454504
2,M,200,0.896364378843204,0.10930355023920973,0.007728928158190968,0.9055725594470313,0.8446427697907696,0.9518781397373679,0.10723536994659832
3,A,200,140508.3993200513,1411778.439812972,99827.81083247166,0.057050104836009,0.04837334831047907,0.06628414562912127,0.017910797318642202
3,M,200,0.8878192059043255,0.1179650062257381,0.008341385584493271,0.8958619253159363,0.8392512753855214,0.9496682954203008,0.11041702003477949
4,A,200,409496.29121302575,2192817.0009673657,155055.57712851724,0.06401908103102585,0.0539144169575816,0.07817719480011329,0.02426277784253169
4,M,200,0.8656610210884799,0.12547737635008935,0.00887259037026447,0.8828673856349987,0.8275939225447322,0.9327313650016619,0.10513744245692969
5,A,200,508879.1362683718,2561970.9402160957,181158.70250296762,0.08055568648080914,0.06495177534639929,0.09857937989182608,0.03362760454542679
5,M,200,0.8843462369533179,0.12463949421210561,0.008813343156104133,0.8973401882738912,0.8454720900959999,0.9463384390647034,0.1008663489687035
6,A,200,421713.64122217364,1867235.6040709876,132033.49577115546,0.049924504047084844,0.0400350183581514,0.06993504815259527,0.029900029794443866
6,M,200,0.42811811419187534,0.06955692098854553,0.004918417050945744,0.43902575166445346,0.4120118223263231,0.4658566698146176,0.05384484748829449
7,A,200,260269.8287807632,1225509.0019108485,86656.57256563185,0.0422412441747925,0.0308890398053471,0.0567475017507949,0.025858461945447796
7,M,200,0.020523467307657813,0.010139631823707593,0.0007169802421278558,0.01772319560359515,0.015250702268125275,0.02244395771581995,0.007193255447694674
8,A,200,232283.70583049723,966310.390110708,68328.46295782998,0.0340814553518058,0.0261416033136068,0.046127611514112925,0.019986008200506125
8,M,200,0.19401867433059156,0.02964481263506357,0.0020962048041258093,0.1986341964445245,0.18342009592228098,0.21285074264499765,0.02943064672271667
9,A,200,254519.5193171815,1082425.46917981,76539.0389386074,0.04185452635698045,0.0312674970871595,0.054151728381755825,0.022884231294596324
9,M,200,0.006953337638010857,0.005687278949924155,0.0004021513511990877,0.00548317326544305,0.004649298871382025,0.0069474908985570245,0.0022981920271749993
