P,species,n,mean,std,sem,median,q25,q75,iqr
2,A,50,0.06786147961360983,0.01166550788249326,0.0016497519459392211,0.06757833123955753,0.06146999328117067,0.07471027039434056,0.013240277113169885
2,M,50,0.9169485604168446,0.08750981930007305,0.012375757329498213,0.8994328271016534,0.8500978607966787,0.9645730643182725,0.1144752035215938
3,A,50,288023.22784662107,2036631.3855944923,288023.17270624393,0.05285575105438682,0.04733433258647713,0.06156596886023653,0.014231636273759396
3,M,50,0.9068033492907739,0.09041545967304268,0.01278667693178146,0.9127995135349484,0.8456022974816579,0.9495463442346033,0.10394404675294533
4,A,50,483030.7586703098,2395790.303005964,338815.9139112981,0.06215882822438218,0.05281178521108636,0.07960180146697615,0.026790016255889795
4,M,50,0.8884073169542971,0.0949049903013231,0.013421592442101817,0.8798891410857013,0.8442557894703986,0.9409093679760611,0.09665357850566247
5,A,50,1445061.3116940665,4469982.587878609,632150.9999349514,0.08593993040449355,0.06665789619262248,0.10942214357129595,0.04276424737867347
5,M,50,0.9021081911427034,0.09325811382832619,0.013188688937735277,0.9006550806891467,0.8505463410712473,0.950097749702538,0.09955140863129075
6,A,50,882540.3925974014,2813201.6438169247,397846.791837618,0.05059997314865883,0.04168357830138335,0.06682458881379105,0.025141010512407705
6,M,50,0.439486078641199,0.051721116725596344,0.007314470473442027,0.4436675894542116,0.4143435227290358,0.4665929552585895,0.05224943252955372
7,A,50,507600.27604348166,1721443.8054794187,243448.9176572146,0.04343082437606017,0.03367318881495575,0.05674128669586801,0.023068097880912262
7,M,50,0.019147254700886525,0.006830384314357839,0.000965962213358531,0.017136432036733998,0.014542205723801438,0.021946062859701597,0.007403857135900159
8,A,50,400677.0009906572,1200397.138205499,169761.7913084067,0.03652042082616199,0.02954452473863105,0.046489650940123924,0.016945126201492872
8,M,50,0.19878886017577166,0.023232649216784546,0.003285592761223337,0.19999876518789897,0.18551696302265072,0.2145497569898418,0.02903279396719108
9,A,50,316254.2498597465,1151417.5518980306,162835.0317848622,0.04366501244090165,0.03599655913744677,0.05646858664668841,0.020472027509241646
9,M,50,0.005616236758282112,0.001985197162822439,0.00028074927516480826,0.005106123508623321,0.004234379786917181,0.006256803172477624,0.0020224233855604436
