experiment,label,P,species,n,mean,std,sem,median,q25,q75,iqr
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,A,10,0.06856094806561588,0.010811296021170556,0.0034188319885214936,0.0697150171448695,0.059408786393810975,0.073440218929506,0.014031432535695026
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,M,10,0.9467594798971792,0.06556733056743488,0.020734210469027462,0.9296821123307397,0.8925655353290181,1.0011322367971967,0.1085667014681786
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,A,10,1440115.9248980077,4554046.221111133,1440115.862839396,0.055385540397285944,0.050489843559875305,0.08008545339320708,0.029595609833331774
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,M,10,0.9281663043559026,0.06315121207921885,0.019970166717066928,0.9204430645103843,0.8744073345697048,0.9793133441759003,0.10490600960619556
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,A,10,2662300.0787235345,5616441.671548484,1776074.802757652,0.06595806705122678,0.0598407546901363,0.11204987021357465,0.052209115523438356
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,M,10,0.9137237405602106,0.06723434143095534,0.02126136559032434,0.9046417088264489,0.853848354689456,0.9658890833174965,0.11204072862804049
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,A,10,2613226.6164844125,5575979.5881637875,1763279.5685205224,0.08602366316067919,0.07400900773718144,0.12159236577906814,0.047583358041886695
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,M,10,0.9314664249274586,0.06251730572242542,0.01976970792599427,0.9236833088948022,0.8844718798291488,0.9795867821626452,0.0951149023334964
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,A,10,1426752.8460689075,3025604.4834105005,956780.1466394315,0.05334418005160774,0.04281997960618146,0.07005230564407074,0.027232326037889276
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,M,10,0.4517435921690792,0.03796645880453519,0.01200604845132847,0.4523238894457261,0.4161645053921321,0.479349306085463,0.06318480069333088
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,A,10,617932.5024039773,1303661.7430442981,412254.04064451536,0.03777790232641376,0.033990796453379775,0.05188230447529222,0.017891508021912444
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,M,10,0.01696449857459697,0.002704646903361401,0.0008552844481143344,0.0171850218038927,0.01549145069792688,0.01920724234502106,0.00371579164709418
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,A,10,537375.9641906617,1133870.4975420441,358561.3343901211,0.03494137744247204,0.027300112789464346,0.04400296666134908,0.01670285387188473
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,M,10,0.2044211331922748,0.019926941785340255,0.006301452284325729,0.2062926177329611,0.1907354277910816,0.2154224322167297,0.024687004425648085
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,A,10,216797.545101329,490597.4658868616,155140.5406509241,0.04060469616524863,0.037335116388023,0.04779622747700265,0.010461111088979652
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,M,10,0.004889958596193292,0.0008725055752928734,0.0002759104889121013,0.004975413922902561,0.004313386004960105,0.005168169531508544,0.000854783526548439
