experiment,label,P,species,n,mean,std,sem,median,q25,q75,iqr
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,A,200,83725.57109226445,1184057.3302719344,83725.49675489243,0.06960043061113365,0.0627821371537236,0.08020573176826869,0.017423594614545082
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,M,200,0.896364378843204,0.10930355023920973,0.007728928158190968,0.9055725594470314,0.8446427697907696,0.9518781397373678,0.10723536994659821
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,A,200,140508.3993200513,1411778.4398129717,99827.81083247164,0.05705010483600908,0.04837334831047907,0.0662841456291213,0.01791079731864223
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,M,200,0.8878192059043255,0.1179650062257381,0.008341385584493271,0.8958619253159363,0.8392512753855214,0.9496682954203008,0.11041702003477949
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,A,200,409496.2912130258,2192817.0009673657,155055.57712851724,0.06401908103102588,0.05391441695758163,0.07817719480011333,0.024262777842531696
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,M,200,0.8656610210884799,0.12547737635008935,0.00887259037026447,0.8828673856349987,0.8275939225447322,0.9327313650016618,0.10513744245692958
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,A,200,508879.1362683718,2561970.9402160957,181158.70250296762,0.08055568648080916,0.06495177534639936,0.09857937989182616,0.033627604545426806
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,M,200,0.8843462369533179,0.12463949421210561,0.008813343156104133,0.8973401882738912,0.8454720900959999,0.9463384390647033,0.10086634896870339
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,A,200,421713.64122217364,1867235.6040709873,132033.49577115546,0.049924504047084865,0.040035018358151445,0.06993504815259532,0.02990002979444388
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,M,200,0.42811811419187534,0.06955692098854553,0.004918417050945744,0.43902575166445346,0.41201182232632316,0.4658566698146176,0.053844847488294434
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,A,200,260269.8287807632,1225509.0019108485,86656.57256563185,0.04224124417479254,0.030889039805347168,0.056747501750794925,0.025858461945447758
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,M,200,0.020523467307657858,0.01013963182370759,0.0007169802421278556,0.017723195603595216,0.015250702268125346,0.022443957715819987,0.007193255447694641
20260310_004106_reduced8_ADGHJKLM_100ep_lr1e-3_substeps10_1layer,reduced8_ADGHJKLM,8,A,200,133248.62305630877,598145.928851704,42295.30424301661,0.04321969770959082,0.035873033661927324,0.05165762411754782,0.015784590455620494
20260310_004106_reduced8_ADGHJKLM_100ep_lr1e-3_substeps10_1layer,reduced8_ADGHJKLM,8,M,200,0.03830913127360044,0.012055894452074082,0.000852480472033086,0.03699331215035119,0.033468239424097754,0.041167560872186114,0.00769932144808836
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,A,200,254519.5193171815,1082425.46917981,76539.0389386074,0.04185452635698053,0.031267497087159576,0.054151728381755845,0.02288423129459627
20260225_150509_reduced9_100ep_lr1e-3_substeps10_1layer,reduced9,9,M,200,0.006953337638010908,0.005687278949924159,0.000402151351199088,0.005483173265443077,0.004649298871382053,0.0069474908985571095,0.0022981920271750566
