experiment,label,P,sample_idx,species,nrmse
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,6,A,0.07872749383631747
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,6,M,0.8370543541133495
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,22,A,0.059533118700431646
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,22,M,0.8767783585065487
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,28,A,0.09739709221087192
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,28,M,1.213658288827903
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,32,A,0.0643036495284098
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,32,M,0.8550350832506466
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,34,A,0.07997133927227314
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,34,M,0.9696785419187652
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,37,A,0.06840301213641307
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,37,M,1.0473868262164303
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,53,A,0.0807935802882861
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,53,M,1.035621178443954
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,55,A,0.16736663292356757
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,55,M,1.1735866537508215
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,57,A,0.07857112101743623
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,57,M,0.9205475962589582
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,66,A,0.06111485927850707
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,66,M,0.9088937299876725
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,69,A,0.080402986609933
