experiment,label,P,sample_idx,species,nrmse
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,62,A,0.07906683566895492
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,62,M,0.8382049834488028
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,67,A,0.059951386396324385
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,67,M,1.0040276829509125
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,82,A,0.06395523694469342
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,82,M,0.9531623259989424
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,84,A,0.06216329053501104
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,84,M,1.0043476904250748
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,90,A,0.060451674361655466
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,90,M,0.8954221657195374
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,124,A,0.05883161231561515
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,124,M,0.9439859683669124
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,163,A,0.07142085181744247
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,163,M,1.1494744214314836
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,177,A,0.04022330210952135
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,177,M,0.8997527258907744
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,193,A,0.04853258195425673
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,193,M,0.9920464478564293
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,223,A,0.06979806725811462
