experiment,label,P,sample_idx,species,nrmse
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,85,A,0.07928679669343662
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,85,M,0.9278399664437437
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,88,A,0.05703291885073617
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,88,M,1.0281119875947025
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,94,A,0.08937834225396299
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,94,M,0.9315242582177357
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,201,A,0.05489941937384031
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,201,M,0.863960506404502
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,430,A,0.07011273179158703
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,430,M,0.8903830710011799
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,436,A,0.07438445363563355
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,436,M,1.0060291208799679
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,649,A,0.07060751481112339
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,649,M,1.0485344292357817
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,695,A,0.06206742833390845
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,695,M,0.8991129283125324
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,767,A,0.06931730249815198
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,767,M,0.9864415845488826
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,855,A,0.058522572413778486
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,855,M,0.8856569463327635
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,85,A,0.07040916337946865
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,85,M,0.9250861204976879
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,88,A,0.057975214412100906
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,88,M,0.9919392993518721
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,94,A,0.10436942463391766
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,94,M,0.8661404710704745
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,201,A,0.04064765232085734
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,201,M,0.8550194648077546
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,430,A,0.052134797831056345
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,430,M,0.8803018644728086
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,436,A,0.08331088339778656
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,436,M,0.9922578112122341
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,649,A,0.04994152546948163
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,649,M,1.041240033706459
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,695,A,14401158.690452576
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,695,M,0.9158000085230806
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,767,A,0.05279586638247098
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,767,M,0.941435478647985
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,855,A,0.046942975010437926
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,855,M,0.8724424912686702
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,85,A,0.06632955501285992
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,85,M,0.9282666686891695
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,88,A,0.06558657908959363
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,88,M,0.9947978311032669
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,94,A,13750874.996185303
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,94,M,0.8810167489637283
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,201,A,0.06085571131493983
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,201,M,0.8335245597793157
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,430,A,0.053199904557553204
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,430,M,0.8509503076463056
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,436,A,0.11341685559692387
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,436,M,0.9738928599624376
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,649,A,0.05950243581520179
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,649,M,1.0203423572777723
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,695,A,12872125.208377838
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,695,M,0.8625424958189072
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,767,A,0.10794891406352698
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,767,M,0.941877753382673
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,855,A,0.055832247153148225
20260308_173145_reduced4_AEIM_100ep_lr1e-3_substeps10_1layer,reduced4_AEIM,4,855,M,0.8500258229785279
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,85,A,0.09489986560964311
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,85,M,0.9378589583232013
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,88,A,0.07445462777701724
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,88,M,1.0027876475741064
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,94,A,11240506.917238235
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,94,M,0.8808410122678788
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,201,A,0.07386046772390284
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,201,M,0.8450338249892715
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,430,A,0.05694901204652812
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,430,M,0.8651648580666185
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,436,A,0.11709233231932209
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,436,M,0.985900573502241
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,649,A,0.06897540697450825
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,649,M,1.0315598244280484
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,695,A,14891758.561134338
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,695,M,0.909507659466403
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,767,A,0.12309237693231682
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,767,M,0.9606454081438573
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,855,A,0.07714746071171527
20260226_114357_reduced5_100ep_lr1e-3_substeps10_1layer,reduced5,5,855,M,0.8953644825129585
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,85,A,0.04990165564886819
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,85,M,0.4643429591384974
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,88,A,0.056786704454347275
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,88,M,0.4973882056628067
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,94,A,7827882.468700409
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,94,M,0.4090055070712172
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,201,A,0.04460448402316598
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,201,M,0.41093809482535676
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,430,A,0.03415724621753491
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,430,M,0.4318437370924583
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,436,A,0.06392453720321328
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,436,M,0.48250088423333276
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,649,A,0.03989601980062076
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,649,M,0.5076040790423627
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,695,A,6439645.58839798
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,695,M,0.40361306322995183
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,767,A,0.07209489512435656
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,767,M,0.46989457164185366
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,855,A,0.04222514480051995
20260308_174206_reduced6_ACFHKM_100ep_lr1e-3_substeps10_1layer,reduced6_ACFHKM,6,855,M,0.44030481975295477
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,85,A,0.03604993840467283
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,85,M,0.015912664347966125
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,88,A,0.05355998833561119
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,88,M,0.020139374329872447
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,94,A,2984343.282878399
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,94,M,0.01610188224313066
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,201,A,0.02652018687871744
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,201,M,0.01965093110011451
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,430,A,0.03396806913486679
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,430,M,0.018268161364654742
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,436,A,0.029747338048125627
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,436,M,0.01209865606046464
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,649,A,0.039505866248154685
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,649,M,0.0189233421555362
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,695,A,3194981.4409017563
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,695,M,0.013897052254800538
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,767,A,0.04684925289433531
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,767,M,0.0153510461479138
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,855,A,0.03405897840891874
20260225_144147_reduced7_100ep_lr1e-3_substeps10_1layer,reduced7,7,855,M,0.01930187574151601
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,85,A,0.04502824281034452
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,85,M,0.21416723148156855
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,88,A,0.037514328654796696
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,88,M,0.22648675063915563
20260308_182248_reduced8_ACEGIJLM_100ep_lr1e-3_substeps10_1layer,reduced8_ACEGIJLM,8,94,A,2586767.077445984
