scaffold,P,sample_idx,species,nrmse
reduced2,2,978,A,0.09143688150568441
reduced2,2,978,M,0.847850985231418
reduced2,2,933,A,0.08213041321351493
reduced2,2,933,M,0.9095709223390486
reduced2,2,859,A,0.10148937122298353
reduced2,2,859,M,0.8393448119265551
reduced2,2,916,A,0.4512976658432611
reduced2,2,916,M,0.7919555816403677
reduced2,2,127,A,0.09398286700445167
reduced2,2,127,M,0.9209322759251792
reduced2,2,608,A,0.11632375921031292
reduced2,2,608,M,0.9890244105448426
reduced2,2,856,A,0.15270921102666354
reduced2,2,856,M,0.7569628208996376
reduced2,2,260,A,0.08671446142084216
reduced2,2,260,M,1.0060045597277192
reduced2,2,147,A,0.15255035985231627
reduced2,2,147,M,1.1743995111527306
reduced2,2,810,A,0.10050366698676982
reduced2,2,810,M,0.999450304487829
reduced2,2,635,A,0.11977206779245804
reduced2,2,635,M,0.8423117641259451
reduced2,2,972,A,0.09365267415385997
reduced2,2,972,M,0.9640486642719105
reduced2,2,593,A,0.09647050853899787
reduced2,2,593,M,0.9046034926119965
reduced2,2,994,A,0.08519371666920164
reduced2,2,994,M,0.9097077496636476
reduced2,2,285,A,0.09612087086078835
reduced2,2,285,M,0.9200910256578252
reduced2,2,554,A,0.0949186615799531
reduced2,2,554,M,0.9645056047532027
reduced2,2,467,A,0.08351976485040886
reduced2,2,467,M,0.9081518280338448
reduced2,2,276,A,0.12275340778049992
reduced2,2,276,M,0.819183009228376
reduced2,2,55,A,0.27352141357742565
reduced2,2,55,M,1.1620253005297425
reduced2,2,61,A,0.11005531948952375
reduced2,2,61,M,1.0307033153709781
reduced2,2,839,A,0.08849462786671697
reduced2,2,839,M,0.8678245942999804
reduced2,2,425,A,0.07842744874668504
reduced2,2,425,M,0.9631064470434496
reduced2,2,82,A,0.08956318210011069
reduced2,2,82,M,0.9548115223472327
reduced2,2,620,A,0.15748933921210923
reduced2,2,620,M,0.5096127992665613
reduced2,2,787,A,0.11309939136284707
reduced2,2,787,M,0.8814549888888872
reduced2,2,2,A,0.07099354139380533
reduced2,2,2,M,0.9713496024545131
reduced2,2,753,A,0.0812497413230488
reduced2,2,753,M,0.8774312947013347
reduced2,2,7,A,0.06380313806075955
reduced2,2,7,M,0.9541106082745466
reduced2,2,903,A,0.10056005685715173
reduced2,2,903,M,0.923637528577386
reduced2,2,626,A,0.05790565071706794
reduced2,2,626,M,1.0679767237688695
reduced2,2,51,A,32260751.724243164
reduced2,2,51,M,0.42854072380434155
reduced2,2,557,A,0.10640429558769886
reduced2,2,557,M,0.9048639601093033
reduced2,2,310,A,0.09270164521963553
reduced2,2,310,M,0.9218485733740418
reduced2,2,100,A,0.104702357910829
reduced2,2,100,M,0.8467452964654567
reduced2,2,848,A,0.10594689169740078
reduced2,2,848,M,0.7280706671049056
reduced2,2,921,A,0.08391671100499065
reduced2,2,921,M,0.8899334448454084
reduced2,2,45,A,0.0930632172627539
reduced2,2,45,M,0.8356270930869538
reduced2,2,976,A,0.09391954854893997
reduced2,2,976,M,0.9229409854174002
reduced2,2,136,A,0.09368970036833384
reduced2,2,136,M,0.9554556978413018
reduced2,2,128,A,0.18693792564556175
reduced2,2,128,M,0.8174204619012079
reduced2,2,605,A,0.111849662104934
reduced2,2,605,M,0.993583958332767
reduced2,2,945,A,27494832.87334442
reduced2,2,945,M,0.5104268924813746
reduced2,2,773,A,0.10678916536770104
reduced2,2,773,M,0.8213939964782516
reduced2,2,941,A,0.1124872385858829
reduced2,2,941,M,0.9185022573527244
reduced2,2,613,A,0.10546623876171189
reduced2,2,613,M,0.7122877599518346
reduced2,2,98,A,0.10548188032394347
reduced2,2,98,M,0.981001007916641
reduced2,2,758,A,0.07399432092467154
reduced2,2,758,M,1.0116419827452583
reduced2,2,595,A,0.09331893586281625
