scaffold,P,species,count,mean,median,std,sem,n_exploded
full13,13,A,81,0.01178817469920509,0.012134368787721,0.005426167997725988,0.0006029075553028875,0
full13,13,M,81,0.004036039867781608,0.003606296962118498,0.001504695444152045,0.00016718838268356054,0
reduced10_with_M,10,A,81,0.04131563109732064,0.04022155759100987,0.020137367265517247,0.0022374852517241385,0
reduced10_with_M,10,M,81,0.0072254092422247805,0.005823673922857338,0.00526091300144124,0.0005845458890490267,0
reduced11_with_M,11,A,81,0.0281095651030894,0.02796221308978307,0.01272328592840464,0.0014136984364894044,0
reduced11_with_M,11,M,81,0.0037370997550450077,0.0031164319274562197,0.0019450755808661634,0.00021611950898512927,0
reduced12_with_M,12,A,81,0.017368672100858632,0.016315842014691776,0.005428756971532653,0.0006031952190591836,0
reduced12_with_M,12,M,81,0.005077233511694842,0.004377648373147176,0.003285630993216079,0.00036507011035734213,0
reduced2,2,A,81,0.10582467344001013,0.09763182745252826,0.043104591538171005,0.004789399059796778,0
reduced2,2,M,81,0.901295825283626,0.9095709223390486,0.10266976907201261,0.011407752119112512,9
reduced3,3,A,81,0.06900050300093093,0.06578611243734399,0.027318926619349915,0.0030354362910388795,0
reduced3,3,M,81,0.9018594650953514,0.9080309919674289,0.10137219368609611,0.0112635770762329,9
reduced4_AEIM,4,A,81,0.12316621098350007,0.10437753877681281,0.05626959933591841,0.006252177703990934,0
reduced4_AEIM,4,M,81,0.865146981802958,0.8905926119666987,0.13167961321062815,0.014631068134514239,7
reduced5,5,A,81,0.04694996215072062,0.04689984333384725,0.010687591851300561,0.0011875102057000624,0
reduced5,5,M,81,0.9215839843346059,0.9300471237315585,0.10125985855486826,0.011251095394985361,12
reduced6_ADGJLM,6,A,81,0.04088660538423259,0.03796304671207169,0.01824164741555535,0.0020268497128394835,0
reduced6_ADGJLM,6,M,81,0.23236483620978543,0.23582226751341728,0.02380851399773122,0.002645390444192358,0
reduced7,7,A,81,0.053029480697608544,0.04969039367703862,0.021438289423507218,0.0023820321581674688,0
reduced7,7,M,81,0.01994998891532537,0.018616345785732687,0.008240848683013993,0.0009156498536682214,0
reduced8_ADGHJKLM,8,A,81,0.04198534062100316,0.04224073226922105,0.00976440872381179,0.0010849343026457544,0
reduced8_ADGHJKLM,8,M,81,0.037709491945119675,0.03646337381002548,0.01041522657052144,0.0011572473967246045,0
reduced9,9,A,81,0.05412522629977149,0.049399859642281364,0.02802222812756121,0.003113580903062357,0
reduced9,9,M,81,0.007447201931252569,0.006313203236720307,0.004799279620330153,0.0005332532911477947,0
