scaffold,P,sample_idx,species,nrmse
reduced2,2,978,A,0.05229447280551542
reduced2,2,978,M,0.0982653759483997
reduced2,2,933,A,0.041390728627847165
reduced2,2,933,M,0.06078535844819689
reduced2,2,859,A,0.052211673968032675
reduced2,2,859,M,0.2196497751396114
reduced2,2,916,A,0.019469727027518355
reduced2,2,916,M,0.8695586327905609
reduced2,2,127,A,0.047775698026010456
reduced2,2,127,M,0.14231442882123238
reduced2,2,608,A,0.04407631272984689
reduced2,2,608,M,0.1247458742067308
reduced2,2,856,A,0.03332830379613832
reduced2,2,856,M,0.2826838511740923
reduced2,2,260,A,0.04496682644141056
reduced2,2,260,M,0.12247477802746772
reduced2,2,147,A,0.02611434552056004
reduced2,2,147,M,0.4080189476431824
reduced2,2,810,A,0.051763179727461514
reduced2,2,810,M,0.24776455138187134
reduced2,2,635,A,0.04020640965589436
reduced2,2,635,M,0.19097658201005052
reduced2,2,972,A,0.03745974144722609
reduced2,2,972,M,0.24397973213455557
reduced2,2,593,A,0.039584059390641954
reduced2,2,593,M,0.25872155796168234
reduced2,2,994,A,0.03513795747760505
reduced2,2,994,M,0.07947968726183946
reduced2,2,285,A,0.039546533332031036
reduced2,2,285,M,0.09508739694713637
reduced2,2,554,A,0.0607094818752482
reduced2,2,554,M,0.14850824381648478
reduced2,2,467,A,0.04641408542954056
reduced2,2,467,M,0.06210433293322534
reduced2,2,276,A,0.05270211720911661
reduced2,2,276,M,0.11153139481626966
reduced2,2,55,A,0.03987171869281548
reduced2,2,55,M,0.6791369315792504
reduced2,2,61,A,0.056557082836904526
reduced2,2,61,M,0.13365418053278497
reduced2,2,839,A,0.0461693690946299
reduced2,2,839,M,0.09073165649232083
reduced2,2,425,A,0.0431951484559652
reduced2,2,425,M,0.10453382375623549
reduced2,2,82,A,0.04134357960840136
reduced2,2,82,M,0.22784482992764865
reduced2,2,620,A,0.016087585993208572
reduced2,2,620,M,0.6560338814079058
reduced2,2,787,A,0.04076194501044334
reduced2,2,787,M,0.1705851865280223
reduced2,2,2,A,0.04126589324308538
reduced2,2,2,M,0.1466148357414149
reduced2,2,753,A,0.030630793460032175
reduced2,2,753,M,0.19385100611062078
reduced2,2,7,A,0.04076890954221852
reduced2,2,7,M,0.07003662225137815
reduced2,2,903,A,0.044197794337123085
reduced2,2,903,M,0.15697610968650458
reduced2,2,626,A,0.03180396201027064
reduced2,2,626,M,0.1674840078673227
reduced2,2,51,A,0.0
reduced2,2,51,M,0.6941095281197516
reduced2,2,557,A,0.05120427927885834
reduced2,2,557,M,0.09783306864921931
reduced2,2,310,A,0.0625117049813897
reduced2,2,310,M,0.1365540761232702
reduced2,2,100,A,0.044022326378414016
reduced2,2,100,M,0.2837145551875578
reduced2,2,848,A,0.02195382662709122
reduced2,2,848,M,0.3475960656774478
reduced2,2,921,A,0.022142610641722488
reduced2,2,921,M,0.1389556865248195
reduced2,2,45,A,0.052881320821994496
reduced2,2,45,M,0.060998977811160496
reduced2,2,976,A,0.06101966951824944
reduced2,2,976,M,0.0676443620645384
reduced2,2,136,A,0.053387264452196215
reduced2,2,136,M,0.25797275324559304
reduced2,2,128,A,0.03136394631600802
reduced2,2,128,M,0.620406961198534
reduced2,2,605,A,0.05381589909826891
reduced2,2,605,M,0.1031487463848718
reduced2,2,945,A,0.0
reduced2,2,945,M,0.7817503145013813
reduced2,2,773,A,0.05078803792781748
reduced2,2,773,M,0.28568970322360215
reduced2,2,941,A,0.053502484523873184
reduced2,2,941,M,0.16315973869681477
reduced2,2,613,A,0.019693168341026517
reduced2,2,613,M,0.19083264302243477
reduced2,2,98,A,0.040675043764603756
reduced2,2,98,M,0.25018099911511543
reduced2,2,758,A,0.037396932884582054
reduced2,2,758,M,0.24055946813145973
reduced2,2,595,A,0.05490885174952212
reduced2,2,595,M,0.03960426922549636
reduced2,2,470,A,0.05093532092749219
reduced2,2,470,M,0.08572759030816768
reduced2,2,25,A,0.01556562399648624
reduced2,2,25,M,0.5630869379865069
reduced2,2,514,A,0.030787727253795732
reduced2,2,514,M,0.4939642633084666
reduced2,2,239,A,0.04067300995519133
reduced2,2,239,M,0.1296932579466436
reduced2,2,980,A,0.04463101047004819
reduced2,2,980,M,0.1480232717989876
reduced2,2,623,A,0.036072995242043944
reduced2,2,623,M,0.15665071473038894
reduced2,2,252,A,0.03146134749924293
reduced2,2,252,M,0.23085666516652714
reduced2,2,662,A,0.019159461405740586
reduced2,2,662,M,0.15555328825209883
reduced2,2,171,A,0.049126869255102554
reduced2,2,171,M,0.059782239915938486
reduced2,2,408,A,0.043284637987517714
reduced2,2,408,M,0.14472908167760173
reduced2,2,993,A,0.042821433868873215
reduced2,2,993,M,0.08755664712427055
reduced2,2,592,A,0.04994765741867008
reduced2,2,592,M,0.09543553415109579
reduced2,2,701,A,0.027172065624858164
reduced2,2,701,M,0.3396117878985056
reduced2,2,427,A,0.0688331183291904
