scaffold,P,species,count,mean,median,std,sem,n_exploded
full13,13,A,100,0.06481690181043871,0.054563894255382855,0.039525764209422554,0.003952576420942255,0
full13,13,M,100,0.4290020753716769,0.1680599836334935,0.7127201433417764,0.07127201433417764,10
reduced10_with_M,10,A,100,0.047755556516951146,0.04045103781693456,0.040380315299354215,0.004038031529935421,0
reduced10_with_M,10,M,100,0.40501985722116474,0.1334287741952791,0.6914002465125804,0.06914002465125804,12
reduced11_with_M,11,A,100,0.03843577659301791,0.03391324266121279,0.029316427390767216,0.0029316427390767216,0
reduced11_with_M,11,M,100,0.3804186038762933,0.13587158626433538,0.6585582154139158,0.06585582154139158,10
reduced12_with_M,12,A,100,0.07181374450107893,0.0676711684073403,0.0379686215156768,0.00379686215156768,0
reduced12_with_M,12,M,100,0.34131369564009295,0.16473337177774094,0.42730864689406234,0.042730864689406234,8
reduced2,2,A,100,0.042200204014786996,0.04323763950672938,0.01358698933508565,0.001358698933508565,0
reduced2,2,M,100,0.202559620878854,0.14687873154575676,0.1640088481494294,0.01640088481494294,0
reduced3,3,A,100,0.044203722599185015,0.04530950041834628,0.01588233026285642,0.0015882330262856422,0
reduced3,3,M,100,0.1819889733120016,0.11583755374884794,0.1766733679948904,0.01766733679948904,1
reduced4_AEIM,4,A,100,0.04956793699370988,0.04870135160804792,0.02309863742895268,0.002309863742895268,0
reduced4_AEIM,4,M,100,0.1617736572756555,0.1384639551002818,0.09499143848584551,0.009499143848584551,0
reduced5,5,A,100,0.03818907335927217,0.0371855382471756,0.01567299542588122,0.001567299542588122,0
reduced5,5,M,100,0.2620759434504068,0.1620586751025878,0.30893306660297093,0.030893306660297094,3
reduced6_ADGJLM,6,A,100,0.05317441917417546,0.05014719223541318,0.025999826872343153,0.0025999826872343153,0
reduced6_ADGJLM,6,M,100,0.21022037361824203,0.12878331681254385,0.2725829576971397,0.027258295769713968,1
reduced7,7,A,100,0.033769601459947375,0.03409521025882223,0.016214038581058483,0.0016214038581058483,0
reduced7,7,M,100,0.2918245676173241,0.10872144565378974,0.5001101213450522,0.05001101213450522,9
reduced8_ADGHJKLM,8,A,100,0.03925048935193316,0.036812456759814,0.02232940506723646,0.0022329405067236458,0
reduced8_ADGHJKLM,8,M,100,0.3332985077433827,0.14859060952734665,0.5185129662002126,0.05185129662002126,10
reduced9,9,A,100,0.053019177274193766,0.04509530937215409,0.04128258718431007,0.004128258718431007,0
reduced9,9,M,100,0.3392403812318316,0.1304322767708317,0.5937654657325454,0.05937654657325454,11
