mode,n_obs,obs_species,eval_species,nrmse,in_obs
one-step,2,"A,M",A,0.0010749130742624402,True
one-step,2,"A,M",B,0.00997342448681593,False
one-step,2,"A,M",C,0.009400902315974236,False
one-step,2,"A,M",D,0.010811702348291874,False
one-step,2,"A,M",E,0.037140991538763046,False
one-step,2,"A,M",F,0.02659451961517334,False
one-step,2,"A,M",G,0.019527185708284378,False
one-step,2,"A,M",H,0.015331804752349854,False
one-step,2,"A,M",I,0.03148459270596504,False
one-step,2,"A,M",J,0.0691232979297638,False
one-step,2,"A,M",K,0.05505905672907829,False
one-step,2,"A,M",L,0.0419783815741539,False
one-step,2,"A,M",M,0.002770576160401106,True
one-step,3,"A,B,M",A,0.0023028908763080835,True
one-step,3,"A,B,M",B,0.007559103425592184,True
one-step,3,"A,B,M",C,0.0090677784755826,False
one-step,3,"A,B,M",D,0.010744040831923485,False
one-step,3,"A,B,M",E,0.03714635223150253,False
one-step,3,"A,B,M",F,0.026594318449497223,False
one-step,3,"A,B,M",G,0.019531991332769394,False
one-step,3,"A,B,M",H,0.015319383703172207,False
one-step,3,"A,B,M",I,0.031090714037418365,False
one-step,3,"A,B,M",J,0.06855893135070801,False
one-step,3,"A,B,M",K,0.055131539702415466,False
one-step,3,"A,B,M",L,0.04203009232878685,False
one-step,3,"A,B,M",M,0.002743204589933157,True
one-step,4,"A,B,C,M",A,0.0021839758846908808,True
one-step,4,"A,B,C,M",B,0.007554230745881796,True
one-step,4,"A,B,C,M",C,0.0062282695434987545,True
one-step,4,"A,B,C,M",D,0.008243770338594913,False
one-step,4,"A,B,C,M",E,0.03525325283408165,False
one-step,4,"A,B,C,M",F,0.02666177786886692,False
one-step,4,"A,B,C,M",G,0.019538970664143562,False
one-step,4,"A,B,C,M",H,0.015310809016227722,False
one-step,4,"A,B,C,M",I,0.030843324959278107,False
one-step,4,"A,B,C,M",J,0.0682644248008728,False
one-step,4,"A,B,C,M",K,0.05521461367607117,False
one-step,4,"A,B,C,M",L,0.04207981750369072,False
one-step,4,"A,B,C,M",M,0.0027161675971001387,True
one-step,5,"A,B,C,D,M",A,0.002203426556661725,True
one-step,5,"A,B,C,D,M",B,0.007555834949016571,True
one-step,5,"A,B,C,D,M",C,0.00639153178781271,True
one-step,5,"A,B,C,D,M",D,0.006923334207385778,True
one-step,5,"A,B,C,D,M",E,0.0356147363781929,False
one-step,5,"A,B,C,D,M",F,0.026661891490221024,False
one-step,5,"A,B,C,D,M",G,0.019540676847100258,False
one-step,5,"A,B,C,D,M",H,0.01530686765909195,False
one-step,5,"A,B,C,D,M",I,0.030672317370772362,False
one-step,5,"A,B,C,D,M",J,0.06809355318546295,False
one-step,5,"A,B,C,D,M",K,0.05530301854014397,False
one-step,5,"A,B,C,D,M",L,0.04212825745344162,False
one-step,5,"A,B,C,D,M",M,0.0026893464382737875,True
one-step,6,"A,B,C,D,E,M",A,0.002214841078966856,True
one-step,6,"A,B,C,D,E,M",B,0.007557436358183622,True
one-step,6,"A,B,C,D,E,M",C,0.006221169605851173,True
one-step,6,"A,B,C,D,E,M",D,0.008186815306544304,True
one-step,6,"A,B,C,D,E,M",E,0.028939878568053246,True
one-step,6,"A,B,C,D,E,M",F,0.026045579463243484,False
one-step,6,"A,B,C,D,E,M",G,0.019597457721829414,False
one-step,6,"A,B,C,D,E,M",H,0.015800995752215385,False
one-step,6,"A,B,C,D,E,M",I,0.03056337870657444,False
one-step,6,"A,B,C,D,E,M",J,0.06798233836889267,False
one-step,6,"A,B,C,D,E,M",K,0.05539434775710106,False
one-step,6,"A,B,C,D,E,M",L,0.042175740003585815,False
one-step,6,"A,B,C,D,E,M",M,0.0026627304032444954,True
one-step,7,"A,B,C,D,E,F,M",A,0.0022259110119193792,True
one-step,7,"A,B,C,D,E,F,M",B,0.007558726705610752,True
one-step,7,"A,B,C,D,E,F,M",C,0.006224701646715403,True
one-step,7,"A,B,C,D,E,F,M",D,0.008179285563528538,True
one-step,7,"A,B,C,D,E,F,M",E,0.03000999614596367,True
one-step,7,"A,B,C,D,E,F,M",F,0.024117836728692055,True
one-step,7,"A,B,C,D,E,F,M",G,0.019131870940327644,False
one-step,7,"A,B,C,D,E,F,M",H,0.014939345419406891,False
one-step,7,"A,B,C,D,E,F,M",I,0.030443046241998672,False
one-step,7,"A,B,C,D,E,F,M",J,0.06792150437831879,False
one-step,7,"A,B,C,D,E,F,M",K,0.05548744648694992,False
one-step,7,"A,B,C,D,E,F,M",L,0.042222436517477036,False
one-step,7,"A,B,C,D,E,F,M",M,0.0026362815406173468,True
one-step,8,"A,B,C,D,E,F,G,M",A,0.002236300613731146,True
one-step,8,"A,B,C,D,E,F,G,M",B,0.007560026831924915,True
one-step,8,"A,B,C,D,E,F,G,M",C,0.006226689089089632,True
one-step,8,"A,B,C,D,E,F,G,M",D,0.00817656796425581,True
one-step,8,"A,B,C,D,E,F,G,M",E,0.03000272624194622,True
one-step,8,"A,B,C,D,E,F,G,M",F,0.02413521707057953,True
one-step,8,"A,B,C,D,E,F,G,M",G,0.016051732003688812,True
one-step,8,"A,B,C,D,E,F,G,M",H,0.012187816202640533,False
one-step,8,"A,B,C,D,E,F,G,M",I,0.029405271634459496,False
one-step,8,"A,B,C,D,E,F,G,M",J,0.06838767975568771,False
one-step,8,"A,B,C,D,E,F,G,M",K,0.0555863194167614,False
one-step,8,"A,B,C,D,E,F,G,M",L,0.042268056422472,False
one-step,8,"A,B,C,D,E,F,G,M",M,0.0026100308168679476,True
one-step,9,"A,B,C,D,E,F,G,H,M",A,0.002246369607746601,True
one-step,9,"A,B,C,D,E,F,G,H,M",B,0.00756131811067462,True
one-step,9,"A,B,C,D,E,F,G,H,M",C,0.006228595040738583,True
one-step,9,"A,B,C,D,E,F,G,H,M",D,0.00817399937659502,True
one-step,9,"A,B,C,D,E,F,G,H,M",E,0.030009903013706207,True
one-step,9,"A,B,C,D,E,F,G,H,M",F,0.0241354089230299,True
one-step,9,"A,B,C,D,E,F,G,H,M",G,0.016401667147874832,True
one-step,9,"A,B,C,D,E,F,G,H,M",H,0.009437833912670612,True
one-step,9,"A,B,C,D,E,F,G,H,M",I,0.03026609681546688,False
one-step,9,"A,B,C,D,E,F,G,H,M",J,0.06782300770282745,False
one-step,9,"A,B,C,D,E,F,G,H,M",K,0.05567488074302673,False
one-step,9,"A,B,C,D,E,F,G,H,M",L,0.042313989251852036,False
one-step,9,"A,B,C,D,E,F,G,H,M",M,0.002583851804956794,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",A,0.0022561659570783377,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",B,0.00756260147318244,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",C,0.00623048422858119,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",D,0.008171506226062775,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",E,0.030021602287888527,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",F,0.0241334717720747,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",G,0.016122544184327126,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",H,0.011931396089494228,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",I,0.022659562528133392,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",J,0.05751841142773628,False
one-step,10,"A,B,C,D,E,F,G,H,I,M",K,0.05531179532408714,False
one-step,10,"A,B,C,D,E,F,G,H,I,M",L,0.0424196794629097,False
