run,nrmse,Base,Mod,Am,MOF_C
A6_baseline_n100,0.119201,0.051506,0.089925,0.177194,0.158177
A7_l1reg_n100,0.121186,0.059306,0.08871,0.169407,0.167322
A9_neural_ode_correction_n10,0.131212,0.026302,0.071429,0.24442,0.182697
A4_neural_ode_mlp_n10,0.131543,0.073251,0.061386,0.234355,0.157178
A5_unbounded_n10,0.133038,0.017021,0.07041,0.149084,0.295636
A2_sample_theta_n100,0.134676,0.088818,0.08593,0.177412,0.186544
A5_unbounded_n100,0.137916,0.08051,0.086505,0.152917,0.231732
A7_l1reg_n10,0.14682,0.042239,0.089075,0.138409,0.317556
A6_baseline_n10,0.154532,0.01792,0.161536,0.143748,0.294924
A3_neural_ode_gru_n10,0.159284,0.055834,0.103891,0.234882,0.242527
A2_sample_theta_n10,0.159311,0.01343,0.156659,0.162943,0.304211
A9_neural_ode_correction_n100,0.163677,0.094943,0.082154,0.113562,0.364047
A2_sample_theta_n3,0.178441,0.046792,0.115712,0.140883,0.410379
A6_baseline_n3,0.181463,0.051951,0.115358,0.108907,0.449636
A7_l1reg_n3,0.209974,0.057116,0.078989,0.207174,0.496618
A1_fixed_theta_n100,0.329561,0.07442,0.203988,0.860396,0.17944
A9_neural_ode_correction_n3,0.401039,0.038674,0.285731,0.617178,0.662574
A3_neural_ode_gru_n3,0.406774,0.072534,0.193988,0.697573,0.663003
A5_unbounded_first_last_n10,0.424367,0.097318,0.761162,0.677725,0.161263
A5_unbounded_n1000,0.428074,0.026184,0.042931,1.072537,0.570645
A6_baseline_n1000,0.477718,0.026343,0.03535,1.611945,0.237234
A8_l2reg_n1000,0.49041,0.033978,0.035425,1.54223,0.350006
A1_fixed_theta_n10,0.500911,0.057353,0.467013,1.132945,0.346333
A5_unbounded_n3,0.534243,0.05029,0.691249,0.219199,1.176232
A6_baseline_first_last_n10,0.539616,0.029871,0.488626,1.338972,0.300993
A2_sample_theta_first_last_n10,0.570765,0.056814,0.533203,1.371619,0.321422
A1_fixed_theta_n3,0.592925,0.035364,0.447388,1.76891,0.120037
A7_l1reg_first_last_n10,0.601942,0.059947,0.468965,1.554981,0.323877
A1_fixed_theta_first_last_n10,0.667954,0.071876,0.52531,1.763766,0.310864
A7_l1reg_n1000,0.671979,0.039863,0.035696,2.07605,0.536308
A5_unbounded_first_last_n3,0.734694,0.062072,0.737029,1.344073,0.795602
A2_sample_theta_first_last_n3,0.74306,0.034895,0.511008,2.153275,0.273062
A6_baseline_first_last_n100,0.765738,0.026208,0.238878,2.663638,0.134229
A2_sample_theta_first_last_n100,0.833085,0.081351,0.254134,2.804604,0.19225
A1_fixed_theta_first_last_n100,0.859307,0.080958,0.2794,2.894911,0.181958
A9_neural_ode_correction_first_last_n10,0.865096,0.074896,0.631787,2.226666,0.527034
A4_neural_ode_mlp_first_last_n3,0.870975,0.19884,0.37256,2.414444,0.498055
A1_fixed_theta_first_last_n3,0.948491,0.040029,0.503723,2.945212,0.305002
A9_neural_ode_correction_first_last_n3,0.979288,0.040163,0.43919,2.81197,0.625832
A7_l1reg_first_last_n3,1.042647,0.037928,0.454188,3.546755,0.131716
A4_neural_ode_mlp_n3,1.044812,0.077096,2.744539,0.697045,0.66057
A6_baseline_first_last_n3,1.050477,0.038958,0.469985,3.540879,0.152087
A3_neural_ode_gru_first_last_n3,1.989076,0.094837,3.502297,3.696166,0.663003
A2_sample_theta_n1000,3.41279,0.082327,0.060163,12.015245,1.493424
A3_neural_ode_gru_first_last_n10,3.658308,0.202831,13.585839,0.504732,0.33983
A5_unbounded_first_last_n1000,3.835274,0.01609,0.085527,14.060455,1.179025
A4_neural_ode_mlp_first_last_n10,3.890008,0.157912,4.867148,10.343303,0.191668
A1_fixed_theta_n1000,4.017795,0.050697,0.069592,14.114045,1.836845
A7_l1reg_first_last_n1000,9.588412,0.020639,0.082093,37.332844,0.918072
A7_l1reg_first_last_n100,11.35146,0.036573,0.232921,45.002225,0.13412
A6_baseline_first_last_n1000,12.024412,0.0156,0.126239,46.997051,0.958756
A2_sample_theta_first_last_n1000,15.713579,0.069989,0.092605,61.138703,1.553018
A1_fixed_theta_first_last_n1000,16.990325,0.067962,0.117634,66.274991,1.500714
A5_unbounded_first_last_n100,23.357005,0.062127,0.38927,92.732108,0.244514
A3_neural_ode_gru_n100,19992.567147,0.036205,0.096474,6481.087443,73489.048463
A3_neural_ode_gru_n1000,21449.24987,0.014536,84181.877386,1458.378498,156.729062
A9_neural_ode_correction_first_last_n1000,115909.494584,0.061822,463582.374427,54.661712,0.880376
A9_neural_ode_correction_first_last_n100,290685.960778,0.078608,0.268413,1037512.019495,125231.476597
A4_neural_ode_mlp_n1000,495258.671237,0.09353,268952.992568,1543795.220933,168286.377918
A3_neural_ode_gru_first_last_n100,882191.686886,0.071572,55.637441,1835.970416,3526875.068115
A4_neural_ode_mlp_n100,1274366.611242,0.098543,0.106842,4212457.044167,885009.195414
A4_neural_ode_mlp_first_last_n1000,11546548.254552,114.829662,18994055.897166,26403011.305934,789010.985448
A3_neural_ode_gru_first_last_n1000,16321486.719528,0.014897,65038328.786304,247617.923718,0.153195
A4_neural_ode_mlp_first_last_n100,29482354.325538,0.084514,5.045942,115834517.965616,2094894.206079
