run,nrmse,Base,Mod,SBU,Am,Nuc_C,MOF_C
A6_baseline_n1000,0.029978,0.018088,0.047373,0.030097,0.027842,0.026882,0.029584
A5_unbounded_n1000,0.034182,0.019432,0.047373,0.030918,0.032925,0.040248,0.034195
A7_l1reg_n1000,0.045035,0.024978,0.047373,0.070273,0.069724,0.025867,0.031995
A3_neural_ode_gru_n1000,0.053022,0.015113,0.024746,0.021209,0.051418,0.050047,0.155600
A6_baseline_n100,0.053568,0.019592,0.096408,0.089546,0.056901,0.027998,0.030962
A7_l1reg_n100,0.057385,0.031882,0.096408,0.081550,0.060653,0.039340,0.034480
A9_neural_ode_correction_n1000,0.059766,0.032499,0.043471,0.058355,0.053151,0.099523,0.071597
A5_unbounded_n100,0.064352,0.021237,0.096408,0.094368,0.082595,0.063144,0.028358
A6_baseline_n10,0.066936,0.025436,0.097044,0.071505,0.104683,0.034982,0.067968
A9_neural_ode_correction_n100,0.069410,0.047389,0.051779,0.087422,0.057392,0.106104,0.066374
A7_l1reg_n10,0.075247,0.056701,0.097044,0.067162,0.087139,0.036195,0.107238
A7_l1reg_first_last_n100,0.075714,0.021184,0.096408,0.115308,0.110271,0.074191,0.036921
A2_sample_theta_n100,0.076273,0.053183,0.096408,0.081341,0.090418,0.095030,0.041258
A5_unbounded_n10,0.078923,0.046637,0.097044,0.041619,0.093811,0.121832,0.072597
A7_l1reg_first_last_n1000,0.079896,0.017449,0.047373,0.066823,0.151123,0.158432,0.038176
A5_unbounded_first_last_n100,0.081863,0.017764,0.096408,0.082284,0.115009,0.145242,0.034472
A4_neural_ode_mlp_n1000,0.084486,0.019799,0.061051,0.045341,0.137587,0.111960,0.131175
A6_baseline_first_last_n1000,0.091914,0.013629,0.047373,0.109185,0.228700,0.134575,0.018020
A5_unbounded_first_last_n1000,0.094364,0.014857,0.047373,0.090836,0.164404,0.228316,0.020400
A2_sample_theta_n1000,0.094432,0.069412,0.047373,0.070209,0.164108,0.104983,0.110507
A1_fixed_theta_n1000,0.094650,0.070436,0.047373,0.070998,0.164533,0.105327,0.109235
A1_fixed_theta_n100,0.096235,0.061195,0.096408,0.112573,0.073487,0.112085,0.121660
A2_sample_theta_n3,0.110566,0.059561,0.079466,0.086251,0.198492,0.106926,0.132701
A1_fixed_theta_first_last_n100,0.115542,0.058128,0.096408,0.201124,0.085927,0.138435,0.113229
A6_baseline_first_last_n100,0.119665,0.011176,0.096408,0.127794,0.246887,0.206759,0.028964
A6_baseline_first_last_n10,0.129876,0.006971,0.097044,0.117915,0.251445,0.212352,0.093527
A5_unbounded_first_last_n10,0.132064,0.039422,0.097044,0.134171,0.364943,0.088388,0.068414
A4_neural_ode_mlp_n100,0.134557,0.026566,0.074324,0.133585,0.167446,0.256860,0.148564
A9_neural_ode_correction_n10,0.140245,0.074162,0.087901,0.137269,0.091983,0.341937,0.108217
A7_l1reg_first_last_n10,0.143954,0.023978,0.097044,0.127269,0.320577,0.240031,0.054827
A2_sample_theta_n10,0.154263,0.093882,0.097044,0.157213,0.179422,0.183269,0.214745
A6_baseline_n3,0.156076,0.062765,0.079466,0.097914,0.211258,0.187859,0.297192
A3_neural_ode_gru_n100,0.158560,0.023407,0.071787,0.138273,0.169238,0.268395,0.280257
A2_sample_theta_first_last_n1000,0.159153,0.061438,0.047373,0.192340,0.501151,0.088102,0.064513
A2_sample_theta_first_last_n10,0.172208,0.120534,0.097044,0.274018,0.106628,0.288084,0.146943
A1_fixed_theta_first_last_n1000,0.177821,0.063253,0.047373,0.179357,0.625735,0.079224,0.071983
A3_neural_ode_gru_n10,0.181334,0.048068,0.138289,0.236545,0.125793,0.343767,0.195544
A4_neural_ode_mlp_n10,0.182187,0.063319,0.058139,0.236545,0.158545,0.336298,0.240274
A2_sample_theta_first_last_n100,0.184226,0.049189,0.096408,0.223479,0.602345,0.073503,0.060431
A5_unbounded_n3,0.195589,0.060034,0.079466,0.093722,0.275869,0.192042,0.472399
A9_neural_ode_correction_first_last_n100,0.206069,0.047960,0.190705,0.123936,0.279911,0.494497,0.099405
A1_fixed_theta_first_last_n3,0.229140,0.035278,0.079466,0.132765,0.294157,0.271207,0.561964
A1_fixed_theta_first_last_n10,0.239880,0.091609,0.097044,0.168025,0.189058,0.384166,0.509377
A1_fixed_theta_n3,0.240453,0.035350,0.079466,0.121191,0.297555,0.296701,0.612452
A7_l1reg_n3,0.249704,0.045891,0.079466,0.124994,0.293125,0.688630,0.266117
A1_fixed_theta_n10,0.255146,0.086469,0.097044,0.107870,0.158210,0.542982,0.538298
A5_unbounded_first_last_n3,0.264066,0.094474,0.079466,0.085510,0.064170,0.592627,0.668149
A2_sample_theta_first_last_n3,0.264728,0.058792,0.079466,0.174849,0.460448,0.348343,0.466469
A9_neural_ode_correction_first_last_n1000,0.265492,0.021596,0.302419,0.135758,0.501163,0.527749,0.104266
A7_l1reg_first_last_n3,0.272595,0.036923,0.079466,0.094985,0.340465,0.428530,0.655202
A9_neural_ode_correction_first_last_n10,0.309485,0.073907,0.533268,0.135553,0.347960,0.638238,0.127981
A9_neural_ode_correction_n3,0.316913,0.040150,0.060870,0.125491,0.322047,0.537809,0.815112
A9_neural_ode_correction_first_last_n3,0.327786,0.040170,0.072181,0.124639,0.323635,0.553479,0.852612
A6_baseline_first_last_n3,0.337749,0.058015,0.079466,0.131593,0.462641,0.539434,0.755342
A3_neural_ode_gru_n3,0.392714,0.063210,0.235390,0.165955,0.697573,0.531154,0.663003
A4_neural_ode_mlp_n3,0.408207,0.081103,0.315359,0.165955,0.692668,0.531154,0.663003
A3_neural_ode_gru_first_last_n10,1.173093,0.175209,5.221722,0.236545,0.500478,0.638238,0.266369
A3_neural_ode_gru_first_last_n3,1.540377,0.057021,0.718789,0.165955,0.697573,6.939918,0.663003
A3_neural_ode_gru_first_last_n100,2.057442,0.033621,4.409772,0.188384,6.891332,0.494497,0.327044
A3_neural_ode_gru_first_last_n1000,3.050991,0.014703,1.148490,2.035970,1.119699,13.864412,0.122669
A4_neural_ode_mlp_first_last_n1000,3.485078,0.036985,2.706151,0.188233,0.305053,17.452948,0.221097
A4_neural_ode_mlp_first_last_n3,5.558993,0.150075,0.074993,0.165955,0.427893,31.872037,0.663003
A4_neural_ode_mlp_first_last_n100,11.289154,0.057568,3.019179,0.188463,3.221181,60.790508,0.458025
A4_neural_ode_mlp_first_last_n10,16.192851,0.188917,4.902421,0.236545,1.816857,89.701084,0.311282
