$ python -u last-layer-ode/train.py --config configs/txtl_gru_new_baseline.yaml --set study=txtl_ladder_native_combined --set out_root=experiments --set exp_name=M4_K3_s0 --set epochs=100 --set endpoint_r2=True --set obs_idx='[3, 5]' --set warmup_epochs=5 --set hidden=600 --set dataset_path=datasets/cell-free/txtl_native_combined.npz --set val_n=125 --set test_n=125 --set stratify_z_expr=False --set test_real_only=True --set stratified_split=True --set stratify_targets='[3, 5]' --set stratify_bins=5 --set stratify_by_source=True --set balance_source_sampler=True --set subtract_channel_min=True --set subtract_channel_min_cols='[3, 5]' --set encoder_use_log_dt=True --set gru_u_cols='[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]' --set plot_extra_new_samples=5 --set ckpt_every=0 --set y0_theta_init=False --set use_ivtt_mse_loss=False --set species_weights='{3: 1.25, 5: 1.0}' --set time_upweight='{5: [0.5, 3.0]}' --set lambda_endpoint=0.1 --set endpoint_channels='[5]' --set loss_normalizer_channels=3 --set loss_clamp_min=1.0 --set scaffold=txtl_model4_three_state --set seed=0 --set model_class=ode_rnn_sparse_theta_v2 --set anchor_mode=uniform --set n_theta_anchors=3

Using device: cuda
Experiment: experiments/txtl_ladder_native_combined/20260526_081751_M4_K3_s0
Study: txtl_ladder_native_combined | Run ID: 20260526_081751_M4_K3_s0
test_real_only: train=753 real + 2496 synth; val=125 real; test=125 real
Split: stratified | seed=42 | bins=5 | targets=[3, 5] | n_test=125 n_val=125 n_train=3249
balance_source_sampler: train counts by source = {0: 520, 1: 233, 2: 2496}
/home/bob-van-sluijs/anaconda3/envs/oliver_env/lib/python3.13/site-packages/torch/cuda/__init__.py:1007: UserWarning: Can't initialize NVML
  raw_cnt = _raw_device_count_nvml()
Partial-observability lift: scaffold.P=4, P_obs=7, obs_state_idx=[0, 2], control_state_map={'DNA c': 3}
The model compiled successfully
LR warmup: 5 epochs (2.00e-03 target)
Data: N=3499 | train=3249 | val=125 | test=125
Dims: P_obs=7 | scaffold=txtl_model4_three_state | U=14
Species: mm, pm
Partial-observability lift active: dataset_obs_idx=[3, 5] → scaffold_obs_idx=[0, 2].
Lift by-name IC copy: DNA→DNA@3
ep    1 | train 2.952288 | val 2.596273 | best 2.596273 | tf=1  [mm:2.7871  pm:5.3450] | 82.10s
ep    2 | train 2.441196 | val 2.055846 | best 2.055846 | tf=1  [mm:2.5392  pm:3.6974] | 79.05s
ep    3 | train 1.911433 | val 2.048537 | best 2.048537 | tf=1  [mm:2.5841  pm:3.8386] | 78.76s
ep    4 | train 1.784776 | val 2.062459 | best 2.048537 | tf=1  [mm:2.4677  pm:3.8447] | 78.89s
ep    5 | train 1.661799 | val 2.032622 | best 2.032622 | tf=1  [mm:2.4932  pm:3.7411] | 79.10s
ep    6 | train 1.751532 | val 1.979724 | best 1.979724 | tf=1  [mm:2.5560  pm:3.6469] | 78.89s
ep    7 | train 1.584497 | val 2.360384 | best 1.979724 | tf=1  [mm:2.7525  pm:4.0637] | 78.93s
ep    8 | train 1.372769 | val 2.174149 | best 1.979724 | tf=1  [mm:2.2729  pm:4.2589] | 78.89s
ep    9 | train 1.285739 | val 2.415646 | best 1.979724 | tf=1  [mm:2.5909  pm:4.3147] | 78.86s
ep   10 | train 1.102237 | val 2.283178 | best 1.979724 | tf=1  [mm:2.4962  pm:4.0536] | 79.08s
ep   11 | train 1.174168 | val 2.155095 | best 1.979724 | tf=1  [mm:2.2277  pm:4.2162] | 78.89s
ep   12 | train 1.122114 | val 2.370246 | best 1.979724 | tf=1  [mm:2.3125  pm:4.6570] | 78.81s
ep   13 | train 1.322088 | val 2.361886 | best 1.979724 | tf=1  [mm:2.5146  pm:4.4598] | 78.85s
ep   14 | train 1.642646 | val 2.076816 | best 1.979724 | tf=1  [mm:2.4854  pm:3.7856] | 78.87s
ep   15 | train 1.548766 | val 1.959570 | best 1.959570 | tf=1  [mm:2.5564  pm:3.6322] | 78.66s
ep   16 | train 1.582192 | val 1.959849 | best 1.959570 | tf=1  [mm:2.4542  pm:3.6423] | 78.84s
ep   17 | train 1.524558 | val 1.957432 | best 1.957432 | tf=1  [mm:2.5115  pm:3.6352] | 78.86s
ep   18 | train 1.522030 | val 2.083417 | best 1.957432 | tf=1  [mm:2.8521  pm:3.6701] | 78.81s
ep   19 | train 1.561240 | val 1.950068 | best 1.950068 | tf=1  [mm:2.5139  pm:3.5844] | 78.77s
ep   20 | train 1.520572 | val 1.985729 | best 1.950068 | tf=1  [mm:2.4775  pm:3.7148] | 78.74s
ep   21 | train 1.578338 | val 2.069467 | best 1.950068 | tf=1  [mm:2.3163  pm:3.8602] | 78.84s
ep   22 | train 1.505436 | val 1.928581 | best 1.928581 | tf=1  [mm:2.4184  pm:3.6376] | 78.86s
ep   23 | train 1.496559 | val 1.877532 | best 1.877532 | tf=1  [mm:2.4122  pm:3.5105] | 78.19s
ep   24 | train 1.494717 | val 1.964007 | best 1.877532 | tf=1  [mm:2.3032  pm:3.7236] | 75.06s
ep   25 | train 1.301979 | val 2.013054 | best 1.877532 | tf=1  [mm:2.4400  pm:3.7221] | 80.33s
