time,theta_0,theta_1
5.008347034454345703e-01,5.000005245208740234e+00,5.000005245208740234e+00
1.001669406890869141e+00,5.000005245208740234e+00,5.000005245208740234e+00
1.502504229545593262e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.003338813781738281e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.504173517227172852e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.005008459091186523e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.505843162536621094e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.006677627563476562e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.507512569427490234e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.008347034454345703e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.509181976318359375e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.010016918182373047e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.510851383209228516e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.011686325073242188e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.512520790100097656e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.013355255126953125e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.514190673828125000e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.015025138854980469e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.515859603881835938e+00,8.476485252380371094e+00,6.832258105278015137e-01
1.001669406890869141e+01,8.091355323791503906e+00,1.380390524864196777e+00
1.051752948760986328e+01,7.917745113372802734e+00,1.701112747192382812e+00
1.101836395263671875e+01,7.822319984436035156e+00,1.872810959815979004e+00
1.151919841766357422e+01,7.765075683593750000e+00,1.973905801773071289e+00
1.202003383636474609e+01,7.729695320129394531e+00,2.035613059997558594e+00
1.252086830139160156e+01,7.707733154296875000e+00,2.073613882064819336e+00
1.302170276641845703e+01,7.694133758544921875e+00,2.097021102905273438e+00
1.352253723144531250e+01,7.685745716094970703e+00,2.111415386199951172e+00
1.402337265014648438e+01,7.680586338043212891e+00,2.120252132415771484e+00
1.452420711517333984e+01,7.677417278289794922e+00,2.125668525695800781e+00
1.502504158020019531e+01,7.675475597381591797e+00,2.128988265991210938e+00
1.552587604522705078e+01,7.674286842346191406e+00,2.131021022796630859e+00
