time,theta_0,theta_1,theta_2,theta_3
5.008347034454345703e-01,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
1.001669406890869141e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
1.502504229545593262e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.003338813781738281e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.504173517227172852e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.005008459091186523e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.505843162536621094e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.006677627563476562e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.507512569427490234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.008347034454345703e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.509181976318359375e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.010016918182373047e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.510851383209228516e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.011686325073242188e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.512520790100097656e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.013355255126953125e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.514190673828125000e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.015025138854980469e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.515859603881835938e+00,8.341587066650390625e+00,1.039139509201049805e+00,1.009803175926208496e+00,8.326212882995605469e+00
1.001669406890869141e+01,7.963393211364746094e+00,2.271138906478881836e+00,1.676492452621459961e+00,7.639810085296630859e+00
1.051752948760986328e+01,8.378562927246093750e+00,3.656922340393066406e+00,8.370562195777893066e-01,7.311890602111816406e+00
1.101836395263671875e+01,8.711483001708984375e+00,5.347620487213134766e+00,2.341310232877731323e-01,5.623080253601074219e+00
1.151919841766357422e+01,8.731938362121582031e+00,6.483697414398193359e+00,2.077305018901824951e-01,4.125709533691406250e+00
1.202003383636474609e+01,8.689241409301757812e+00,7.142442226409912109e+00,2.581326663494110107e-01,3.162507295608520508e+00
1.252086830139160156e+01,8.630971908569335938e+00,7.536014080047607422e+00,3.311336636543273926e-01,2.521006822586059570e+00
1.302170276641845703e+01,8.568920135498046875e+00,7.799077987670898438e+00,4.154622852802276611e-01,2.061215877532958984e+00
1.352253723144531250e+01,8.506548881530761719e+00,7.991165161132812500e+00,5.062810778617858887e-01,1.712054371833801270e+00
1.402337265014648438e+01,8.445274353027343750e+00,8.139988899230957031e+00,6.001572012901306152e-01,1.436918258666992188e+00
1.452420711517333984e+01,8.386374473571777344e+00,8.259998321533203125e+00,6.934668421745300293e-01,1.215066432952880859e+00
1.502504158020019531e+01,8.331398010253906250e+00,8.359539031982421875e+00,7.821092009544372559e-01,1.033522844314575195e+00
1.552587604522705078e+01,8.281974792480468750e+00,8.443831443786621094e+00,8.619782328605651855e-01,8.834859728813171387e-01
1.602671051025390625e+01,8.239457130432128906e+00,8.516312599182128906e+00,9.297835230827331543e-01,7.586710453033447266e-01
1.652754592895507812e+01,8.204511642456054688e+00,8.579106330871582031e+00,9.838504791259765625e-01,6.548354029655456543e-01
1.702838134765625000e+01,8.176888465881347656e+00,8.633252143859863281e+00,1.024559259414672852e+00,5.693747401237487793e-01
1.752921485900878906e+01,8.855964660644531250e+00,2.485766887664794922e+00,2.326115518808364868e-01,7.379763603210449219e+00
1.803005027770996094e+01,7.941131591796875000e+00,5.042497158050537109e+00,1.534757971763610840e+00,5.845466136932373047e+00
1.853088569641113281e+01,8.167228698730468750e+00,6.510434150695800781e+00,1.017724990844726562e+00,4.004837512969970703e+00
1.903171920776367188e+01,8.505418777465820312e+00,7.416296958923339844e+00,4.909777045249938965e-01,2.711148738861083984e+00
1.953255462646484375e+01,8.541720390319824219e+00,7.844513893127441406e+00,4.641309380531311035e-01,1.977911949157714844e+00
2.003338813781738281e+01,8.497379302978515625e+00,8.070078849792480469e+00,5.338212847709655762e-01,1.564262628555297852e+00
2.053422355651855469e+01,8.437528610229492188e+00,8.216192245483398438e+00,6.240047216415405273e-01,1.292829990386962891e+00
2.103505897521972656e+01,8.377289772033691406e+00,8.325964927673339844e+00,7.165060639381408691e-01,1.091009140014648438e+00
2.153589248657226562e+01,8.321099281311035156e+00,8.415312767028808594e+00,8.040677309036254883e-01,9.304322004318237305e-01
2.203672790527343750e+01,8.270732879638671875e+00,8.491077423095703125e+00,8.826253414154052734e-01,7.984759807586669922e-01
2.253756332397460938e+01,8.227108955383300781e+00,8.556632995605468750e+00,9.497250914573669434e-01,6.886109113693237305e-01
2.303839683532714844e+01,8.190473556518554688e+00,8.613574981689453125e+00,1.004488110542297363e+00,5.973572731018066406e-01
2.353923225402832031e+01,8.160370826721191406e+00,8.662552833557128906e+00,1.047666788101196289e+00,5.226357579231262207e-01
2.404006767272949219e+01,8.135854721069335938e+00,8.704036712646484375e+00,1.081138014793395996e+00,4.624930620193481445e-01
2.454090118408203125e+01,8.115801811218261719e+00,8.738694190979003906e+00,1.107125997543334961e+00,4.146734178066253662e-01
2.504173660278320312e+01,8.099191665649414062e+00,8.767398834228515625e+00,1.127627968788146973e+00,3.768304288387298584e-01
2.554257011413574219e+01,8.085213661193847656e+00,8.791090965270996094e+00,1.144178509712219238e+00,3.468306958675384521e-01
2.604340553283691406e+01,8.073262214660644531e+00,8.810652732849121094e+00,1.157881855964660645e+00,3.229124546051025391e-01
2.654424095153808594e+01,8.062909126281738281e+00,8.826845169067382812e+00,1.169487714767456055e+00,3.036889731884002686e-01
2.704507446289062500e+01,8.053847312927246094e+00,8.840303421020507812e+00,1.179500699043273926e+00,2.881013751029968262e-01
2.754590988159179688e+01,8.045852661132812500e+00,8.851539611816406250e+00,1.188261628150939941e+00,2.753508090972900391e-01
2.804674530029296875e+01,8.038765907287597656e+00,8.860971450805664062e+00,1.196003437042236328e+00,2.648336887359619141e-01
2.854757881164550781e+01,8.032463073730468750e+00,8.868921279907226562e+00,1.202885746955871582e+00,2.560909092426300049e-01
2.904841423034667969e+01,8.026845932006835938e+00,8.875650405883789062e+00,1.209036350250244141e+00,2.487725466489791870e-01
2.954924964904785156e+01,8.021834373474121094e+00,8.881377220153808594e+00,1.214535474777221680e+00,2.426077425479888916e-01
3.005008316040039062e+01,8.017359733581542969e+00,8.886260986328125000e+00,1.219464182853698730e+00,2.373871952295303345e-01
3.055091857910156250e+01,8.013370513916015625e+00,8.890447616577148438e+00,1.223875761032104492e+00,2.329430580139160156e-01
3.105175209045410156e+01,8.009809494018554688e+00,8.894045829772949219e+00,1.227829098701477051e+00,2.291445136070251465e-01
3.155258750915527344e+01,8.006642341613769531e+00,8.897146224975585938e+00,1.231364846229553223e+00,2.258849889039993286e-01
3.205342102050781250e+01,8.003813743591308594e+00,8.899826049804687500e+00,1.234526515007019043e+00,2.230787575244903564e-01
3.255425643920898438e+01,8.001303672790527344e+00,8.902147293090820312e+00,1.237348079681396484e+00,2.206555157899856567e-01
3.305509185791015625e+01,7.999067783355712891e+00,8.904161453247070312e+00,1.239866018295288086e+00,2.185578793287277222e-01
3.355592727661132812e+01,7.997084140777587891e+00,8.905914306640625000e+00,1.242109417915344238e+00,2.167379558086395264e-01
3.405676269531250000e+01,7.995322227478027344e+00,8.907441139221191406e+00,1.244107961654663086e+00,2.151558846235275269e-01
3.455759429931640625e+01,1.371973395347595215e+00,8.666899681091308594e+00,8.352713584899902344e+00,7.823270320892333984e+00
3.505842971801757812e+01,4.854841232299804688e-01,9.370802879333496094e+00,8.722513198852539062e+00,4.003687500953674316e-01
3.555926513671875000e+01,4.638010859489440918e-01,9.084388732910156250e+00,8.692021369934082031e+00,2.986597418785095215e-01
3.606010055541992188e+01,4.812007546424865723e-01,8.982056617736816406e+00,8.675469398498535156e+00,2.741673588752746582e-01
3.656093597412109375e+01,5.302244424819946289e-01,8.944775581359863281e+00,8.656521797180175781e+00,2.707915604114532471e-01
3.706177139282226562e+01,6.001864671707153320e-01,8.925628662109375000e+00,8.646675109863281250e+00,2.787030041217803955e-01
3.756260299682617188e+01,6.962605714797973633e-01,8.903479576110839844e+00,8.660168647766113281e+00,2.991833090782165527e-01
3.806343841552734375e+01,8.435340523719787598e-01,8.869420051574707031e+00,8.745744705200195312e+00,3.393549919128417969e-01
3.856427383422851562e+01,1.120029449462890625e+00,8.833909034729003906e+00,9.101920127868652344e+00,4.179871380329132080e-01
3.906510925292968750e+01,1.957747936248779297e+00,9.192312240600585938e+00,9.829492568969726562e+00,7.132949233055114746e-01
3.956594467163085938e+01,6.869276046752929688e+00,8.042228698730468750e+00,8.952981948852539062e+00,1.934345483779907227e+00
4.006677627563476562e+01,2.947387695312500000e+00,8.437740325927734375e+00,8.070912361145019531e+00,8.699291348457336426e-01
4.056761169433593750e+01,3.745573997497558594e+00,8.299267768859863281e+00,6.906178951263427734e+00,1.062614917755126953e+00
4.106844711303710938e+01,4.723702907562255859e+00,8.185318946838378906e+00,5.914381504058837891e+00,1.263708233833312988e+00
4.156928253173828125e+01,5.681376457214355469e+00,8.084190368652343750e+00,4.905287742614746094e+00,1.454194188117980957e+00
4.207011795043945312e+01,5.856438875198364258e-01,9.130259513854980469e+00,8.666057586669921875e+00,1.963638067245483398e+00
4.257095336914062500e+01,1.106063365936279297e+00,8.745386123657226562e+00,8.311147689819335938e+00,2.116826534271240234e+00
4.307178497314453125e+01,1.386232018470764160e+00,7.859341621398925781e+00,8.113988876342773438e+00,1.919420957565307617e+00
4.357262039184570312e+01,1.713842749595642090e+00,7.718582630157470703e+00,7.915492057800292969e+00,1.952740550041198730e+00
4.407345581054687500e+01,2.100961923599243164e+00,7.729217529296875000e+00,7.667932987213134766e+00,2.003939867019653320e+00
4.457429122924804688e+01,2.538851022720336914e+00,7.743342876434326172e+00,7.358146190643310547e+00,2.032507181167602539e+00
4.507512664794921875e+01,3.150317192077636719e+00,7.736867904663085938e+00,7.283167839050292969e+00,2.043931961059570312e+00
4.557595825195312500e+01,4.030916213989257812e+00,7.732163906097412109e+00,7.421005725860595703e+00,2.053894519805908203e+00
4.607679367065429688e+01,4.299943923950195312e+00,7.713241100311279297e+00,6.269656658172607422e+00,2.037862062454223633e+00
4.657762908935546875e+01,4.929728984832763672e+00,7.705760478973388672e+00,5.668014526367187500e+00,2.037430524826049805e+00
4.707846450805664062e+01,5.554010391235351562e+00,7.712422847747802734e+00,5.007538795471191406e+00,2.042664527893066406e+00
4.757929992675781250e+01,6.139976501464843750e+00,7.723615646362304688e+00,4.320568084716796875e+00,2.049137592315673828e+00
4.808013534545898438e+01,6.659646034240722656e+00,7.735353469848632812e+00,3.645466327667236328e+00,2.053047657012939453e+00
4.858096694946289062e+01,7.090097427368164062e+00,7.747706413269042969e+00,3.014008998870849609e+00,2.051468610763549805e+00
4.908180236816406250e+01,7.431965351104736328e+00,7.762090682983398438e+00,2.452959299087524414e+00,2.042237997055053711e+00
4.958263778686523438e+01,7.700640201568603516e+00,7.779805183410644531e+00,1.975211858749389648e+00,2.023841857910156250e+00
5.008347320556640625e+01,7.913505077362060547e+00,7.801712989807128906e+00,1.580338835716247559e+00,1.995441555976867676e+00
5.058430862426757812e+01,2.119084358215332031e+00,7.908642768859863281e+00,7.685043334960937500e+00,1.779733419418334961e+00
5.108514022827148438e+01,2.590678691864013672e+00,7.885744571685791016e+00,7.372093677520751953e+00,1.821285605430603027e+00
5.158597564697265625e+01,3.264506816864013672e+00,7.894704818725585938e+00,7.629684925079345703e+00,1.799697399139404297e+00
5.208681106567382812e+01,3.877557754516601562e+00,7.921277523040771484e+00,7.467107295989990234e+00,1.749363422393798828e+00
5.258764648437500000e+01,4.075379848480224609e+00,7.939757823944091797e+00,6.474276542663574219e+00,1.679305911064147949e+00
5.308848190307617188e+01,4.565254211425781250e+00,7.970973491668701172e+00,6.006771564483642578e+00,1.617105126380920410e+00
5.358931732177734375e+01,5.068267822265625000e+00,8.011151313781738281e+00,5.519804954528808594e+00,1.559048891067504883e+00
5.409014892578125000e+01,5.563221454620361328e+00,8.052032470703125000e+00,5.001296997070312500e+00,1.505979180335998535e+00
5.459098434448242188e+01,6.039831638336181641e+00,8.089299201965332031e+00,4.463473796844482422e+00,1.458557486534118652e+00
5.509181976318359375e+01,6.481721878051757812e+00,8.121598243713378906e+00,3.918660879135131836e+00,1.416841626167297363e+00
5.559265518188476562e+01,6.872460842132568359e+00,8.149178504943847656e+00,3.382844448089599609e+00,1.380222320556640625e+00
5.609349060058593750e+01,7.204696655273437500e+00,8.172966957092285156e+00,2.875394582748413086e+00,1.347584962844848633e+00
5.659432220458984375e+01,7.480762958526611328e+00,8.194098472595214844e+00,2.412882328033447266e+00,1.317548394203186035e+00
5.709515762329101562e+01,7.708421707153320312e+00,8.213663101196289062e+00,2.004696369171142578e+00,1.288694262504577637e+00
5.759599304199218750e+01,7.894773960113525391e+00,8.232730865478515625e+00,1.657058954238891602e+00,1.259516835212707520e+00
5.809682846069335938e+01,8.041800498962402344e+00,8.252234458923339844e+00,1.379575371742248535e+00,1.228614091873168945e+00
5.859766387939453125e+01,8.151206970214843750e+00,8.272693634033203125e+00,1.175031542778015137e+00,1.195338606834411621e+00
5.909849929809570312e+01,8.228767395019531250e+00,8.294323921203613281e+00,1.032723069190979004e+00,1.159595727920532227e+00
5.959933090209960938e+01,8.282011032104492188e+00,8.317220687866210938e+00,9.367563128471374512e-01,1.121419310569763184e+00
6.010016632080078125e+01,8.317507743835449219e+00,8.341425895690917969e+00,8.734365701675415039e-01,1.080906271934509277e+00
6.060100173950195312e+01,8.340141296386718750e+00,8.366902351379394531e+00,8.330172300338745117e-01,1.038253664970397949e+00
6.110183715820312500e+01,8.353303909301757812e+00,8.393538475036621094e+00,8.089866042137145996e-01,9.937656521797180176e-01
6.160267257690429688e+01,8.359336853027343750e+00,8.421170234680175781e+00,7.970449924468994141e-01,9.478272199630737305e-01
6.210350418090820312e+01,8.359860420227050781e+00,8.449604988098144531e+00,7.943010330200195312e-01,9.008738398551940918e-01
6.260433959960937500e+01,8.356032371520996094e+00,8.478638648986816406e+00,7.987620830535888672e-01,8.533533811569213867e-01
6.310517501831054688e+01,8.348698616027832031e+00,8.508062362670898438e+00,8.089892864227294922e-01,8.057098388671875000e-01
6.360601043701171875e+01,8.338517189025878906e+00,8.537686347961425781e+00,8.239024281501770020e-01,7.583577632904052734e-01
6.410684204101562500e+01,8.326004981994628906e+00,8.567328453063964844e+00,8.426396846771240234e-01,7.116722464561462402e-01
6.460768127441406250e+01,8.239954948425292969e+00,8.706408500671386719e+00,1.010379791259765625e+00,5.243471860885620117e-01
6.510851287841796875e+01,8.229454994201660156e+00,8.703743934631347656e+00,1.019460678100585938e+00,5.237111449241638184e-01
6.560935211181640625e+01,8.244567871093750000e+00,8.719192504882812500e+00,9.859285950660705566e-01,4.979109168052673340e-01
6.611018371582031250e+01,8.238402366638183594e+00,8.740143775939941406e+00,9.919475317001342773e-01,4.676958024501800537e-01
6.661101531982421875e+01,8.225910186767578125e+00,8.762566566467285156e+00,1.009369969367980957e+00,4.369837343692779541e-01
6.711185455322265625e+01,8.211109161376953125e+00,8.785222053527832031e+00,1.030861735343933105e+00,4.070990681648254395e-01
6.761268615722656250e+01,8.195354461669921875e+00,8.807467460632324219e+00,1.053966999053955078e+00,3.787745237350463867e-01
6.811352539062500000e+01,8.179277420043945312e+00,8.828880310058593750e+00,1.077566027641296387e+00,3.524344265460968018e-01
6.861435699462890625e+01,8.163249969482421875e+00,8.849196434020996094e+00,1.101007342338562012e+00,3.283053338527679443e-01
6.911518859863281250e+01,8.147510528564453125e+00,8.868237495422363281e+00,1.123907685279846191e+00,3.064594268798828125e-01
6.961602783203125000e+01,8.132213592529296875e+00,8.885899543762207031e+00,1.146027684211730957e+00,2.868616282939910889e-01
7.011685943603515625e+01,8.117462158203125000e+00,8.902158737182617188e+00,1.167239189147949219e+00,2.694067656993865967e-01
7.061769866943359375e+01,8.085695266723632812e+00,9.018835067749023438e+00,1.316852211952209473e+00,1.917372792959213257e-01
7.111853027343750000e+01,8.088311195373535156e+00,9.003803253173828125e+00,1.272721648216247559e+00,1.942176371812820435e-01
7.161936187744140625e+01,8.089983940124511719e+00,9.004485130310058594e+00,1.252616524696350098e+00,1.893035322427749634e-01
