time,loss_onestep,loss_rollout
5.008347034454345703e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.001669406890869141e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.502504229545593262e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.003338813781738281e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.504173517227172852e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.005008459091186523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.505843162536621094e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.006677627563476562e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.507512569427490234e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.008347034454345703e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.509181976318359375e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.010016918182373047e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.510851383209228516e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.011686325073242188e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.512520790100097656e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.013355255126953125e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.514190673828125000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.015025138854980469e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.515859603881835938e+00,1.685044728219509125e-03,1.685043796896934509e-03
1.001669406890869141e+01,6.671056617051362991e-04,4.521428607404232025e-03
1.051752948760986328e+01,3.317490381959942169e-06,4.756839014589786530e-03
1.101836395263671875e+01,3.790984192164614797e-05,4.187343176454305649e-03
1.151919841766357422e+01,5.073099237051792443e-05,3.559418022632598877e-03
1.202003383636474609e+01,4.196304871584288776e-05,3.034404944628477097e-03
1.252086830139160156e+01,3.143778303638100624e-05,2.618770813569426537e-03
1.302170276641845703e+01,2.338307058380451053e-05,2.290581353008747101e-03
1.352253723144531250e+01,1.769020309438928962e-05,2.028529066592454910e-03
1.402337265014648438e+01,1.366701235383516178e-05,1.816464355215430260e-03
1.452420711517333984e+01,1.074783631338505074e-05,1.642750576138496399e-03
1.502504158020019531e+01,8.554993655707221478e-06,1.498986734077334404e-03
1.552587604522705078e+01,6.866695457574678585e-06,1.379000255838036537e-03
1.602671051025390625e+01,5.553094524657353759e-06,1.278158975765109062e-03
1.652754592895507812e+01,4.529143552645109594e-06,1.192913390696048737e-03
1.702838134765625000e+01,3.709637894644401968e-06,1.120496890507638454e-03
1.752921485900878906e+01,2.459292045386973768e-05,1.122097484767436981e-03
1.803005027770996094e+01,1.645542331971228123e-03,5.544753279536962509e-03
1.853088569641113281e+01,2.646941866260021925e-04,8.289428427815437317e-03
1.903171920776367188e+01,4.782373434863984585e-05,9.619515389204025269e-03
1.953255462646484375e+01,8.643838555144611746e-06,1.018144655972719193e-02
2.003338813781738281e+01,2.250959141747443937e-06,1.028513815253973007e-02
2.053422355651855469e+01,3.930319962819339707e-06,1.008395664393901825e-02
2.103505897521972656e+01,8.051332770264707506e-06,9.677886962890625000e-03
2.153589248657226562e+01,1.217895351146580651e-05,9.144610725343227386e-03
2.203672790527343750e+01,1.509044977865414694e-05,8.545569144189357758e-03
2.253756332397460938e+01,1.645099291636142880e-05,7.926885969936847687e-03
2.303839683532714844e+01,1.647506906010676175e-05,7.320723496377468109e-03
2.353923225402832031e+01,1.564422018418554217e-05,6.747582461684942245e-03
2.404006767272949219e+01,1.479401180404238403e-05,6.219008006155490875e-03
2.454090118408203125e+01,1.412799610989168286e-05,5.740142427384853363e-03
2.504173660278320312e+01,1.345460623269900680e-05,5.311830900609493256e-03
2.554257011413574219e+01,1.262363002751953900e-05,4.932234995067119598e-03
2.604340553283691406e+01,1.164917921414598823e-05,4.598000086843967438e-03
2.654424095153808594e+01,1.069543213816359639e-05,4.305027425289154053e-03
2.704507446289062500e+01,9.929725820256862789e-06,4.049012903124094009e-03
2.754590988159179688e+01,9.062333447218406945e-06,3.825725521892309189e-03
2.804674530029296875e+01,7.945855031721293926e-06,3.631199710071086884e-03
2.854757881164550781e+01,6.897828370711067691e-06,3.461822401732206345e-03
2.904841423034667969e+01,6.180449418025091290e-06,3.314333036541938782e-03
2.954924964904785156e+01,5.907068498345324770e-06,3.185888752341270447e-03
3.005008316040039062e+01,6.118234978202963248e-06,3.073976375162601471e-03
3.055091857910156250e+01,6.808719263062812388e-06,2.976404502987861633e-03
3.105175209045410156e+01,7.933144843264017254e-06,2.891270443797111511e-03
3.155258750915527344e+01,9.414244232175406069e-06,2.816946711391210556e-03
3.205342102050781250e+01,1.118491036322666332e-05,2.751996740698814392e-03
3.255425643920898438e+01,1.319357397733256221e-05,2.695208182558417320e-03
3.305509185791015625e+01,1.539220102131366730e-05,2.645506290718913078e-03
3.355592727661132812e+01,1.772296673152595758e-05,2.601985586807131767e-03
3.405676269531250000e+01,2.007542389037553221e-05,2.563850022852420807e-03
