time,loss_onestep,loss_rollout
5.008347034454345703e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.001669406890869141e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.502504229545593262e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.003338813781738281e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.504173517227172852e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.005008459091186523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.505843162536621094e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.006677627563476562e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.507512569427490234e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.008347034454345703e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.509181976318359375e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.010016918182373047e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.510851383209228516e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.011686325073242188e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.512520790100097656e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.013355255126953125e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.514190673828125000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.015025138854980469e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.515859603881835938e+00,5.610124790109694004e-04,5.601175362244248390e-04
1.001669406890869141e+01,1.448834227630868554e-04,9.626123937778174877e-04
1.051752948760986328e+01,8.775551236794854049e-07,1.005158643238246441e-03
1.101836395263671875e+01,1.100040844903560355e-05,8.549403282813727856e-04
1.151919841766357422e+01,1.634748878132086247e-05,6.835248204879462719e-04
1.202003383636474609e+01,1.522823458799393848e-05,5.355371977202594280e-04
1.252086830139160156e+01,1.254453854926396161e-05,4.168101004324853420e-04
1.302170276641845703e+01,9.949691957444883883e-06,3.237314231228083372e-04
1.352253723144531250e+01,7.814057426003273576e-06,2.513058425392955542e-04
1.402337265014648438e+01,6.128142103989375755e-06,1.950818259501829743e-04
1.452420711517333984e+01,4.814670774067053571e-06,1.514598261564970016e-04
1.502504158020019531e+01,3.796003511524759233e-06,1.176162841147743165e-04
1.552587604522705078e+01,3.007236955454573035e-06,9.135328582488000393e-05
1.602671051025390625e+01,2.395932142462697811e-06,7.096773333614692092e-05
1.652754592895507812e+01,1.920420118040055968e-06,5.514076838153414428e-05
1.702838134765625000e+01,1.549538069411937613e-06,4.284991155145689845e-05
1.752921485900878906e+01,3.308909799670800567e-05,1.032328436849638820e-04
1.803005027770996094e+01,1.206658664159476757e-03,1.960717840120196342e-03
1.853088569641113281e+01,1.685932802502065897e-04,3.280619625002145767e-03
1.903171920776367188e+01,1.600706855242606252e-05,3.725672373548150063e-03
1.953255462646484375e+01,4.034324319945881143e-06,3.669590456411242485e-03
2.003338813781738281e+01,1.215094835060881451e-05,3.366667078807950020e-03
2.053422355651855469e+01,1.948743374668993056e-05,2.959884237498044968e-03
2.103505897521972656e+01,2.348437919863499701e-05,2.528705867007374763e-03
2.153589248657226562e+01,2.462834709149319679e-05,2.116241026669740677e-03
2.203672790527343750e+01,2.379766556259710342e-05,1.743923290632665157e-03
2.253756332397460938e+01,2.175679583160672337e-05,1.420205924659967422e-03
2.303839683532714844e+01,1.912586776597891003e-05,1.145969377830624580e-03
2.353923225402832031e+01,1.633192368899472058e-05,9.180054767057299614e-04
2.404006767272949219e+01,1.363803312415257096e-05,7.311731460504233837e-04
2.454090118408203125e+01,1.119127955462317914e-05,5.797005724161863327e-04
2.504173660278320312e+01,9.072874490811955184e-06,4.579227534122765064e-04
2.554257011413574219e+01,7.335040663747349754e-06,3.606608370319008827e-04
2.604340553283691406e+01,5.952557785349199548e-06,2.833832695614546537e-04
2.654424095153808594e+01,4.851818630413617939e-06,2.222373877884820104e-04
2.704507446289062500e+01,3.965952600992750376e-06,1.740144507493823767e-04
2.754590988159179688e+01,3.247743734391406178e-06,1.360851165372878313e-04
2.804674530029296875e+01,2.667888111318461597e-06,1.063149975379928946e-04
2.854757881164550781e+01,2.208103524026228115e-06,8.299008186440914869e-05
2.904841423034667969e+01,1.826790253289800603e-06,6.473879329860210419e-05
2.954924964904785156e+01,1.504773308624862693e-06,5.047480954090133309e-05
3.005008316040039062e+01,1.235102899954654276e-06,3.933664629585109651e-05
3.055091857910156250e+01,1.014740178106876556e-06,3.064522752538323402e-05
3.105175209045410156e+01,8.401141826652747113e-07,2.386743108218070120e-05
3.155258750915527344e+01,7.087160724950081203e-07,1.858481664385180920e-05
3.205342102050781250e+01,6.219694910214457195e-07,1.446851274522487074e-05
3.255425643920898438e+01,5.889008320991706569e-07,1.126251027017133310e-05
3.305509185791015625e+01,6.349440582198440097e-07,8.765568964008707553e-06
3.355592727661132812e+01,8.230496746364224236e-07,6.821902843512361869e-06
3.405676269531250000e+01,1.258268525816674810e-06,5.308733307174406946e-06
