time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10
5.008347034454345703e-01,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
1.001669406890869141e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
1.502504229545593262e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.003338813781738281e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.504173517227172852e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.005008459091186523e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.505843162536621094e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.006677627563476562e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.507512569427490234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.008347034454345703e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.509181976318359375e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.010016918182373047e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.510851383209228516e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.011686325073242188e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.512520790100097656e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.013355255126953125e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.514190673828125000e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.015025138854980469e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.515859603881835938e+00,1.148468136787414551e+00,9.664575576782226562e+00,9.915488243103027344e+00,1.413776993751525879e+00,2.013608455657958984e+00,4.753739356994628906e+00,2.676831007003784180e+00,1.070796489715576172e+00,9.946934700012207031e+00,7.339890480041503906e+00,3.442589998245239258e+00
1.001669406890869141e+01,3.059578180313110352e+00,7.230451107025146484e+00,8.527443885803222656e+00,1.188139796257019043e+00,2.939532518386840820e+00,3.659900903701782227e+00,8.224319458007812500e+00,5.247413158416748047e+00,6.532477736473083496e-01,7.040430545806884766e+00,6.368859291076660156e+00
1.051752948760986328e+01,6.962872982025146484e+00,7.933936595916748047e+00,8.805330276489257812e+00,9.543066024780273438e-01,3.463530063629150391e+00,3.872023582458496094e+00,2.827085018157958984e+00,1.419379711151123047e+00,1.537554711103439331e-01,6.671228885650634766e+00,6.291594982147216797e+00
1.101836395263671875e+01,6.815428733825683594e+00,8.078992843627929688e+00,9.001822471618652344e+00,6.728629469871520996e-01,3.984902381896972656e+00,4.294772624969482422e+00,2.735974550247192383e+00,9.542363286018371582e-01,9.277497231960296631e-02,6.190168380737304688e+00,5.904812335968017578e+00
1.151919841766357422e+01,6.661183834075927734e+00,8.115615844726562500e+00,9.084407806396484375e+00,5.135849118232727051e-01,4.403247833251953125e+00,4.574268817901611328e+00,3.030837535858154297e+00,8.831538558006286621e-01,9.009113907814025879e-02,5.738747119903564453e+00,5.577912807464599609e+00
1.202003383636474609e+01,6.567024230957031250e+00,8.130687713623046875e+00,9.112050056457519531e+00,4.432839453220367432e-01,4.715155124664306641e+00,4.736329555511474609e+00,3.378711462020874023e+00,8.876605629920959473e-01,9.724477678537368774e-02,5.374701023101806641e+00,5.351845264434814453e+00
1.252086830139160156e+01,6.475581645965576172e+00,8.124004364013671875e+00,9.115092277526855469e+00,4.134503901004791260e-01,4.948238372802734375e+00,4.835204601287841797e+00,3.703151941299438477e+00,9.374026060104370117e-01,1.070518940687179565e-01,5.095712184906005859e+00,5.202547073364257812e+00
1.302170276641845703e+01,6.351038455963134766e+00,8.082130432128906250e+00,9.102128028869628906e+00,3.992435634136199951e-01,5.154028892517089844e+00,4.917975902557373047e+00,3.926957368850708008e+00,1.025466442108154297e+00,1.175502240657806396e-01,4.910170078277587891e+00,5.121743679046630859e+00
1.352253723144531250e+01,6.268215179443359375e+00,8.072892189025878906e+00,9.096653938293457031e+00,3.904073238372802734e-01,5.318690776824951172e+00,5.001173019409179688e+00,4.179466247558593750e+00,1.137567043304443359e+00,1.310407221317291260e-01,4.767374992370605469e+00,5.091293334960937500e+00
1.402337265014648438e+01,6.209697246551513672e+00,8.086458206176757812e+00,9.093638420104980469e+00,3.832885921001434326e-01,5.452969551086425781e+00,5.058064937591552734e+00,4.437799930572509766e+00,1.294760942459106445e+00,1.465921849012374878e-01,4.655318737030029297e+00,5.064471244812011719e+00
1.452420711517333984e+01,6.171153545379638672e+00,8.122494697570800781e+00,9.093231201171875000e+00,3.763844966888427734e-01,5.561614513397216797e+00,5.101137161254882812e+00,4.697078704833984375e+00,1.522104978561401367e+00,1.640813350677490234e-01,4.563490390777587891e+00,5.043984413146972656e+00
1.502504158020019531e+01,6.147957801818847656e+00,8.178129196166992188e+00,9.096723556518554688e+00,3.688332438468933105e-01,5.650528430938720703e+00,5.134577274322509766e+00,4.948925018310546875e+00,1.853006362915039062e+00,1.837020367383956909e-01,4.486993312835693359e+00,5.027817249298095703e+00
