time,loss_onestep,loss_rollout
5.008347034454345703e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.001669406890869141e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.502504229545593262e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.003338813781738281e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.504173517227172852e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.005008459091186523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.505843162536621094e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.006677627563476562e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.507512569427490234e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.008347034454345703e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.509181976318359375e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.010016918182373047e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.510851383209228516e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.011686325073242188e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.512520790100097656e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.013355255126953125e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.514190673828125000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.015025138854980469e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.515859603881835938e+00,2.808630233630537987e-04,2.806755946949124336e-04
1.001669406890869141e+01,1.139401720138266683e-04,7.519619539380073547e-04
1.051752948760986328e+01,2.303098426637006924e-06,7.849797257222235203e-04
1.101836395263671875e+01,1.266298204427585006e-05,6.678068311884999275e-04
1.151919841766357422e+01,1.701587461866438389e-05,5.340859061107039452e-04
1.202003383636474609e+01,1.563562182127498090e-05,4.185967263765633106e-04
1.252086830139160156e+01,1.300576150242704898e-05,3.259010845795273781e-04
1.302170276641845703e+01,1.052403058565687388e-05,2.531996578909456730e-04
1.352253723144531250e+01,8.463070116704329848e-06,1.966072159120813012e-04
1.402337265014648438e+01,6.819849659223109484e-06,1.526586129330098629e-04
1.452420711517333984e+01,5.525240339920856059e-06,1.185493310913443565e-04
1.502504158020019531e+01,4.507336598180700094e-06,9.207766561303287745e-05
1.552587604522705078e+01,3.698604814417194575e-06,7.152968464652076364e-05
1.602671051025390625e+01,3.044321147172013298e-06,5.557583426707424223e-05
1.652754592895507812e+01,2.507221779524115846e-06,4.318977153161540627e-05
1.702838134765625000e+01,2.062661678792210296e-06,3.356686647748574615e-05
1.752921485900878906e+01,2.666217915248125792e-05,3.942775219911709428e-05
1.803005027770996094e+01,9.662591037340462208e-05,2.085053420159965754e-04
1.853088569641113281e+01,1.424080255674198270e-04,6.920174928382039070e-04
1.903171920776367188e+01,6.797524110879749060e-05,1.187948277220129967e-03
1.953255462646484375e+01,2.059198413917329162e-05,1.510590547695755959e-03
2.003338813781738281e+01,3.708024451043456793e-06,1.638977671973407269e-03
2.053422355651855469e+01,1.261408669961383566e-06,1.617871690541505814e-03
2.103505897521972656e+01,3.621832547651138157e-06,1.502149738371372223e-03
2.153589248657226562e+01,6.548388682858785614e-06,1.337157329544425011e-03
2.203672790527343750e+01,8.697822522663045675e-06,1.154807861894369125e-03
2.253756332397460938e+01,9.855428288574330509e-06,9.752245387062430382e-04
2.303839683532714844e+01,1.029133818519767374e-05,8.096998790279030800e-04
2.353923225402832031e+01,1.078497007256373763e-05,6.635263562202453613e-04
2.404006767272949219e+01,8.692316441738512367e-06,5.382110830396413803e-04
2.454090118408203125e+01,7.751070370431989431e-06,4.330555966589599848e-04
2.504173660278320312e+01,7.227649803098756820e-06,3.462182648945599794e-04
2.554257011413574219e+01,6.925415618752595037e-06,2.753763692453503609e-04
2.604340553283691406e+01,6.702758128085406497e-06,2.181275631301105022e-04
2.654424095153808594e+01,6.279893113969592378e-06,1.722105662338435650e-04
2.704507446289062500e+01,5.732761565013788640e-06,1.356077846139669418e-04
2.754590988159179688e+01,5.091326784167904407e-06,1.065429241862148046e-04
2.804674530029296875e+01,4.420701316121267155e-06,8.353680459549650550e-05
2.854757881164550781e+01,3.783432475756853819e-06,6.542981282109394670e-05
2.904841423034667969e+01,3.230766651540761814e-06,5.120051719131879508e-05
2.954924964904785156e+01,2.808572389767505229e-06,4.006227391073480248e-05
3.005008316040039062e+01,2.555667606429778971e-06,3.138873580610379577e-05
3.055091857910156250e+01,2.495613443898037076e-06,2.469716855557635427e-05
3.105175209045410156e+01,2.632771156640956178e-06,1.961286034202203155e-05
3.155258750915527344e+01,2.955641321022994816e-06,1.583895209478214383e-05
3.205342102050781250e+01,3.443868536123773083e-06,1.312885069637559354e-05
3.255425643920898438e+01,4.076840923517011106e-06,1.127444829762680456e-05
3.305509185791015625e+01,4.844618160859681666e-06,1.009734296530950814e-05
3.355592727661132812e+01,5.751257049269042909e-06,9.447066076972987503e-06
3.405676269531250000e+01,6.776991540391463786e-06,9.198051884595770389e-06
