run,nrmse,Met,LigH,Lig_minus,H_plus,Base,Mod,SBU,SBU_capped,Nuc_A,Am,Nuc_C,MOF_C
A2_sample_theta_12,0.011276,0.006423,0.008218,0.016144,0.007968,0.014716,0.002047,0.019811,0.017266,0.011516,0.006025,0.016170,0.009003
A5_ode_rnn_baseline_12,0.011288,0.006174,0.008208,0.016801,0.007014,0.014856,0.002066,0.018020,0.016864,0.012514,0.005444,0.017551,0.009945
A7_ode_rnn_l1reg_12,0.011747,0.006217,0.008366,0.016501,0.007136,0.014954,0.002298,0.019694,0.017269,0.012719,0.006106,0.018850,0.010856
A6_ode_rnn_unbounded_12,0.018793,0.007459,0.009413,0.018187,0.008554,0.014679,0.003878,0.033394,0.031878,0.024903,0.009870,0.039372,0.023932
A5_ode_rnn_baseline_8,0.021780,,,,,0.021332,0.004622,0.050751,0.028691,0.020441,0.010458,0.021656,0.016286
A7_ode_rnn_l1reg_8,0.022291,,,,,0.022133,0.004760,0.049302,0.028464,0.020473,0.013390,0.020625,0.019182
A6_ode_rnn_unbounded_8,0.027077,,,,,0.023898,0.005381,0.051144,0.026874,0.026307,0.014139,0.038372,0.030497
A5_ode_rnn_baseline_6,0.050826,,,,,0.023378,0.047373,0.075093,,,0.084885,0.039639,0.034590
A7_ode_rnn_l1reg_6,0.051145,,,,,0.023605,0.047373,0.075475,,,0.084868,0.039219,0.036330
A6_ode_rnn_unbounded_6,0.077882,,,,,0.037507,0.047373,0.101460,,,0.115375,0.097735,0.067841
A2_sample_theta_8,0.082927,,,,,0.053889,0.012467,0.060074,0.067652,0.096923,0.112123,0.142641,0.117644
A2_sample_theta_6,0.095370,,,,,0.069043,0.047373,0.069539,,,0.165553,0.114312,0.106401
A4_neural_ode_mlp_12,0.127182,0.099651,0.098473,0.083645,0.111300,0.031615,0.057969,0.105776,0.336893,0.164775,0.089222,0.122283,0.224583
A5_ode_rnn_baseline_4,0.136413,,,,,0.070619,0.048784,,,,0.180734,,0.245514
A7_ode_rnn_l1reg_4,0.136487,,,,,0.070933,0.048813,,,,0.180677,,0.245523
A6_ode_rnn_unbounded_4,0.136728,,,,,0.027160,0.042679,,,,0.196068,,0.281004
A2_sample_theta_4,0.142376,,,,,0.037031,0.049260,,,,0.208188,,0.275025
A1_fixed_theta_12,0.147878,0.070002,0.027230,0.153180,0.044630,0.034423,0.028560,0.142932,0.231262,0.244514,0.115353,0.230122,0.452326
A4_neural_ode_mlp_6,0.151455,,,,,0.037982,0.057482,0.121918,,,0.171174,0.211762,0.308411
A3_neural_ode_gru_6,0.163886,,,,,0.036828,0.064457,0.124044,,,0.244261,0.271714,0.242012
A4_neural_ode_mlp_8,0.165975,,,,,0.037235,0.062016,0.119816,0.304195,0.174252,0.159663,0.209487,0.261132
A3_neural_ode_gru_12,0.179600,0.170371,0.170232,0.071801,0.187653,0.031639,0.064988,0.147524,0.357196,0.182032,0.206212,0.318699,0.246852
A3_neural_ode_gru_4,0.199735,,,,,0.048773,0.050457,,,,0.358701,,0.341011
A1_fixed_theta_6,0.204091,,,,,0.069476,0.047373,0.084066,,,0.156874,0.355589,0.511170
A4_neural_ode_mlp_4,0.220819,,,,,0.096177,0.139452,,,,0.253541,,0.394104
A1_fixed_theta_8,0.230590,,,,,0.070622,0.028036,0.087188,0.240441,0.180902,0.275511,0.435113,0.526902
A3_neural_ode_gru_8,0.253423,,,,,0.069508,0.108909,0.187718,0.390933,0.244047,0.218128,0.425248,0.382888
A1_fixed_theta_4,0.584148,,,,,0.050637,0.241317,,,,1.792822,,0.251816
