run,nrmse,Met,LigH,Lig_minus,H_plus,Base,Mod,SBU,SBU_capped,Nuc_A,Am,Nuc_C,MOF_C
A5_ode_rnn_baseline_12,0.012006,0.006717,0.008917,0.017165,0.008176,0.015142,0.002115,0.018740,0.019808,0.011580,0.005210,0.020870,0.009627
A2_sample_theta_12,0.012128,0.006818,0.008630,0.017850,0.008984,0.014850,0.002082,0.023489,0.017943,0.012625,0.005023,0.017698,0.009547
A7_ode_rnn_l1reg_12,0.012398,0.006985,0.009048,0.017846,0.008205,0.015485,0.002195,0.019349,0.020920,0.012101,0.005742,0.021657,0.009243
A6_ode_rnn_unbounded_12,0.014431,0.006987,0.008479,0.018705,0.008314,0.013567,0.001765,0.028597,0.019060,0.021695,0.008088,0.023034,0.014881
A5_ode_rnn_baseline_8,0.021220,,,,,0.019435,0.004393,0.052626,0.028062,0.022830,0.009571,0.019652,0.013190
A7_ode_rnn_l1reg_8,0.021380,,,,,0.019352,0.004326,0.052214,0.027996,0.022607,0.010945,0.019608,0.013991
A7_ode_rnn_l1reg_6,0.050189,,,,,0.021426,0.049953,0.083527,,,0.077328,0.034889,0.034012
A5_ode_rnn_baseline_6,0.050483,,,,,0.021125,0.049953,0.084202,,,0.077065,0.035751,0.034801
A6_ode_rnn_unbounded_6,0.062215,,,,,0.030776,0.049953,0.079239,,,0.095886,0.065310,0.052126
A2_sample_theta_8,0.084327,,,,,0.050245,0.008807,0.058662,0.070745,0.095199,0.106658,0.163869,0.120428
A2_sample_theta_6,0.090404,,,,,0.062536,0.049953,0.066482,,,0.159021,0.119108,0.085324
A6_ode_rnn_unbounded_8,0.102360,,,,,0.091117,0.021430,0.086943,0.128059,0.130328,0.102261,0.117384,0.141354
A7_ode_rnn_l1reg_4,0.124050,,,,,0.066264,0.049722,,,,0.166294,,0.213920
A5_ode_rnn_baseline_4,0.124076,,,,,0.065921,0.050085,,,,0.166251,,0.214048
A6_ode_rnn_unbounded_4,0.125052,,,,,0.028159,0.050525,,,,0.177970,,0.243553
A4_neural_ode_mlp_12,0.125926,0.128896,0.116602,0.094958,0.116232,0.027891,0.062404,0.096606,0.300946,0.131027,0.095138,0.183644,0.156767
A2_sample_theta_4,0.131161,,,,,0.038487,0.053136,,,,0.202219,,0.230800
A4_neural_ode_mlp_6,0.142645,,,,,0.036758,0.050998,0.109406,,,0.191910,0.232355,0.234445
A1_fixed_theta_12,0.144964,0.068050,0.024638,0.152287,0.042542,0.038008,0.029767,0.145159,0.217567,0.237016,0.110757,0.226024,0.447753
A4_neural_ode_mlp_8,0.157227,,,,,0.032559,0.058067,0.127603,0.323049,0.150433,0.132963,0.215210,0.217936
A3_neural_ode_gru_6,0.169293,,,,,0.033436,0.060652,0.140484,,,0.256907,0.268759,0.255522
A3_neural_ode_gru_12,0.170826,0.170875,0.149227,0.076356,0.168676,0.030638,0.066769,0.184944,0.388863,0.178531,0.141560,0.233570,0.259900
A3_neural_ode_gru_4,0.198964,,,,,0.046047,0.062045,,,,0.358043,,0.329722
A1_fixed_theta_6,0.202748,,,,,0.061697,0.049953,0.087319,,,0.157448,0.350418,0.509655
A3_neural_ode_gru_8,0.203897,,,,,0.032303,0.062320,0.148405,0.363270,0.217752,0.314444,0.232118,0.260565
A4_neural_ode_mlp_4,0.209421,,,,,0.074599,0.109965,,,,0.277792,,0.375328
A1_fixed_theta_8,0.230029,,,,,0.063163,0.028778,0.084498,0.239508,0.188649,0.273664,0.443046,0.518923
A1_fixed_theta_4,0.529305,,,,,0.044513,0.235685,,,,1.614304,,0.222719
