run,nrmse,A,C,Base,Mod,Am,MOF_C
gru_enzyme_bs32_s1,0.010076,0.008437,0.011716,,,,
trans_enzyme_bs32_s0,0.010389,0.008881,0.011898,,,,
trans_enzyme_bs32_s42,0.010393,0.008842,0.011944,,,,
gru_enzyme_bs32_s0,0.010675,0.009593,0.011758,,,,
lstm_enzyme_bs32_s42,0.011678,0.009491,0.013866,,,,
lstm_enzyme_bs32_s1,0.011776,0.009654,0.013897,,,,
lstm_enzyme_bs32_s0,0.012019,0.010502,0.013536,,,,
gru_enzyme_bs32_s42,0.013840,0.012079,0.015601,,,,
trans_enzyme_bs32_s1,0.013967,0.011284,0.016650,,,,
lstm_mof4_bs32_s0,0.029242,,,0.021107,0.022603,0.033249,0.040011
gru_mof4_bs32_s0,0.032118,,,0.023191,0.024275,0.037224,0.043784
lstm_mof4_bs32_s1,0.032126,,,0.020311,0.025224,0.040345,0.042625
gru_mof4_bs32_s42,0.033284,,,0.024551,0.025003,0.037614,0.045968
gru_mof4_bs32_s1,0.033769,,,0.024744,0.024579,0.036989,0.048763
lstm_mof4_bs32_s42,0.035357,,,0.022307,0.027195,0.034574,0.057351
trans_mof4_bs32_s42,0.044478,,,0.059006,0.025525,0.029685,0.063696
trans_mof4_bs32_s0,0.046508,,,0.060599,0.032022,0.034369,0.059042
trans_mof4_bs32_s1,nan,,,nan,nan,nan,nan
mamba_enzyme_bs32_s42,0.062979,0.053063,0.072895,,,,
mamba_enzyme_bs32_s1,0.068244,0.061606,0.074882,,,,
mamba_enzyme_bs32_s0,0.072107,0.064693,0.079521,,,,
mamba_mof4_bs32_s1,0.093280,,,0.058275,0.036589,0.144925,0.133330
mamba_mof4_bs32_s0,0.102157,,,0.047443,0.038015,0.167022,0.156148
mamba_mof4_bs32_s42,0.110955,,,0.038678,0.048293,0.152632,0.204216
