run,nrmse,A,C,Base,Mod,Am,MOF_C
gru_enzyme_bs32_s0,0.010675,0.009593,0.011758,,,,
gru_enzyme_bs64_s1,0.011816,0.010201,0.013430,,,,
gru_enzyme_bs64_s0,0.013032,0.011352,0.014713,,,,
gru_enzyme_bs32_s42,0.013840,0.012079,0.015601,,,,
gru_enzyme_bs256_s1,0.027505,0.022041,0.032968,,,,
gru_enzyme_bs256_s0,0.028911,0.026416,0.031406,,,,
gru_mof4_bs32_s0,0.032118,,,0.023191,0.024275,0.037224,0.043784
gru_mof4_bs32_s42,0.033284,,,0.024551,0.025003,0.037614,0.045968
gru_mof4_bs32_s1,0.033769,,,0.024744,0.024579,0.036989,0.048763
gru_enzyme_bs500_s0,0.037800,0.033753,0.041846,,,,
gru_enzyme_bs500_s1,0.038199,0.033901,0.042498,,,,
gru_enzyme_bs500_s42,0.040667,0.038105,0.043230,,,,
gru_enzyme_bs1000_s0,0.082888,0.074817,0.090959,,,,
gru_mof4_bs256_s42,0.097691,,,0.039258,0.046667,0.127369,0.177472
gru_mof4_bs256_s1,0.102996,,,0.031803,0.048049,0.152367,0.179765
gru_mof4_bs256_s0,0.104645,,,0.030359,0.049067,0.150925,0.188230
gru_mof4_bs500_s42,0.114446,,,0.030699,0.047942,0.168812,0.210331
gru_mof4_bs500_s1,0.117677,,,0.034266,0.048035,0.172145,0.216260
gru_enzyme_bs1000_s42,0.129578,0.120315,0.138841,,,,
gru_mof4_bs1000_s1,0.131874,,,0.067718,0.048948,0.173911,0.236918
gru_mof4_bs1000_s0,0.133387,,,0.066646,0.048997,0.175612,0.242294
gru_mof4_bs1000_s42,0.136413,,,0.070619,0.048784,0.180734,0.245514
gru_enzyme_bs1000_s1,0.145215,0.133733,0.156696,,,,
gru_enzyme_bs256_s42,0.177563,0.158182,0.196945,,,,
