run,nrmse,A,C,Base,Mod,Am,MOF_C
lstm_enzyme_bs64_s0,0.011925,0.010852,0.012998,,,,
lstm_enzyme_bs64_s1,0.013262,0.010562,0.015961,,,,
lstm_enzyme_bs256_s42,0.024334,0.020475,0.028194,,,,
lstm_enzyme_bs256_s0,0.026296,0.021569,0.031022,,,,
lstm_mof4_bs32_s0,0.029242,,,0.021107,0.022603,0.033249,0.040011
lstm_enzyme_bs256_s1,0.029953,0.025520,0.034387,,,,
lstm_mof4_bs32_s42,0.035357,,,0.022307,0.027195,0.034574,0.057351
lstm_enzyme_bs500_s42,0.053056,0.046673,0.059438,,,,
lstm_enzyme_bs500_s0,0.055349,0.043117,0.067581,,,,
lstm_enzyme_bs500_s1,0.096757,0.090508,0.103006,,,,
lstm_mof4_bs256_s1,0.107129,,,0.037437,0.051563,0.149428,0.190089
lstm_enzyme_bs1000_s0,0.108120,0.093655,0.122584,,,,
lstm_mof4_bs256_s42,0.108849,,,0.029424,0.051029,0.156702,0.198240
lstm_mof4_bs256_s0,0.110926,,,0.035052,0.050230,0.159749,0.198675
lstm_mof4_bs500_s42,0.117654,,,0.036883,0.050547,0.172934,0.210250
lstm_mof4_bs500_s0,0.118525,,,0.036378,0.049933,0.171333,0.216454
lstm_mof4_bs500_s1,0.120303,,,0.040190,0.050008,0.175668,0.215346
lstm_mof4_bs1000_s1,0.133660,,,0.050202,0.049453,0.173295,0.261691
lstm_mof4_bs1000_s0,0.135487,,,0.044081,0.050956,0.176406,0.270506
lstm_mof4_bs1000_s42,0.136722,,,0.046877,0.050052,0.177612,0.272345
lstm_enzyme_bs1000_s1,0.139404,0.117028,0.161780,,,,
lstm_enzyme_bs1000_s42,0.188501,0.174901,0.202102,,,,
