run,nrmse,A,C,Base,Mod,Am,MOF_C
mamba_enzyme_bs64_s0,0.060719,0.056850,0.064588,,,,
mamba_enzyme_bs64_s1,0.063639,0.056894,0.070385,,,,
mamba_mof4_bs32_s42,0.098144,,,0.043450,0.041157,0.139968,0.168002
mamba_mof4_bs256_s1,0.104416,,,0.038078,0.046634,0.148973,0.183977
mamba_enzyme_bs256_s0,0.105122,0.099320,0.110924,,,,
mamba_enzyme_bs256_s1,0.108806,0.097183,0.120430,,,,
mamba_mof4_bs32_s0,0.110065,,,0.033691,0.044221,0.159849,0.202498
mamba_mof4_bs256_s0,0.110848,,,0.060737,0.043530,0.167064,0.172062
mamba_mof4_bs500_s42,0.112873,,,0.072994,0.049525,0.161981,0.166991
mamba_mof4_bs256_s42,0.114743,,,0.052843,0.046371,0.171117,0.188643
mamba_mof4_bs500_s1,0.117794,,,0.049850,0.050025,0.169312,0.201987
mamba_enzyme_bs500_s1,0.123910,0.114284,0.133537,,,,
mamba_mof4_bs1000_s1,0.124004,,,0.077461,0.044892,0.175835,0.197830
mamba_enzyme_bs500_s0,0.127191,0.118389,0.135993,,,,
mamba_mof4_bs1000_s42,0.127475,,,0.067203,0.044118,0.181311,0.217267
mamba_enzyme_bs256_s42,0.127487,0.116477,0.138497,,,,
mamba_mof4_bs500_s0,0.127547,,,0.088200,0.043354,0.174983,0.203652
mamba_mof4_bs1000_s0,0.131029,,,0.084207,0.054233,0.175405,0.210273
mamba_enzyme_bs500_s42,0.136867,0.128922,0.144812,,,,
mamba_enzyme_bs1000_s1,0.154339,0.142514,0.166163,,,,
mamba_enzyme_bs1000_s42,0.160506,0.147044,0.173969,,,,
mamba_enzyme_bs1000_s0,0.163367,0.143015,0.183720,,,,
