run,nrmse,Glc,HexP,TriP,BPG13,PG3,PEP,Pyr,Lac,ATP,ADP,NAD,NADH
A6_baseline_n1000,0.071950,0.021588,0.018013,0.131642,0.263799,0.079912,0.140529,0.054275,0.043052,0.013215,0.007783,0.037738,0.051854
A7_l1reg_n1000,0.076931,0.015467,0.016795,0.130511,0.287147,0.084934,0.204055,0.039571,0.031848,0.014751,0.008855,0.037264,0.051976
A5_unbounded_n1000,0.088222,0.023334,0.022359,0.184045,0.325474,0.091115,0.176248,0.052476,0.041370,0.017821,0.010630,0.048012,0.065781
A4_neural_ode_mlp_n1000,0.143171,0.040454,0.056820,0.200205,0.423233,0.177619,0.311966,0.108859,0.126862,0.033812,0.023199,0.088573,0.126450
A6_baseline_n100,0.147651,0.049462,0.042895,0.277127,0.527716,0.146091,0.157974,0.095654,0.111610,0.034192,0.020535,0.069643,0.238912
A7_l1reg_n100,0.160825,0.052303,0.047931,0.282521,0.548276,0.163532,0.202111,0.105575,0.120682,0.037560,0.022860,0.081102,0.265448
A9_neural_ode_correction_n100,0.165741,0.039374,0.044138,0.169974,0.508263,0.166765,0.495975,0.089550,0.127113,0.038797,0.044760,0.109809,0.154376
A5_unbounded_n100,0.171774,0.041373,0.039163,0.316344,0.726765,0.143886,0.203826,0.084115,0.103997,0.033725,0.020173,0.080011,0.267908
A9_neural_ode_correction_n1000,0.174355,0.035980,0.055100,0.211288,0.574284,0.168532,0.540987,0.104911,0.108919,0.032876,0.021009,0.108334,0.130041
A2_sample_theta_n100,0.174521,0.055890,0.056957,0.326832,0.551490,0.161616,0.216558,0.121288,0.099309,0.042036,0.026324,0.102180,0.333775
A3_neural_ode_gru_n1000,0.177673,0.035566,0.053755,0.220286,0.744179,0.178964,0.301047,0.113398,0.175063,0.030819,0.021881,0.087120,0.169999
A2_sample_theta_n1000,0.182059,0.052008,0.067431,0.388885,0.624546,0.193488,0.256255,0.103978,0.095324,0.047792,0.028195,0.132842,0.193971
A1_fixed_theta_n1000,0.183748,0.056060,0.068766,0.367213,0.640828,0.188054,0.230684,0.127741,0.094741,0.051992,0.030853,0.141092,0.206957
A3_neural_ode_gru_n100,0.196327,0.061579,0.077921,0.278397,0.268317,0.323835,0.444285,0.134167,0.153607,0.035586,0.049926,0.068346,0.459960
A2_sample_theta_n10,0.210927,0.040292,0.116670,0.401568,0.935085,0.062357,0.301066,0.115648,0.178482,0.067419,0.048299,0.034835,0.229397
A5_unbounded_n3,0.215182,0.052799,0.247924,0.286396,1.012143,0.279540,0.384654,0.052101,0.014857,0.045683,0.027538,0.080349,0.098198
A4_neural_ode_mlp_n100,0.221312,0.059734,0.052168,0.254560,0.485407,0.499035,0.347042,0.146519,0.201626,0.034135,0.055647,0.133188,0.386683
A4_neural_ode_mlp_n3,0.252424,0.192880,0.159584,0.368465,0.211885,0.276802,0.387156,0.343340,0.296844,0.298859,0.206075,0.178539,0.108656
A2_sample_theta_n3,0.252919,0.071181,0.225021,0.685493,0.752595,0.329517,0.274938,0.190675,0.151360,0.056435,0.034019,0.118709,0.145080
A7_l1reg_n3,0.259328,0.065496,0.141968,0.503093,1.020953,0.108124,0.198299,0.252582,0.234844,0.132969,0.080153,0.168061,0.205395
A5_unbounded_first_last_n1000,0.264560,0.007081,0.130268,1.077931,1.216938,0.088760,0.228564,0.185644,0.119873,0.035903,0.020691,0.026137,0.036930
A5_unbounded_n10,0.265624,0.052745,0.064587,0.667027,1.359851,0.281613,0.129657,0.096689,0.105065,0.060488,0.043333,0.043035,0.283402
A9_neural_ode_correction_n3,0.265969,0.120180,0.179804,0.400455,0.604252,0.326294,0.351153,0.197107,0.272842,0.237932,0.111851,0.221513,0.168239
