run,nrmse,Glc,Pyr,ATP,NADH
A6_baseline_n1000,0.077236,0.038075,0.104430,0.044192,0.122246
A7_l1reg_n1000,0.079385,0.045484,0.113852,0.041863,0.116341
A5_unbounded_n1000,0.088418,0.048396,0.113810,0.039557,0.151910
A9_neural_ode_correction_n10,0.099986,0.088284,0.041852,0.067673,0.202136
A3_neural_ode_gru_n1000,0.108459,0.053047,0.139676,0.053625,0.187487
A6_baseline_n100,0.111310,0.045117,0.124212,0.063141,0.212770
A9_neural_ode_correction_n100,0.125090,0.069037,0.106205,0.052292,0.272829
A9_neural_ode_correction_n1000,0.136894,0.069500,0.173276,0.051222,0.253579
A7_l1reg_n100,0.140485,0.080396,0.159934,0.090422,0.231190
A4_neural_ode_mlp_n10,0.141374,0.125288,0.173969,0.064707,0.201532
A3_neural_ode_gru_n100,0.145007,0.071665,0.154769,0.050131,0.303465
A4_neural_ode_mlp_n1000,0.145627,0.074078,0.186820,0.054351,0.267257
A3_neural_ode_gru_n10,0.165487,0.190889,0.226833,0.092539,0.151687
A4_neural_ode_mlp_n100,0.177692,0.064621,0.185431,0.049208,0.411506
A2_sample_theta_n100,0.214668,0.234579,0.190231,0.091764,0.342097
A2_sample_theta_n10,0.225358,0.139099,0.119028,0.072568,0.570739
A6_baseline_n10,0.226406,0.055623,0.115347,0.077165,0.657489
A6_baseline_n3,0.234379,0.218512,0.217465,0.394947,0.106595
A7_l1reg_n3,0.236442,0.201576,0.258306,0.397700,0.088185
A3_neural_ode_gru_n3,0.238869,0.105095,0.339503,0.340753,0.170128
A7_l1reg_n10,0.252570,0.071554,0.102145,0.148839,0.687743
A5_unbounded_n100,0.257524,0.211129,0.238881,0.092578,0.487507
A5_unbounded_n3,0.260792,0.190657,0.300506,0.382381,0.169626
A2_sample_theta_n3,0.267476,0.255851,0.272524,0.390257,0.151274
A4_neural_ode_mlp_n3,0.268012,0.286723,0.226568,0.381769,0.176987
A3_neural_ode_gru_first_last_n1000,0.273354,0.055010,0.605406,0.276259,0.156740
A1_fixed_theta_n1000,0.283951,0.296032,0.311698,0.189890,0.338182
A2_sample_theta_n1000,0.293928,0.299360,0.337718,0.120544,0.418090
A9_neural_ode_correction_n3,0.294615,0.191133,0.425448,0.386481,0.175400
A3_neural_ode_gru_first_last_n3,0.329181,0.196077,0.425448,0.591130,0.104070
A7_l1reg_first_last_n3,0.346625,0.241854,0.166767,0.915922,0.061957
A9_neural_ode_correction_first_last_n1000,0.348427,0.058823,0.606963,0.562680,0.165242
A9_neural_ode_correction_first_last_n3,0.378316,0.270880,0.145194,0.908926,0.188262
A3_neural_ode_gru_first_last_n100,0.387761,0.063125,0.582339,0.592750,0.312832
A3_neural_ode_gru_first_last_n10,0.438259,0.120929,0.568531,0.921385,0.142191
A1_fixed_theta_n3,0.479997,0.377540,0.305495,0.855468,0.381486
A6_baseline_first_last_n3,0.493084,0.233204,0.757682,0.892483,0.088967
A2_sample_theta_first_last_n3,0.522586,0.238390,0.813578,0.894752,0.143626
A4_neural_ode_mlp_first_last_n100,0.523393,0.197573,0.764384,0.849713,0.281900
A4_neural_ode_mlp_first_last_n3,0.531731,0.270454,1.274264,0.520870,0.061338
A5_unbounded_n10,0.544501,0.278880,0.472421,0.100173,1.326530
A1_fixed_theta_n100,0.556014,0.215524,0.403807,0.932010,0.672716
A1_fixed_theta_first_last_n3,0.565004,0.375907,0.572410,0.930435,0.381267
A4_neural_ode_mlp_first_last_n10,0.572055,0.141370,1.136854,0.819007,0.190988
A2_sample_theta_first_last_n10,0.775453,0.234621,1.382066,1.245010,0.240114
A7_l1reg_first_last_n10,0.859210,0.125810,1.970649,1.092253,0.248126
A1_fixed_theta_n10,0.876232,0.327300,0.820528,1.255036,1.102063
A1_fixed_theta_first_last_n1000,0.892060,0.296981,1.639998,1.295377,0.335883
A1_fixed_theta_first_last_n100,0.908912,0.215612,1.491550,1.257037,0.671448
A2_sample_theta_first_last_n1000,0.933723,0.302994,1.764549,1.280244,0.387106
A2_sample_theta_first_last_n100,1.022458,0.236810,2.266555,1.248367,0.338101
A1_fixed_theta_first_last_n10,1.062149,0.325279,1.450623,1.373055,1.099637
A7_l1reg_first_last_n100,1.093694,0.080252,2.949161,1.149049,0.196315
A9_neural_ode_correction_first_last_n100,1.101955,0.049338,3.624937,0.545770,0.187776
A9_neural_ode_correction_first_last_n10,1.113766,0.077624,3.830845,0.419710,0.126884
A6_baseline_first_last_n10,1.246694,0.120736,3.548766,1.069526,0.247746
A5_unbounded_first_last_n100,1.668650,0.174666,5.781107,0.287578,0.431250
A7_l1reg_first_last_n1000,1.696643,0.031683,5.443259,1.232143,0.079488
A6_baseline_first_last_n100,1.891269,0.035404,6.193179,1.125513,0.210981
A5_unbounded_first_last_n10,2.058445,0.383742,4.068608,1.196710,2.584719
A5_unbounded_first_last_n3,2.589142,0.185945,9.245507,0.705928,0.219187
A6_baseline_first_last_n1000,4.511497,0.028346,16.712452,1.221893,0.083295
A4_neural_ode_mlp_first_last_n1000,7.494239,0.118344,25.542316,4.075927,0.240370
A5_unbounded_first_last_n1000,28.350693,0.060092,3.813830,109.349999,0.178850
