run,nrmse,Glc,Pyr,ATP,NADH
A6_baseline_n1000,0.055828,0.029767,0.081296,0.018010,0.094239
A7_l1reg_n1000,0.060736,0.038092,0.091663,0.020338,0.092850
A5_unbounded_n1000,0.066000,0.036290,0.096085,0.020650,0.110974
A3_neural_ode_gru_n1000,0.071766,0.035388,0.104152,0.025245,0.122277
A9_neural_ode_correction_n100,0.092058,0.038421,0.096830,0.041679,0.191302
A9_neural_ode_correction_n1000,0.097797,0.048197,0.142071,0.028173,0.172748
A6_baseline_n100,0.098937,0.046184,0.113768,0.032519,0.203277
A9_neural_ode_correction_n10,0.099986,0.088284,0.041852,0.067673,0.202136
A3_neural_ode_gru_n100,0.102443,0.049761,0.115764,0.038432,0.205814
A4_neural_ode_mlp_n1000,0.103476,0.058050,0.146228,0.033827,0.175798
A4_neural_ode_mlp_n100,0.117574,0.069695,0.143471,0.040280,0.216850
A7_l1reg_n100,0.124159,0.070805,0.163688,0.043980,0.218161
A4_neural_ode_mlp_n10,0.141374,0.125288,0.173969,0.064707,0.201532
A3_neural_ode_gru_n10,0.165487,0.190889,0.226833,0.092539,0.151687
A2_sample_theta_n100,0.183488,0.217597,0.145694,0.050167,0.320492
A5_unbounded_n100,0.209382,0.218805,0.212779,0.086915,0.319030
A2_sample_theta_n1000,0.215634,0.251567,0.227110,0.061738,0.322123
A1_fixed_theta_n1000,0.221450,0.247252,0.205049,0.143395,0.290103
A2_sample_theta_n10,0.225358,0.139099,0.119028,0.072568,0.570739
A6_baseline_n10,0.226406,0.055623,0.115347,0.077165,0.657489
A6_baseline_n3,0.234379,0.218512,0.217465,0.394947,0.106595
A7_l1reg_n3,0.236442,0.201576,0.258306,0.397700,0.088185
A3_neural_ode_gru_n3,0.238869,0.105095,0.339503,0.340753,0.170128
A3_neural_ode_gru_first_last_n1000,0.243937,0.043196,0.600080,0.232050,0.100424
A7_l1reg_n10,0.252570,0.071554,0.102145,0.148839,0.687743
A5_unbounded_n3,0.260792,0.190657,0.300506,0.382381,0.169626
A2_sample_theta_n3,0.267476,0.255851,0.272524,0.390257,0.151274
A4_neural_ode_mlp_n3,0.268012,0.286723,0.226568,0.381769,0.176987
A9_neural_ode_correction_n3,0.294615,0.191133,0.425448,0.386481,0.175400
A9_neural_ode_correction_first_last_n1000,0.318440,0.048793,0.601037,0.496151,0.127779
A3_neural_ode_gru_first_last_n3,0.329181,0.196077,0.425448,0.591130,0.104070
A7_l1reg_first_last_n3,0.346625,0.241854,0.166767,0.915922,0.061957
A3_neural_ode_gru_first_last_n100,0.359722,0.059592,0.574629,0.548863,0.255802
A9_neural_ode_correction_first_last_n3,0.378316,0.270880,0.145194,0.908926,0.188262
A3_neural_ode_gru_first_last_n10,0.438259,0.120929,0.568531,0.921385,0.142191
A4_neural_ode_mlp_first_last_n100,0.471069,0.150680,0.738749,0.801319,0.193528
A1_fixed_theta_n3,0.479997,0.377540,0.305495,0.855468,0.381486
A6_baseline_first_last_n3,0.493084,0.233204,0.757682,0.892483,0.088967
A1_fixed_theta_n100,0.493590,0.196198,0.311934,0.887772,0.578457
A2_sample_theta_first_last_n3,0.522586,0.238390,0.813578,0.894752,0.143626
A4_neural_ode_mlp_first_last_n3,0.531731,0.270454,1.274264,0.520870,0.061338
A5_unbounded_n10,0.544501,0.278880,0.472421,0.100173,1.326530
A1_fixed_theta_first_last_n3,0.565004,0.375907,0.572410,0.930435,0.381267
A4_neural_ode_mlp_first_last_n10,0.572055,0.141370,1.136854,0.819007,0.190988
A1_fixed_theta_first_last_n1000,0.757580,0.249215,1.242803,1.254208,0.284092
A2_sample_theta_first_last_n10,0.775453,0.234621,1.382066,1.245010,0.240114
A2_sample_theta_first_last_n1000,0.790647,0.257116,1.349577,1.237506,0.318386
A1_fixed_theta_first_last_n100,0.816810,0.195832,1.284904,1.208709,0.577795
A7_l1reg_first_last_n10,0.859210,0.125810,1.970649,1.092253,0.248126
A1_fixed_theta_n10,0.876232,0.327300,0.820528,1.255036,1.102063
A2_sample_theta_first_last_n100,0.930653,0.220887,1.982956,1.198941,0.319829
A7_l1reg_first_last_n100,0.991348,0.065955,2.619697,1.100295,0.179445
A9_neural_ode_correction_first_last_n100,0.999049,0.039548,3.300433,0.498744,0.157470
A1_fixed_theta_first_last_n10,1.062149,0.325279,1.450623,1.373055,1.099637
A9_neural_ode_correction_first_last_n10,1.113766,0.077624,3.830845,0.419710,0.126884
A6_baseline_first_last_n10,1.246694,0.120736,3.548766,1.069526,0.247746
A7_l1reg_first_last_n1000,1.299285,0.026308,3.929935,1.173756,0.067139
A5_unbounded_first_last_n100,1.369751,0.195596,4.738732,0.284736,0.259941
A6_baseline_first_last_n100,1.757489,0.032440,5.710651,1.082267,0.204599
A5_unbounded_first_last_n10,2.058445,0.383742,4.068608,1.196710,2.584719
A5_unbounded_first_last_n3,2.589142,0.185945,9.245507,0.705928,0.219187
A6_baseline_first_last_n1000,3.994097,0.022719,14.723863,1.162010,0.067797
A4_neural_ode_mlp_first_last_n1000,6.843305,0.080304,22.546934,4.530329,0.215653
A5_unbounded_first_last_n1000,26.701995,0.047549,2.637172,103.976530,0.146731
