run,nrmse,Glc,SugarP,PEP,Pyr,Lac,ATP,NAD,NADH
A5_unbounded_n10,0.077774,0.033416,0.053419,0.158318,0.111581,0.024410,0.047991,0.025451,0.167604
A5_unbounded_n1000,0.082485,0.037505,0.075577,0.224124,0.069917,0.048984,0.031040,0.072448,0.100284
A7_l1reg_n1000,0.100944,0.036199,0.075442,0.416279,0.060059,0.042828,0.031251,0.060458,0.085037
A4_neural_ode_mlp_n10,0.111533,0.059291,0.118425,0.247507,0.120348,0.102646,0.035452,0.062831,0.145766
A6_baseline_n10,0.112370,0.033271,0.054090,0.120583,0.324868,0.111978,0.052746,0.026554,0.174867
A6_baseline_n1000,0.113018,0.030708,0.075237,0.526308,0.060236,0.040378,0.027280,0.058065,0.085929
A5_unbounded_n100,0.118654,0.051924,0.060628,0.337427,0.090922,0.071026,0.046235,0.080865,0.210203
A4_neural_ode_mlp_n100,0.121812,0.048404,0.052195,0.350202,0.109382,0.133001,0.029258,0.080902,0.171155
A6_baseline_n100,0.128602,0.058065,0.078305,0.443223,0.092131,0.073007,0.051928,0.065266,0.166892
A4_neural_ode_mlp_n1000,0.132925,0.045156,0.043534,0.439176,0.110513,0.168625,0.033827,0.091484,0.131087
A3_neural_ode_gru_n100,0.134784,0.055315,0.077471,0.271464,0.142105,0.145614,0.033232,0.105266,0.247808
A3_neural_ode_gru_n10,0.135089,0.028018,0.096318,0.322410,0.249476,0.159257,0.032213,0.043862,0.149160
A9_neural_ode_correction_n100,0.135502,0.052860,0.037153,0.529062,0.105343,0.084372,0.039890,0.053732,0.181607
A9_neural_ode_correction_n1000,0.139540,0.036049,0.047528,0.562601,0.109209,0.118827,0.031521,0.088009,0.122580
A3_neural_ode_gru_n1000,0.140814,0.037733,0.036799,0.506916,0.134389,0.147801,0.033119,0.109677,0.120080
A7_l1reg_n10,0.145750,0.032381,0.053901,0.413275,0.305486,0.112915,0.053170,0.025691,0.169178
A6_baseline_n3,0.146216,0.063527,0.076037,0.066918,0.293146,0.257940,0.230689,0.081665,0.099807
A7_l1reg_n100,0.148866,0.052021,0.069117,0.640572,0.075813,0.083311,0.046924,0.062002,0.161174
A2_sample_theta_first_last_n3,0.161139,0.069843,0.099313,0.100305,0.111381,0.346974,0.265286,0.133210,0.162801
A9_neural_ode_correction_n10,0.169328,0.079638,0.080144,0.492671,0.114296,0.170089,0.069452,0.025079,0.323254
A3_neural_ode_gru_n3,0.169330,0.123595,0.119384,0.100402,0.271792,0.350030,0.238378,0.068480,0.082583
A7_l1reg_n3,0.180937,0.063461,0.096155,0.261225,0.307685,0.255505,0.250060,0.096034,0.117368
A2_sample_theta_n3,0.182079,0.078627,0.130732,0.202645,0.258407,0.245445,0.288448,0.113553,0.138778
A5_unbounded_n3,0.191742,0.073993,0.107398,0.202194,0.272555,0.273055,0.312331,0.131590,0.160822
A9_neural_ode_correction_n3,0.247181,0.152043,0.174488,0.169294,0.425448,0.303089,0.380201,0.162623,0.210266
A6_baseline_first_last_n3,0.249814,0.086507,0.123483,0.865069,0.148041,0.324106,0.323516,0.057509,0.070284
A5_unbounded_first_last_n3,0.250852,0.046226,0.437091,0.290299,0.370609,0.254698,0.286539,0.144616,0.176741
A2_sample_theta_n100,0.253654,0.061529,0.066715,1.094652,0.159960,0.190153,0.065734,0.115336,0.275154
A4_neural_ode_mlp_n3,0.270952,0.147233,0.245295,0.454893,0.380024,0.359885,0.238883,0.192002,0.149401
A2_sample_theta_n1000,0.272691,0.078128,0.080313,0.992247,0.218378,0.284410,0.077114,0.184192,0.266747
A7_l1reg_first_last_n3,0.279496,0.064687,0.064648,1.272052,0.072842,0.337399,0.280092,0.064913,0.079333
A4_neural_ode_mlp_first_last_n3,0.311386,0.140304,0.372344,0.454893,0.372392,0.321002,0.553264,0.212343,0.064547
A1_fixed_theta_n1000,0.338853,0.071208,0.075423,1.574493,0.207094,0.253608,0.081875,0.189351,0.257777
A3_neural_ode_gru_first_last_n3,0.376653,0.478452,0.215760,0.454893,0.381514,0.256947,0.452493,0.615538,0.157627
A4_neural_ode_mlp_first_last_n10,0.378110,0.132557,0.454325,0.492932,0.455324,0.406904,0.658803,0.142258,0.281774
A3_neural_ode_gru_first_last_n10,0.419072,0.141032,0.385809,0.492953,0.568531,0.721716,0.567664,0.209670,0.265197
A2_sample_theta_n10,0.442197,0.124284,0.102503,1.141593,0.700827,1.001996,0.115103,0.046310,0.304962
A2_sample_theta_first_last_n10,0.460983,0.032658,0.123528,1.311523,1.033961,0.269691,0.157372,0.100079,0.659051
A6_baseline_first_last_n10,0.485378,0.027329,0.232561,1.770173,0.957485,0.040943,0.225111,0.082979,0.546440
A1_fixed_theta_first_last_n3,0.563863,0.299834,0.361577,2.039996,0.389371,0.358383,0.392939,0.300972,0.367831
A1_fixed_theta_n3,0.568853,0.290253,0.334042,2.124634,0.388415,0.358284,0.374492,0.306327,0.374376
A5_unbounded_first_last_n10,0.593145,0.034004,0.504223,2.313494,0.314750,1.108513,0.239389,0.030426,0.200360
A5_unbounded_first_last_n100,0.699082,0.031483,0.392104,4.137897,0.397875,0.333612,0.110098,0.049197,0.140387
A6_baseline_first_last_n100,0.742176,0.029944,0.200200,4.836789,0.340056,0.230777,0.128569,0.042716,0.128360
A7_l1reg_first_last_n100,0.752335,0.032269,0.208373,4.731053,0.613605,0.139683,0.120898,0.043422,0.129374
A7_l1reg_first_last_n10,0.772196,0.030223,0.260017,3.701589,1.070104,0.149574,0.214764,0.099046,0.652247
A1_fixed_theta_first_last_n100,0.860464,0.234249,0.309644,4.285764,0.427569,0.418146,0.308229,0.259387,0.640724
A6_baseline_first_last_n1000,0.887256,0.012336,0.224149,6.328597,0.145649,0.170425,0.142078,0.031715,0.043096
A3_neural_ode_gru_first_last_n1000,0.893388,0.042521,0.515520,0.582805,1.544788,2.717273,0.355695,1.237303,0.151200
A9_neural_ode_correction_first_last_n3,0.902419,0.165749,0.820678,3.230769,1.485580,0.350143,0.496489,0.596553,0.073388
A3_neural_ode_gru_first_last_n100,0.913792,0.053841,0.445556,0.529062,0.582339,3.922921,0.421652,1.151277,0.203692
A5_unbounded_first_last_n1000,0.952846,0.012651,0.350264,6.296966,0.315712,0.470831,0.096712,0.033030,0.046605
A1_fixed_theta_n100,0.959542,0.246935,0.254997,4.983284,0.431180,0.416494,0.312778,0.282402,0.748270
A1_fixed_theta_first_last_n10,1.013376,0.324087,0.429527,4.791884,0.458596,0.401599,0.465676,0.162899,1.072741
A1_fixed_theta_n10,1.015159,0.331961,0.422290,4.775120,0.459984,0.401583,0.457245,0.167837,1.105256
A7_l1reg_first_last_n1000,1.275231,0.013832,0.244155,8.221568,1.136335,0.410614,0.106546,0.027871,0.040925
A1_fixed_theta_first_last_n1000,1.739034,0.061048,0.229727,12.203776,0.624802,0.217425,0.113288,0.181130,0.281076
A4_neural_ode_mlp_first_last_n100,2.008675,0.143041,0.940133,10.279122,1.017842,0.403099,1.119955,1.907034,0.259177
A9_neural_ode_correction_first_last_n100,2.287503,0.047902,0.648151,10.526665,5.250667,0.460685,0.575116,0.634232,0.156608
A9_neural_ode_correction_first_last_n10,2.395719,0.078368,0.699127,10.614308,4.394142,1.040369,0.659243,1.273087,0.407107
A2_sample_theta_first_last_n100,3.689313,0.045619,0.354240,27.601552,0.519800,0.424104,0.091549,0.105695,0.371940
A2_sample_theta_first_last_n1000,4.234241,0.063229,0.376413,31.811478,0.551831,0.444366,0.092271,0.203394,0.330949
A4_neural_ode_mlp_first_last_n1000,5.701395,0.200604,0.915564,39.462817,0.629798,0.426824,0.831109,2.963900,0.180544
A9_neural_ode_correction_first_last_n1000,6.509498,0.032792,0.734950,44.184458,4.587560,0.404497,0.631213,1.377799,0.122717
