run,nrmse,Base,Mod,Am,MOF_C
A6_baseline,0.034958,0.026131,0.026283,0.034106,0.053311
A8_l2reg,0.038265,0.031695,0.026858,0.039545,0.054961
A5_unbounded,0.043499,0.026863,0.038052,0.035814,0.073270
A7_l1reg,0.045116,0.039334,0.028970,0.042891,0.069269
A3_neural_ode_gru,0.050833,0.014904,0.028936,0.038392,0.121099
A6_baseline_n100,0.107149,0.028834,0.093900,0.150376,0.155486
A7_l1reg_n100,0.112905,0.035779,0.094734,0.147077,0.174029
A2_sample_theta_n100,0.114523,0.058914,0.081737,0.121162,0.196278
A5_unbounded_first_last_n1000,0.115294,0.015918,0.071478,0.205198,0.168583
A3_neural_ode_gru_n100,0.120054,0.022867,0.068657,0.106678,0.282013
A9_neural_ode_correction_n10,0.131212,0.026302,0.071429,0.244420,0.182697
A4_neural_ode_mlp_n10,0.131543,0.073251,0.061386,0.234355,0.157178
A5_unbounded_n10,0.133038,0.017021,0.070410,0.149084,0.295636
A5_unbounded_n100,0.135312,0.049342,0.080881,0.121898,0.289128
A1_fixed_theta,0.145097,0.027438,0.065170,0.210846,0.276934
A7_l1reg_n10,0.146820,0.042239,0.089075,0.138409,0.317556
A2_sample_theta,0.149206,0.081266,0.047667,0.194367,0.273525
A9_neural_ode_correction_n100,0.150561,0.059732,0.081608,0.116697,0.344208
A6_baseline_n10,0.154532,0.017920,0.161536,0.143748,0.294924
A3_neural_ode_gru_n10,0.159284,0.055834,0.103891,0.234882,0.242527
A2_sample_theta_n10,0.159311,0.013430,0.156659,0.162943,0.304211
A2_sample_theta_n3,0.178441,0.046792,0.115712,0.140883,0.410379
A6_baseline_n3,0.181463,0.051951,0.115358,0.108907,0.449636
A4_neural_ode_mlp,0.196074,0.095598,0.059305,0.279503,0.349888
A4_neural_ode_mlp_n100,0.204369,0.082565,0.078196,0.348607,0.308108
A7_l1reg_n3,0.209974,0.057116,0.078989,0.207174,0.496618
A1_fixed_theta_n100,0.313484,0.040281,0.187312,0.840358,0.185985
A9_neural_ode_correction_n3,0.401039,0.038674,0.285731,0.617178,0.662574
A3_neural_ode_gru_n3,0.406774,0.072534,0.193988,0.697573,0.663003
A6_baseline_first_last_n1000,0.424305,0.016086,0.119291,1.396589,0.165254
A5_unbounded_first_last_n10,0.424367,0.097318,0.761162,0.677725,0.161263
A6_baseline_first_last_n100,0.443071,0.014580,0.217463,1.399193,0.141047
A7_l1reg_first_last_n1000,0.461137,0.019822,0.068104,1.587119,0.169503
A9_neural_ode_correction_first_last_n100,0.486562,0.048014,0.267340,1.329427,0.301469
A7_l1reg_first_last_n100,0.490964,0.022641,0.225668,1.579320,0.136228
A1_fixed_theta_n10,0.500911,0.057353,0.467013,1.132945,0.346333
A5_unbounded_n3,0.534243,0.050290,0.691249,0.219199,1.176232
A6_baseline_first_last_n10,0.539616,0.029871,0.488626,1.338972,0.300993
A2_sample_theta_first_last_n10,0.570765,0.056814,0.533203,1.371619,0.321422
A1_fixed_theta_n3,0.592925,0.035364,0.447388,1.768910,0.120037
A7_l1reg_first_last_n10,0.601942,0.059947,0.468965,1.554981,0.323877
A5_unbounded_first_last_n100,0.605346,0.031363,0.394898,1.711076,0.284049
A9_neural_ode_correction_first_last_n1000,0.630989,0.055071,0.265941,1.980000,0.222942
A1_fixed_theta_first_last_n10,0.667954,0.071876,0.525310,1.763766,0.310864
A2_sample_theta_first_last_n100,0.703019,0.050161,0.247616,2.308729,0.205570
A5_unbounded_first_last_n3,0.734694,0.062072,0.737029,1.344073,0.795602
A1_fixed_theta_first_last_n100,0.742888,0.049745,0.276889,2.459755,0.185165
A2_sample_theta_first_last_n3,0.743060,0.034895,0.511008,2.153275,0.273062
A2_sample_theta_first_last_n1000,0.840314,0.066357,0.082071,2.943811,0.269017
A9_neural_ode_correction_first_last_n10,0.865096,0.074896,0.631787,2.226666,0.527034
A4_neural_ode_mlp_first_last_n3,0.870975,0.198840,0.372560,2.414444,0.498055
A1_fixed_theta_first_last_n1000,0.887123,0.063205,0.105487,3.109434,0.270367
A1_fixed_theta_first_last_n3,0.948491,0.040029,0.503723,2.945212,0.305002
A9_neural_ode_correction_first_last_n3,0.979288,0.040163,0.439190,2.811970,0.625832
A7_l1reg_first_last_n3,1.042647,0.037928,0.454188,3.546755,0.131716
A4_neural_ode_mlp_n3,1.044812,0.077096,2.744539,0.697045,0.660570
A6_baseline_first_last_n3,1.050477,0.038958,0.469985,3.540879,0.152087
A4_neural_ode_mlp_first_last_n1000,1.753173,0.045367,2.238435,4.391812,0.337080
A3_neural_ode_gru_first_last_n3,1.989076,0.094837,3.502297,3.696166,0.663003
A4_neural_ode_mlp_first_last_n100,3.127242,0.060105,3.201301,8.830163,0.417400
A3_neural_ode_gru_first_last_n1000,3.283438,0.014749,11.205791,1.797967,0.115245
A3_neural_ode_gru_first_last_n10,3.658308,0.202831,13.585839,0.504732,0.339830
A4_neural_ode_mlp_first_last_n10,3.890008,0.157912,4.867148,10.343303,0.191668
A3_neural_ode_gru_first_last_n100,9.673251,0.032623,37.610446,0.502355,0.547582
