run,nrmse,A,C
A5_unbounded_n1000,0.008608,0.007084,0.010133
A6_baseline_n1000,0.011908,0.010740,0.013076
A8_l2reg_n1000,0.012925,0.011295,0.014556
A7_l1reg_n1000,0.013736,0.012330,0.015142
A3_neural_ode_gru_n1000,0.015021,0.012250,0.017792
A7_l1reg_n100,0.042036,0.043202,0.040871
A7_l1reg_first_last_n100,0.042036,0.043202,0.040871
A6_baseline_n100,0.043959,0.045681,0.042238
A6_baseline_first_last_n100,0.043959,0.045681,0.042238
A5_unbounded_n100,0.045648,0.041213,0.050083
A5_unbounded_first_last_n100,0.045648,0.041213,0.050083
A3_neural_ode_gru_n100,0.077261,0.056860,0.097662
A3_neural_ode_gru_first_last_n100,0.077261,0.056860,0.097662
A5_unbounded_n10,0.079999,0.038418,0.121580
A5_unbounded_first_last_n10,0.079999,0.038418,0.121580
A9_neural_ode_correction_n10,0.083092,0.031797,0.134387
A9_neural_ode_correction_first_last_n10,0.083092,0.031797,0.134387
A3_neural_ode_gru_n10,0.103359,0.046825,0.159893
A3_neural_ode_gru_first_last_n10,0.103359,0.046825,0.159893
A4_neural_ode_mlp_n10,0.116311,0.085229,0.147394
A4_neural_ode_mlp_first_last_n10,0.116311,0.085229,0.147394
A7_l1reg_n10,0.147670,0.070916,0.224424
A7_l1reg_first_last_n10,0.147670,0.070916,0.224424
A6_baseline_n10,0.148040,0.071094,0.224986
A6_baseline_first_last_n10,0.148040,0.071094,0.224986
A9_neural_ode_correction_n100,0.170747,0.118939,0.222555
A9_neural_ode_correction_first_last_n100,0.170747,0.118939,0.222555
A4_neural_ode_mlp_n100,0.179909,0.152272,0.207546
A4_neural_ode_mlp_first_last_n100,0.179909,0.152272,0.207546
A2_sample_theta_n10,0.180382,0.086625,0.274138
A2_sample_theta_first_last_n10,0.180382,0.086625,0.274138
A1_fixed_theta_n100,0.208283,0.192316,0.224250
A1_fixed_theta_first_last_n100,0.208283,0.192316,0.224250
A2_sample_theta_n100,0.210587,0.202046,0.219127
A2_sample_theta_first_last_n100,0.210587,0.202046,0.219127
A9_neural_ode_correction_n1000,0.218782,0.193188,0.244376
A4_neural_ode_mlp_n1000,0.222009,0.199382,0.244637
A2_sample_theta_first_last_n1000,0.244358,0.239519,0.249197
A2_sample_theta_n1000,0.244358,0.239519,0.249197
A1_fixed_theta_n1000,0.252778,0.251558,0.253998
A1_fixed_theta_first_last_n1000,0.252778,0.251558,0.253998
A1_fixed_theta_n10,0.347841,0.167044,0.528638
A1_fixed_theta_first_last_n10,0.347841,0.167044,0.528638
A9_neural_ode_correction_n3,0.423692,0.245313,0.602071
A9_neural_ode_correction_first_last_n3,0.423692,0.245313,0.602071
A1_fixed_theta_n3,0.465938,0.255859,0.676018
A1_fixed_theta_first_last_n3,0.465938,0.255859,0.676018
A2_sample_theta_n3,0.500366,0.274764,0.725968
A2_sample_theta_first_last_n3,0.500366,0.274764,0.725968
A7_l1reg_n3,0.525749,0.288702,0.762796
A7_l1reg_first_last_n3,0.525749,0.288702,0.762796
A6_baseline_n3,0.525764,0.288710,0.762818
A6_baseline_first_last_n3,0.525764,0.288710,0.762818
A5_unbounded_n3,0.606146,0.332850,0.879442
A5_unbounded_first_last_n3,0.606146,0.332850,0.879442
A4_neural_ode_mlp_n3,0.728794,0.390467,1.067122
A4_neural_ode_mlp_first_last_n3,0.728794,0.390467,1.067122
A3_neural_ode_gru_n3,0.776008,0.394116,1.157900
A3_neural_ode_gru_first_last_n3,0.776008,0.394116,1.157900
