time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
6.000000000000000000e+01,3.128022217424586415e-05,2.236142790934536606e-05,2.166375925298780203e-04,4.826596472412347794e-03,1.469555892981588840e-03,5.852607137057930231e-05,1.377403241349384189e-04
1.200000000000000000e+02,3.436201222939416766e-05,2.236691761936526746e-05,2.014573401538655162e-04,8.903435431420803070e-03,1.141264801844954491e-03,5.303510624798946083e-05,1.086831034626811743e-04
1.800000000000000000e+02,3.610945714171975851e-05,2.238059278170112520e-05,1.927768025780096650e-04,9.282309561967849731e-03,8.525588782504200935e-04,4.119858203921467066e-05,1.005324229481630027e-04
2.400000000000000000e+02,3.706674033310264349e-05,2.239732020825613290e-05,1.879977935459464788e-04,9.402153082191944122e-03,7.089860155247151852e-04,3.156027378281578422e-05,9.707530989544466138e-05
3.000000000000000000e+02,3.755141369765624404e-05,2.241456968476995826e-05,1.853216235758736730e-04,9.454204700887203217e-03,6.344295688904821873e-04,2.555141873017419130e-05,9.545809734845533967e-05
3.600000000000000000e+02,3.776634912355802953e-05,2.243215931230224669e-05,1.838233147282153368e-04,9.479505941271781921e-03,5.887486040592193604e-04,2.180582669097930193e-05,9.468554344493895769e-05
4.200000000000000000e+02,3.783400825341232121e-05,2.245035466330591589e-05,1.829986722441390157e-04,9.492198005318641663e-03,5.563278100453317165e-04,1.934537613124120981e-05,9.432399383513256907e-05
4.800000000000000000e+02,3.782501153182238340e-05,2.246937583549879491e-05,1.825582730816677213e-04,9.498477913439273834e-03,5.307254032231867313e-04,1.764194166753441095e-05,9.416378452442586422e-05
5.400000000000000000e+02,3.777810343308374286e-05,2.248941564175765961e-05,1.823311176849529147e-04,9.501414373517036438e-03,5.090562044642865658e-04,1.640972186578437686e-05,9.409958147443830967e-05
6.000000000000000000e+02,3.771384217543527484e-05,2.251058867841493338e-05,1.822198100853711367e-04,9.502632543444633484e-03,4.899355699308216572e-04,1.548624277347698808e-05,9.407869947608560324e-05
6.600000000000000000e+02,3.764248685911297798e-05,2.253299498988781124e-05,1.821685291361063719e-04,9.502990171313285828e-03,4.726512415800243616e-04,1.477407295169541612e-05,9.407550533069297671e-05
7.200000000000000000e+02,3.756882870220579207e-05,2.255670551676303148e-05,1.821466285036876798e-04,9.502940811216831207e-03,4.568086878862231970e-04,1.421186425432097167e-05,9.407812467543408275e-05
7.800000000000000000e+02,3.749501411220990121e-05,2.258177482872270048e-05,1.821383484639227390e-04,9.502709843218326569e-03,4.421675112098455429e-04,1.375935153191676363e-05,9.408181358594447374e-05
8.400000000000000000e+02,3.742181797861121595e-05,2.260824112454429269e-05,1.821356709115207195e-04,9.502414613962173462e-03,4.285667382646352053e-04,1.338913443760247901e-05,9.408473852090537548e-05
9.000000000000000000e+02,3.734945130418054760e-05,2.263615351694170386e-05,1.821347832446917892e-04,9.502102620899677277e-03,4.158889059908688068e-04,1.308199807681376114e-05,9.408657206222414970e-05
9.600000000000000000e+02,3.727790317498147488e-05,2.266551928187254816e-05,1.821340993046760559e-04,9.501789696514606476e-03,4.040419589728116989e-04,1.282410448766313493e-05,9.408738696947693825e-05
1.020000000000000000e+03,3.720709719345904887e-05,2.269636206619907171e-05,1.821336481953039765e-04,9.501472115516662598e-03,3.929488593712449074e-04,1.260528642887948081e-05,9.408751793671399355e-05
1.080000000000000000e+03,3.713693877216428518e-05,2.272871097375173122e-05,1.821327750803902745e-04,9.501173160970211029e-03,3.825447056442499161e-04,1.241789414052618667e-05,9.408716869074851274e-05
1.140000000000000000e+03,3.706740972120314837e-05,2.276257146149873734e-05,1.821313053369522095e-04,9.500883519649505615e-03,3.727732982952147722e-04,1.225607684318674728e-05,9.408649930264800787e-05
1.200000000000000000e+03,3.699838271131739020e-05,2.279794534842949361e-05,1.821296464186161757e-04,9.500579908490180969e-03,3.635844623204320669e-04,1.211531707667745650e-05,9.408577898284420371e-05
1.260000000000000000e+03,3.692989776027388871e-05,2.283485446241684258e-05,1.821280166041105986e-04,9.500290267169475555e-03,3.549332905095070601e-04,1.199205325974617153e-05,9.408486948814243078e-05
1.320000000000000000e+03,3.686191485030576587e-05,2.287330607941839844e-05,1.821264449972659349e-04,9.499995037913322449e-03,3.467795613687485456e-04,1.188346323033329099e-05,9.408391633769497275e-05
1.380000000000000000e+03,3.679438668768852949e-05,2.291330019943416119e-05,1.821245532482862473e-04,9.499701671302318573e-03,3.390864294487982988e-04,1.178726779471617192e-05,9.408295591128990054e-05
1.440000000000000000e+03,3.672735692816786468e-05,2.295482590852770954e-05,1.821227051550522447e-04,9.499406442046165466e-03,3.318213275633752346e-04,1.170162067865021527e-05,9.408193727722391486e-05
1.500000000000000000e+03,3.666079646791331470e-05,2.299791776749771088e-05,1.821207406464964151e-04,9.499116800725460052e-03,3.249535511713474989e-04,1.162501212093047798e-05,9.408095502294600010e-05
1.560000000000000000e+03,3.659467984107322991e-05,2.304256486240774393e-05,1.821186160668730736e-04,9.498822502791881561e-03,3.184556553605943918e-04,1.155619702331023291e-05,9.407993638888001442e-05
1.620000000000000000e+03,3.652903251349925995e-05,2.308877628820482641e-05,1.821167825255542994e-04,9.498532861471176147e-03,3.123019705526530743e-04,1.149413310486124828e-05,9.407896141055971384e-05
1.680000000000000000e+03,3.646380719146691263e-05,2.313653567398432642e-05,1.821151236072182655e-04,9.498233906924724579e-03,3.064693009946495295e-04,1.143795088864862919e-05,9.407793550053611398e-05
