run,nrmse,Glc,G6P,F6P,FBP,GAP,DHAP,BPG13,PG3,PG2,PEP,Pyr,Lac,ATP,ADP,NAD,NADH,I_HK,I_PFK,I_GAPDH,I_PGK,I_ENO,I_PK
A5_unbounded_n1000,0.003521,0.001608,0.003977,0.001733,0.005100,0.004250,0.015133,0.008299,0.004465,0.002887,0.008672,0.002209,0.003903,0.002683,0.001510,0.002202,0.002883,0.000901,0.001018,0.001536,0.000723,0.000959,0.000817
A5_unbounded_n1000,0.003521,0.001608,0.003977,0.001733,0.005100,0.004250,0.015133,0.008299,0.004465,0.002887,0.008672,0.002209,0.003903,0.002683,0.001510,0.002202,0.002883,0.000901,0.001018,0.001536,0.000723,0.000959,0.000817
A7_l1reg_n1000,0.006156,0.001345,0.004914,0.002284,0.005673,0.007530,0.038449,0.010061,0.012549,0.008989,0.016902,0.004292,0.003032,0.002834,0.001627,0.003782,0.005293,0.001037,0.000969,0.000903,0.000799,0.001281,0.000885
A2_sample_theta_n1000,0.015079,0.004975,0.023564,0.009122,0.019052,0.030708,0.027713,0.021873,0.053353,0.027098,0.032427,0.013152,0.013894,0.004657,0.002859,0.014146,0.019406,0.001802,0.004285,0.002171,0.001119,0.003010,0.001359
A5_unbounded_n100,0.016212,0.003444,0.011912,0.009736,0.007180,0.015005,0.149616,0.026283,0.027130,0.011952,0.030341,0.016241,0.007448,0.004306,0.002744,0.007619,0.018491,0.000615,0.000572,0.000809,0.000558,0.003929,0.000723
A6_baseline_n100,0.020814,0.005911,0.021050,0.009993,0.027528,0.027559,0.065669,0.108792,0.018701,0.029922,0.030401,0.024132,0.017944,0.010147,0.006675,0.009632,0.027618,0.001000,0.003331,0.004467,0.001320,0.003631,0.002488
A7_l1reg_n100,0.027126,0.005136,0.030150,0.013007,0.023002,0.033855,0.118715,0.058759,0.033107,0.048436,0.105025,0.030258,0.016550,0.009244,0.006006,0.011401,0.032130,0.000712,0.003005,0.003318,0.001241,0.011197,0.002510
A2_sample_theta_n100,0.029666,0.008867,0.015942,0.013650,0.034911,0.031330,0.250047,0.056950,0.037089,0.032660,0.060920,0.024415,0.032272,0.005363,0.003217,0.009450,0.028034,0.001843,0.000970,0.001823,0.000477,0.001666,0.000764
A5_unbounded_n10,0.041261,0.014038,0.048676,0.028458,0.055291,0.048247,0.263629,0.106108,0.055748,0.040210,0.067137,0.062081,0.044461,0.007315,0.005241,0.007408,0.048780,0.000000,0.000542,0.000000,0.000000,0.000000,0.004383
A1_fixed_theta_n1000,0.042231,0.012474,0.122451,0.046061,0.077547,0.058800,0.184807,0.059557,0.061612,0.062743,0.097033,0.031937,0.027309,0.008078,0.004922,0.026541,0.037134,0.005873,0.000895,0.000962,0.000723,0.000807,0.000812
A6_baseline_n10,0.069134,0.022677,0.123584,0.037001,0.064842,0.128077,0.256596,0.255172,0.053190,0.085314,0.119119,0.089530,0.046148,0.022514,0.016129,0.022372,0.147324,0.000000,0.010737,0.000000,0.000000,0.000000,0.020622
A7_l1reg_n10,0.069363,0.019810,0.104480,0.047579,0.091870,0.143567,0.205458,0.098183,0.089464,0.138232,0.105743,0.067152,0.072765,0.026086,0.018688,0.032498,0.214006,0.000000,0.029283,0.000000,0.000000,0.000000,0.021117
A5_unbounded_n3,0.094719,0.036919,0.143300,0.113903,0.080398,0.216497,0.304330,0.046594,0.031903,0.068953,0.024818,0.088266,0.012460,0.063729,0.038415,0.020201,0.024689,0.288973,0.254172,0.012815,0.000000,0.000000,0.212492
A5_unbounded_first_last_n1000,0.107858,0.001725,0.183934,0.160579,0.174185,0.045256,0.741751,0.271077,0.167798,0.105359,0.023866,0.350651,0.030513,0.006931,0.004055,0.020493,0.026180,0.003997,0.004631,0.005165,0.038666,0.005011,0.001060
A2_sample_theta_n10,0.112326,0.022033,0.100137,0.055296,0.209878,0.173629,0.512740,0.343724,0.106071,0.129905,0.347097,0.089065,0.045942,0.012793,0.009165,0.038082,0.250786,0.000000,0.024271,0.000000,0.000000,0.000000,0.000566
A6_baseline_first_last_n100,0.184839,0.013014,0.663866,0.208791,0.185129,0.254406,0.407209,0.316116,0.110568,0.222492,0.307013,0.372998,0.307063,0.083828,0.051752,0.077558,0.199054,0.015615,0.003181,0.038787,0.063372,0.162756,0.001878
A6_baseline_first_last_n1000,0.215197,0.006231,0.527203,0.245267,0.332428,0.415717,0.272903,1.146606,0.113761,0.310492,0.145058,0.564350,0.272938,0.044164,0.025892,0.056233,0.074384,0.005853,0.021737,0.006191,0.088177,0.057178,0.001577
