run,nrmse,Glc,HexP,TriP,BPG13,PG3,PEP,Pyr,Lac,ATP,ADP,NAD,NADH
A6_baseline_n1000,0.071950,0.021588,0.018013,0.131642,0.263799,0.079912,0.140529,0.054275,0.043052,0.013215,0.007783,0.037738,0.051854
trans_glyc12_n1000_s42,0.072704,0.013766,0.020056,0.125524,0.306486,0.058479,0.165018,0.039261,0.038028,0.013766,0.008071,0.034391,0.049599
slstm_glyc12_n1000_s42,0.077343,0.015124,0.020850,0.148499,0.262154,0.092957,0.170518,0.045553,0.037453,0.017952,0.010482,0.043752,0.062821
lstm_glyc12_n1000_s42,0.082567,0.030238,0.028391,0.177983,0.256232,0.091118,0.149309,0.055248,0.055601,0.019610,0.011845,0.048333,0.066892
mamba_glyc12_n1000_s42,0.125451,0.042172,0.054591,0.231648,0.467071,0.115137,0.247693,0.067549,0.060395,0.029931,0.017694,0.072023,0.099506
lstm_glyc12_n1000_fl_s42,0.393488,0.014530,0.093439,0.732511,2.921586,0.152720,0.233629,0.153941,0.206309,0.079415,0.046787,0.036046,0.050946
trans_glyc12_n1000_fl_s42,0.448993,0.010404,0.126242,0.898374,3.203859,0.193132,0.237351,0.336093,0.175070,0.092791,0.055047,0.024659,0.034893
slstm_glyc12_n1000_fl_s42,0.465060,0.013698,0.040466,0.848749,3.129854,0.177066,0.875199,0.109221,0.179589,0.076230,0.044621,0.036575,0.049454
A6_baseline_first_last_n1000,0.477510,0.009293,0.096391,0.749284,3.617681,0.190466,0.433066,0.231177,0.212037,0.085298,0.051402,0.023215,0.030813
mamba_glyc12_n1000_fl_s42,0.771562,0.022903,0.167924,0.699779,3.139057,0.563309,3.878942,0.329471,0.209833,0.082525,0.047706,0.049227,0.068065
