run,nrmse,Glc,HexP,TriP,BPG13,PG3,PEP,Pyr,Lac,ATP,ADP,NAD,NADH
A6_baseline_n1000,0.064514,0.016367,0.016590,0.128445,0.263989,0.062058,0.130357,0.047767,0.037353,0.008129,0.005482,0.019924,0.037702
trans_glyc12_n1000_s42,0.064916,0.010880,0.016304,0.120351,0.300004,0.047330,0.160194,0.033070,0.025446,0.008651,0.005003,0.017948,0.033809
slstm_glyc12_n1000_s42,0.067108,0.012152,0.016558,0.137343,0.258896,0.075560,0.166936,0.036117,0.024818,0.010071,0.006223,0.021122,0.039498
lstm_glyc12_n1000_s42,0.072729,0.023714,0.024769,0.168211,0.251890,0.071896,0.139543,0.049251,0.050699,0.010631,0.006697,0.025973,0.049479
mamba_glyc12_n1000_s42,0.109882,0.038973,0.042801,0.228332,0.412865,0.107909,0.220687,0.056153,0.052320,0.018867,0.012482,0.043275,0.083925
lstm_glyc12_n1000_fl_s42,0.368607,0.012604,0.081416,0.685733,2.791826,0.143113,0.221259,0.149053,0.185783,0.058811,0.036401,0.017777,0.039510
slstm_glyc12_n1000_fl_s42,0.435957,0.011992,0.034357,0.810515,2.939854,0.171585,0.866361,0.099192,0.165230,0.051514,0.030117,0.016171,0.034590
trans_glyc12_n1000_fl_s42,0.441368,0.008723,0.133050,0.880836,3.211645,0.189871,0.224938,0.336859,0.160606,0.066728,0.039912,0.014568,0.028674
A6_baseline_first_last_n1000,0.455152,0.007824,0.099714,0.694924,3.502092,0.179442,0.428050,0.227586,0.192359,0.056849,0.035827,0.013232,0.023929
mamba_glyc12_n1000_fl_s42,0.756382,0.017884,0.160001,0.640468,3.103105,0.565221,3.902330,0.309779,0.201842,0.059383,0.038773,0.028751,0.049041
