run,nrmse,Base,Mod,Am,MOF_C
gru_lr1e-2_s1,0.112278,0.030204,0.048805,0.175360,0.194743
gru_lr1e-2_s42,0.113598,0.026380,0.047000,0.166759,0.214254
gru_lr1e-2_s0,0.115513,0.034228,0.049285,0.174124,0.204414
gru_lr3e-3_s1,0.126705,0.052558,0.049311,0.176180,0.228771
gru_lr3e-3_s0,0.131793,0.064707,0.048415,0.174587,0.239464
gru_lr3e-3_s42,0.132702,0.060071,0.049749,0.181580,0.239406
gru_lr1e-3_s1,0.135754,0.067559,0.046396,0.186862,0.242200
gru_lr1e-3_s0,0.136185,0.057571,0.048988,0.185444,0.252738
gru_lr1e-3_s42,0.137868,0.062674,0.049239,0.190740,0.248819
gru_lr3e-4_s0,0.139973,0.043554,0.057773,0.192996,0.265567
gru_lr3e-4_s1,0.140356,0.029755,0.058594,0.203922,0.269151
gru_lr3e-4_s42,0.141674,0.037908,0.060358,0.198418,0.270011
gru_lr1e-4_s1,0.157217,0.028087,0.143417,0.207322,0.250041
gru_lr1e-4_s0,0.167001,0.041687,0.155083,0.196745,0.274489
gru_lr1e-4_s42,0.178127,0.040642,0.172000,0.250870,0.248995
