run,nrmse,A,C,Base,Mod,Am,MOF_C
gru_enzyme_h256_l1_reg0.0,0.009476,0.008388,0.010564,,,,
gru_enzyme_h128_l3_reg0.01,0.009671,0.008860,0.010482,,,,
gru_enzyme_h256_l3_reg0.0,0.009964,0.008294,0.011635,,,,
gru_enzyme_h256_l3_reg0.01,0.010211,0.008901,0.011520,,,,
gru_enzyme_h256_l1_reg0.01,0.010302,0.009194,0.011411,,,,
gru_enzyme_h128_l3_reg0.0,0.010374,0.009361,0.011386,,,,
gru_enzyme_h512_l2_reg0.0,0.010487,0.008995,0.011980,,,,
gru_enzyme_h512_l3_reg0.01,0.010500,0.009071,0.011928,,,,
gru_enzyme_h512_l3_reg0.0,0.010653,0.008448,0.012859,,,,
gru_enzyme_h512_l1_reg0.01,0.011419,0.009382,0.013457,,,,
gru_enzyme_h128_l1_reg0.01,0.011802,0.010657,0.012946,,,,
gru_enzyme_h128_l2_reg0.0,0.011942,0.010765,0.013120,,,,
gru_enzyme_h256_l2_reg0.01,0.011966,0.010183,0.013748,,,,
gru_enzyme_h128_l1_reg0.0,0.012108,0.010728,0.013488,,,,
gru_enzyme_h128_l2_reg0.01,0.012538,0.010641,0.014435,,,,
gru_enzyme_h512_l1_reg0.0,0.013214,0.011012,0.015415,,,,
gru_enzyme_h512_l2_reg0.01,0.013318,0.011775,0.014861,,,,
gru_enzyme_h256_l2_reg0.0,0.013840,0.012079,0.015601,,,,
gru_mof4_h512_l3_reg0.01,0.029962,,,0.023215,0.023031,0.028564,0.045039
gru_mof4_h512_l3_reg0.0,0.030301,,,0.021836,0.021731,0.038633,0.039005
gru_mof4_h512_l1_reg0.0,0.031310,,,0.023321,0.026475,0.031430,0.044015
gru_mof4_h256_l3_reg0.0,0.031987,,,0.024020,0.024055,0.034217,0.045654
gru_mof4_h128_l3_reg0.0,0.032108,,,0.022314,0.024533,0.031190,0.050396
gru_mof4_h512_l2_reg0.01,0.033072,,,0.025834,0.023961,0.036980,0.045513
gru_mof4_h512_l2_reg0.0,0.033077,,,0.022136,0.023273,0.028756,0.058143
gru_mof4_h256_l1_reg0.0,0.033215,,,0.024630,0.025651,0.037938,0.044640
gru_mof4_h256_l2_reg0.0,0.033284,,,0.024551,0.025003,0.037614,0.045968
gru_mof4_h128_l3_reg0.01,0.033327,,,0.024523,0.025013,0.039165,0.044608
gru_mof4_h256_l3_reg0.01,0.034018,,,0.024259,0.024161,0.033135,0.054516
gru_mof4_h256_l2_reg0.01,0.034336,,,0.025880,0.023764,0.035776,0.051924
gru_mof4_h128_l2_reg0.0,0.035063,,,0.025585,0.024811,0.033025,0.056832
gru_mof4_h512_l1_reg0.01,0.035308,,,0.027730,0.025882,0.036746,0.050874
gru_mof4_h128_l2_reg0.01,0.035557,,,0.027321,0.026262,0.043186,0.045459
gru_mof4_h256_l1_reg0.01,0.038197,,,0.029531,0.026130,0.037947,0.059181
gru_mof4_h128_l1_reg0.01,0.040587,,,0.032791,0.032075,0.039785,0.057699
gru_mof4_h128_l1_reg0.0,0.041822,,,0.026528,0.035611,0.040315,0.064832
