run,nrmse,Base,Mod,SBU,Am,Nuc_C,MOF_C
ode_rnn_h256_l3,0.066209,0.064490,0.047373,0.088940,0.088475,0.053199,0.054778
ode_rnn_h256_l2,0.069010,0.062639,0.047373,0.087923,0.085267,0.057752,0.073108
ode_rnn_h128_l3,0.073667,0.063690,0.047373,0.091090,0.107082,0.066376,0.066389
ode_rnn_h256_l1,0.075253,0.072720,0.047373,0.092634,0.085486,0.086923,0.066381
ode_rnn_h128_l2,0.075495,0.077031,0.047373,0.095517,0.084064,0.082477,0.066511
ode_rnn_h64_l2,0.078908,0.084586,0.047373,0.089332,0.097448,0.071463,0.083247
ode_rnn_h128_l1,0.080410,0.080606,0.047373,0.088543,0.108260,0.086411,0.071270
ode_rnn_h64_l3,0.080738,0.086919,0.047373,0.098901,0.088472,0.086512,0.076250
ode_rnn_h64_l1,0.090411,0.094911,0.047373,0.078282,0.131239,0.086859,0.103805
bb_gru_h256_l2,0.160009,0.035182,0.063685,0.123517,0.200162,0.274474,0.263036
bb_gru_h256_l3,0.166196,0.032670,0.059806,0.129658,0.238364,0.261625,0.275054
bb_gru_h64_l2,0.170627,0.060799,0.068830,0.160751,0.252893,0.236059,0.244431
bb_gru_h128_l3,0.188354,0.045579,0.061179,0.151780,0.335675,0.254667,0.281248
bb_gru_h256_l1,0.188606,0.060440,0.065121,0.143610,0.253630,0.332682,0.276154
bb_gru_h64_l1,0.197044,0.060527,0.069972,0.153554,0.288281,0.344790,0.265142
bb_gru_h128_l1,0.208693,0.058960,0.065690,0.162242,0.330285,0.336468,0.298516
bb_gru_h128_l2,0.232273,0.046497,0.058681,0.152487,0.297423,0.512931,0.325616
bb_gru_h64_l3,0.239434,0.057557,0.056753,0.179550,0.348265,0.420364,0.374117
