run,nrmse,Base,Mod,SBU,Am,Nuc_C,MOF_C
ode_rnn_h1024_l2,0.065068,0.062290,0.047373,0.090244,0.081324,0.051378,0.057801
ode_rnn_h512_l2,0.068129,0.063917,0.047373,0.086681,0.085450,0.058352,0.066999
ode_rnn_h512_l3,0.070863,0.060406,0.047373,0.081697,0.095497,0.058997,0.081209
ode_rnn_h1024_l4,0.070964,0.067967,0.047373,0.091441,0.087383,0.062103,0.069515
ode_rnn_h1024_l1,0.071541,0.065956,0.047373,0.102654,0.088194,0.061485,0.063584
ode_rnn_h512_l1,0.072588,0.067871,0.047373,0.094452,0.092140,0.071386,0.062308
ode_rnn_h512_l4,0.073370,0.065460,0.047373,0.097094,0.084701,0.091010,0.054584
ode_rnn_h1024_l3,0.077480,0.067055,0.047373,0.095001,0.092420,0.095658,0.067376
bb_gru_h512_l2,0.161626,0.030291,0.061313,0.121028,0.268699,0.231155,0.257273
bb_gru_h1024_l1,0.176161,0.038326,0.063716,0.134710,0.254073,0.287254,0.278890
bb_gru_h512_l3,0.177767,0.032532,0.062604,0.133380,0.276489,0.277671,0.283929
bb_gru_h1024_l2,0.178495,0.032914,0.056590,0.136278,0.284420,0.279624,0.281144
bb_gru_h1024_l4,0.178569,0.030286,0.065300,0.131566,0.279512,0.306798,0.257952
bb_gru_h512_l1,0.180317,0.038676,0.058057,0.131181,0.308508,0.279382,0.266100
bb_gru_h512_l4,0.184779,0.033871,0.076163,0.128765,0.254869,0.343461,0.271546
bb_gru_h1024_l3,0.204935,0.035021,0.066009,0.139904,0.270841,0.444818,0.273016
