run,nrmse,R,O,m,mm,p,pm,DNA
hidden128_y0,1865397.025735,69832312.854640,41770004.121675,490161387.781637,3459442.821295,70120758562.690109,271351.230176,0.000000
wd0005_y0,1919967.562772,41477959.067582,73917900.336833,1028349963.395461,2419226.824597,44526849304.900009,1420708.300947,0.000000
hidden256_y0,2321397.259516,39216514.177078,52352234.737089,1771644332.997395,4248974.440070,39864634299.319374,393820.078961,0.000000
drop030,2514022.637512,38671176.717695,70160764.764912,1393586531.811878,3768952.257334,24517197302.697960,1259093.017691,0.000000
wd0005,2888896.181175,41048261.646946,59487734.495046,1538612196.787426,3610092.642750,33020384218.447685,2167699.719601,0.000000
hidden128,3285269.121273,73530568.058703,52061007.186298,397105297.368195,6224326.429544,35929585637.575447,346211.813002,0.000000
drop030_y0,4934832.543022,35184880.161634,73204525.819605,1030299588.533019,9543680.433601,26837507805.082680,325984.652443,0.000000
wd0050,6558666.311251,36105919.162073,63852559.417084,610550090.431586,11904455.663694,38497032863.292580,1212876.958807,0.000000
drop025_y0,7250630.279568,32902034.051974,72563076.196152,610940927.240807,12304125.341659,22245187939.728138,2197135.217476,0.000000
cosine,9565340.245542,32375927.765728,59995333.494525,345710142.986481,17441642.657370,27678583979.498245,1689037.833713,0.000000
cosine_y0,10337173.584465,33411815.816534,73359918.765852,509100179.444774,8883334.508397,27805922944.617981,11791012.660533,0.000000
hidden256,11928955.772946,30202780.046328,59561253.895303,323868886.780369,14438602.521007,28635934281.165039,9419309.024885,0.000000
wd0050_y0,58508657.243048,41197274.192170,70305415.993680,1254856405.479105,6915293.183349,22302759182.982616,110102021.302747,0.000000
drop025,74209911.470367,47824992.424702,58016440.324811,1648610136.844132,2436938.227461,28545137493.564579,145982884.713274,0.000000
