run,nrmse,R,O,m,mm,p,pm,DNA
hidden256_y0,0.305554,40961148.428476,52509967.811103,278039761.907670,0.248034,24072603605.037346,0.363074,0.000000
wd0005,0.307032,41218680.163322,64088388.378475,296263561.833318,0.219555,18860623846.407238,0.394509,0.000000
wd0050_y0,0.307475,41486386.889101,78668180.520889,299292642.506830,0.221572,15264575649.266718,0.393378,0.000000
hidden128,0.307611,75457254.270458,51181199.174796,232017373.608813,0.295593,17276743918.501438,0.319629,0.000000
wd0005_y0,0.310278,42654710.220346,81169188.585967,284272156.304952,0.227810,32385869549.547050,0.392746,0.000000
drop025,0.314807,47600653.364314,62708155.997365,334538210.563914,0.227334,17544476202.903297,0.402280,0.000000
hidden128_y0,0.315978,74847674.569972,37446749.356653,261309224.687159,0.258100,24819518249.212822,0.373857,0.000000
wd0050,0.336539,38499963.062074,70692433.710664,145874712.036422,0.287579,34783607108.988487,0.385499,0.000000
drop030,0.338792,39686207.847306,75666347.564389,318582384.620576,0.281715,12851936363.800732,0.395869,0.000000
cosine,0.349554,32463186.108545,67811358.542175,123267849.535690,0.297086,18922231765.679295,0.402023,0.000000
hidden256,0.349911,29783335.653873,61750825.982192,145112670.761830,0.298229,22879923816.931641,0.401594,0.000000
drop030_y0,0.358228,36954673.469276,84096754.098251,311509049.141777,0.275226,17131422768.530575,0.441230,0.000000
drop025_y0,0.370823,34085925.930472,78303564.181242,305724293.308495,0.314177,17157396946.074009,0.427470,0.000000
cosine_y0,0.372973,33959926.641388,82021086.136001,241328523.511034,0.293383,20583124858.007385,0.452564,0.000000
