sample_idx,os_mm,ro_mm,os_pm,ro_pm
0,0.192291,0.012161,0.756663,0.515370
1,0.193140,0.011973,0.758313,0.495140
2,0.190171,0.013935,0.752896,0.509723
3,0.196832,0.011918,0.752116,0.437812
4,0.269995,0.021587,0.742130,0.397554
5,0.282647,0.014544,0.747730,0.442992
6,0.255105,0.011302,0.748583,0.354070
7,0.242380,0.012056,0.751140,0.394976
8,0.256119,0.021342,0.754167,0.454477
9,0.290361,0.020813,0.748631,0.511650
10,0.299401,0.019513,0.753592,0.555805
11,0.293000,0.015482,0.744024,0.552113
12,0.271220,0.027403,0.778868,0.467328
13,0.251697,0.027171,0.781973,0.535960
14,0.205167,0.014460,0.748590,0.517401
15,0.226006,0.013835,0.758391,0.531998
16,0.259831,0.014861,0.738587,0.403398
17,0.313463,0.012841,0.743554,0.343588
18,0.207579,0.014070,0.746663,0.545802
19,0.220445,0.012640,0.743719,0.461755
20,0.231661,0.013099,0.739446,0.468992
21,0.226331,0.014002,0.741856,0.519537
22,0.215419,0.027253,0.803837,0.552266
23,0.235641,0.022947,0.803640,0.521353
24,0.330871,0.031398,0.796219,0.118339
25,0.294522,0.024535,0.711710,0.172114
26,0.342789,0.031572,0.729060,0.402314
27,0.433006,0.036636,0.449775,0.314590
28,0.338547,0.016911,0.553840,0.236225
29,0.397061,0.018702,0.696176,0.536527
30,0.364202,0.023826,0.740983,0.553590
31,0.420188,0.023484,0.725004,0.594694
32,0.471865,0.026158,0.691382,0.583611
33,0.418722,0.024086,0.695799,0.459406
34,0.313600,0.016869,0.661529,0.533167
35,0.464822,0.022954,0.725721,0.478475
36,0.329362,0.017490,0.717762,0.610170
37,0.483037,0.037833,0.622467,0.397032
38,0.513336,0.022127,0.570306,0.438652
39,0.419624,0.025257,0.729841,0.527027
40,0.412854,0.035543,0.745167,0.317485
41,0.313315,0.018169,0.744740,0.555606
42,0.384469,0.013190,0.704826,0.559326
43,0.478946,0.023578,0.740203,0.509821
44,0.461587,0.020730,0.769845,0.373096
45,0.408530,0.031962,0.742102,0.335639
46,0.413366,0.024675,0.731885,0.496233
47,0.512503,0.036911,0.679422,0.594430
48,0.311237,0.002655,0.739947,0.592885
49,0.324651,0.009652,0.711143,0.589140
50,0.438461,0.002715,0.247442,1.000706
51,0.272596,0.028638,0.568660,0.517751
52,0.485734,0.003911,0.519668,0.892623
53,0.466380,0.001834,0.673612,0.376194
54,0.400759,0.047090,0.626999,0.448319
55,0.507525,0.002648,0.631229,0.238275
56,0.360973,0.017437,0.666403,0.637278
