sample_idx,os_mm,ro_mm,os_pm,ro_pm
0,0.192291,0.012156,0.756663,0.511362
1,0.193140,0.011965,0.758313,0.490223
2,0.190171,0.013932,0.752896,0.507736
3,0.196832,0.011913,0.752116,0.432872
4,0.269995,0.021584,0.742130,0.395637
5,0.282647,0.014540,0.747730,0.441942
6,0.255105,0.011295,0.748583,0.347517
7,0.242380,0.012047,0.751140,0.388695
8,0.256119,0.021337,0.754167,0.451866
9,0.290361,0.020807,0.748631,0.509231
10,0.299401,0.019497,0.753592,0.553241
11,0.293000,0.015479,0.744024,0.551790
12,0.271220,0.027404,0.778868,0.467321
13,0.251697,0.027172,0.781973,0.535953
14,0.205167,0.014450,0.748590,0.514492
15,0.226006,0.013815,0.758391,0.527121
16,0.259831,0.014851,0.738587,0.399666
17,0.313463,0.012829,0.743554,0.336163
18,0.207579,0.014063,0.746663,0.543213
19,0.220445,0.012622,0.743719,0.456578
20,0.231661,0.013079,0.739446,0.463493
21,0.226331,0.013994,0.741856,0.516220
22,0.215419,0.027253,0.803837,0.552260
23,0.235641,0.022948,0.803640,0.521345
24,0.330871,0.031380,0.796219,0.117061
25,0.294522,0.024514,0.711710,0.169185
26,0.342789,0.031543,0.729060,0.398156
27,0.433006,0.036697,0.449775,0.314831
28,0.338547,0.016916,0.553840,0.235917
29,0.397061,0.018672,0.696176,0.533376
30,0.364202,0.023661,0.740983,0.550492
31,0.420188,0.023210,0.725004,0.592715
32,0.471865,0.025684,0.691382,0.581581
33,0.418722,0.023984,0.695799,0.454679
34,0.313600,0.016822,0.661529,0.531027
35,0.464822,0.022884,0.725721,0.473197
36,0.329362,0.017276,0.717762,0.608223
37,0.483037,0.037733,0.622467,0.392343
38,0.513336,0.022118,0.570306,0.436003
39,0.419624,0.025090,0.729841,0.523157
40,0.412854,0.035544,0.745167,0.307665
41,0.313315,0.018105,0.744740,0.552502
42,0.384469,0.013161,0.704826,0.556948
43,0.478946,0.023517,0.740203,0.504796
44,0.461587,0.020763,0.769845,0.360894
45,0.408530,0.031963,0.742102,0.323643
46,0.413366,0.024602,0.731885,0.491331
47,0.512503,0.036145,0.679422,0.592593
48,0.311237,0.002655,0.739947,0.592884
49,0.324651,0.009653,0.711143,0.589138
50,0.438461,0.002714,0.247442,1.000139
51,0.272596,0.028640,0.568660,0.517734
52,0.485734,0.003922,0.519668,0.892584
53,0.466380,0.001837,0.673612,0.372654
54,0.400759,0.047068,0.626999,0.444868
55,0.507525,0.002663,0.631229,0.213486
56,0.360973,0.017433,0.666403,0.637211
57,0.275053,0.011287,0.676744,0.530442
58,0.276360,0.014316,0.678944,0.633023
59,0.409244,0.007852,0.080002,1.040376
60,0.180165,0.023204,0.646289,0.605717
61,0.167618,0.012301,0.706604,0.641653
62,0.245354,0.024721,0.595696,0.555241
63,0.594630,0.007175,0.664393,0.198609
64,0.389997,0.008537,0.605393,0.438739
65,0.315685,0.010714,0.723504,0.305187
66,0.449679,0.049056,0.613848,0.501468
67,0.490619,0.010227,0.088093,0.839060
68,0.603968,0.010787,0.105922,0.935934
69,0.497240,0.010411,0.668289,0.208077
70,0.175371,0.020393,0.797139,0.632411
71,0.199155,0.036064,0.786663,0.580747
72,0.352866,0.017842,0.765830,0.420707
73,0.322916,0.007052,nan,nan
74,0.240684,0.022688,0.743140,0.224492
75,0.665829,0.006800,0.111519,1.116207
76,0.231363,0.017817,0.804892,0.231766
77,0.331193,0.013099,0.075353,1.720926
78,0.431336,0.013015,0.700620,0.388606
79,0.484004,0.008184,0.710972,0.248115
80,0.378316,0.033124,0.758310,0.171001
81,0.690815,0.005583,0.063309,1.549978
82,0.345355,0.010688,0.754016,0.455553
83,0.236637,0.009873,0.722915,0.208445
