run,nrmse,Base,Mod,Am,MOF_C
lstm_lr1e-2_s1,0.111919,0.030866,0.049379,0.163373,0.204058
lstm_lr1e-2_s0,0.119099,0.039757,0.052605,0.170974,0.213060
lstm_lr3e-3_s1,0.129816,0.058977,0.050786,0.171564,0.237937
lstm_lr3e-3_s0,0.130326,0.047560,0.049537,0.177173,0.247033
lstm_lr3e-3_s42,0.134214,0.058679,0.048763,0.179908,0.249505
lstm_lr1e-3_s0,0.135262,0.046144,0.047188,0.187757,0.259959
lstm_lr1e-3_s1,0.135897,0.052926,0.045155,0.190494,0.255011
lstm_lr3e-4_s0,0.136520,0.030789,0.053043,0.193172,0.269076
lstm_lr1e-3_s42,0.136726,0.041342,0.048381,0.191548,0.265633
lstm_lr3e-4_s42,0.137216,0.031003,0.049664,0.193248,0.274949
lstm_lr3e-4_s1,0.140227,0.032904,0.055807,0.197201,0.274994
lstm_lr1e-4_s1,0.171131,0.028110,0.136555,0.227947,0.291913
lstm_lr1e-4_s0,0.183346,0.029214,0.191755,0.209740,0.302674
lstm_lr1e-4_s42,0.193662,0.028188,0.179055,0.220506,0.346899
lstm_lr1e-2_s42,0.278325,0.039991,0.270406,0.470939,0.331964
