run,nrmse,A,C,Base,Mod,Am,MOF_C
lstm_enzyme_h128_l2_reg0.0,0.009452,0.008613,0.010290,,,,
lstm_enzyme_h128_l2_reg0.01,0.010975,0.009947,0.012003,,,,
lstm_enzyme_h256_l3_reg0.0,0.011166,0.010142,0.012189,,,,
lstm_enzyme_h256_l1_reg0.01,0.011550,0.010440,0.012660,,,,
lstm_enzyme_h256_l2_reg0.0,0.011678,0.009491,0.013866,,,,
lstm_enzyme_h512_l3_reg0.01,0.011849,0.009623,0.014076,,,,
lstm_enzyme_h512_l2_reg0.01,0.011984,0.010893,0.013075,,,,
lstm_enzyme_h512_l1_reg0.0,0.012362,0.010977,0.013746,,,,
lstm_enzyme_h512_l2_reg0.0,0.012514,0.011087,0.013941,,,,
lstm_enzyme_h128_l3_reg0.01,0.012997,0.011043,0.014951,,,,
lstm_enzyme_h512_l1_reg0.01,0.013489,0.011591,0.015387,,,,
lstm_enzyme_h128_l1_reg0.0,0.013599,0.012204,0.014993,,,,
lstm_mof4_h512_l3_reg0.0,0.027705,,,0.018589,0.025793,0.029269,0.037170
lstm_mof4_h512_l2_reg0.0,0.030023,,,0.022016,0.024951,0.029627,0.043498
lstm_mof4_h256_l3_reg0.0,0.032467,,,0.020506,0.027592,0.034343,0.047429
lstm_mof4_h256_l1_reg0.0,0.034724,,,0.025757,0.027842,0.037406,0.047892
lstm_mof4_h256_l2_reg0.0,0.035357,,,0.022307,0.027195,0.034574,0.057351
lstm_mof4_h512_l2_reg0.01,0.036132,,,0.023545,0.024252,0.045554,0.051178
lstm_mof4_h128_l2_reg0.01,0.036940,,,0.025098,0.028435,0.036034,0.058192
lstm_mof4_h128_l3_reg0.01,0.037386,,,0.024371,0.027809,0.035519,0.061846
lstm_mof4_h128_l1_reg0.0,0.043629,,,0.024553,0.030431,0.038349,0.081182
lstm_mof4_h512_l1_reg0.01,nan,,,nan,nan,nan,nan
lstm_mof4_h128_l1_reg0.01,0.046192,,,0.030228,0.031870,0.048559,0.074113
