run,nrmse,Base,Mod,Am,MOF_C
mamba_lr3e-3_s0,0.119182,0.070680,0.049637,0.165346,0.191065
mamba_lr3e-3_s42,0.124244,0.074544,0.051289,0.167721,0.203422
mamba_lr1e-3_s1,0.128499,0.066579,0.043302,0.181303,0.222810
mamba_lr1e-3_s42,0.128852,0.047120,0.043724,0.184376,0.240188
mamba_lr3e-3_s1,0.128936,0.075722,0.056334,0.176043,0.207645
mamba_lr1e-3_s0,0.132646,0.085941,0.042334,0.171762,0.230546
mamba_lr1e-2_s42,0.139728,0.041343,0.049659,0.213847,0.254063
mamba_lr3e-4_s1,0.140297,0.028284,0.065452,0.212136,0.255319
mamba_lr3e-4_s42,0.141382,0.029183,0.065911,0.204452,0.265981
mamba_lr3e-4_s0,0.143342,0.029349,0.065773,0.208912,0.269333
mamba_lr1e-4_s42,0.155599,0.027199,0.103421,0.217971,0.273805
mamba_lr1e-4_s0,0.156287,0.026762,0.110755,0.215740,0.271891
mamba_lr1e-4_s1,0.159252,0.027455,0.125220,0.214485,0.269848
mamba_lr1e-2_s0,0.168108,0.035724,0.048657,0.256963,0.331087
mamba_lr1e-2_s1,0.202917,0.040500,0.060741,0.377467,0.332961
