run,nrmse,A,C,Base,Mod,Am,MOF_C
mamba_enzyme_h256_l2_reg0.0,0.041525,0.035241,0.047809,,,,
mamba_enzyme_h128_l3_reg0.0,0.047068,0.039558,0.054577,,,,
mamba_enzyme_h128_l3_reg0.01,0.051372,0.045277,0.057468,,,,
mamba_enzyme_h256_l2_reg0.01,0.055516,0.048997,0.062036,,,,
mamba_enzyme_h128_l2_reg0.0,0.057569,0.048479,0.066658,,,,
mamba_enzyme_h256_l1_reg0.01,0.059517,0.056627,0.062407,,,,
mamba_enzyme_h256_l3_reg0.01,0.063146,0.054716,0.071576,,,,
mamba_enzyme_h512_l2_reg0.0,0.065194,0.059166,0.071222,,,,
mamba_enzyme_h128_l1_reg0.01,0.065412,0.057081,0.073743,,,,
mamba_enzyme_h128_l2_reg0.01,0.072013,0.066461,0.077564,,,,
mamba_enzyme_h256_l3_reg0.0,0.076644,0.063316,0.089973,,,,
mamba_enzyme_h256_l1_reg0.0,0.080908,0.073589,0.088228,,,,
mamba_enzyme_h128_l1_reg0.0,0.082155,0.069866,0.094444,,,,
mamba_mof4_h128_l1_reg0.0,0.102200,,,0.040785,0.049589,0.139165,0.179260
mamba_mof4_h128_l2_reg0.0,0.104678,,,0.032791,0.045802,0.143212,0.196906
mamba_mof4_h128_l3_reg0.0,0.107712,,,0.040097,0.040553,0.147221,0.202976
mamba_mof4_h256_l1_reg0.0,0.115142,,,0.050109,0.046433,0.155378,0.208649
mamba_mof4_h256_l2_reg0.0,0.120006,,,0.033427,0.050415,0.189874,0.206306
mamba_mof4_h256_l3_reg0.0,0.124379,,,0.072147,0.043974,0.173945,0.207448
mamba_mof4_h256_l2_reg0.01,0.125512,,,0.069808,0.038761,0.185155,0.208324
mamba_mof4_h128_l1_reg0.01,0.130494,,,0.060504,0.052098,0.182347,0.227024
mamba_mof4_h512_l3_reg0.0,0.133115,,,0.073573,0.046976,0.182971,0.228938
mamba_mof4_h128_l2_reg0.01,0.133547,,,0.032113,0.047113,0.187990,0.266973
mamba_mof4_h256_l3_reg0.01,0.134703,,,0.032453,0.044090,0.196420,0.265850
mamba_mof4_h512_l3_reg0.01,0.135210,,,0.096068,0.046139,0.173803,0.224831
mamba_mof4_h128_l3_reg0.01,0.135812,,,0.032020,0.053220,0.195391,0.262616
mamba_mof4_h512_l2_reg0.0,0.136627,,,0.072528,0.042127,0.178758,0.253095
mamba_enzyme_h512_l1_reg0.01,0.137705,0.119587,0.155823,,,,
mamba_enzyme_h512_l1_reg0.0,0.138250,0.129467,0.147034,,,,
mamba_mof4_h512_l2_reg0.01,0.139291,,,0.035911,0.047030,0.211452,0.262770
mamba_mof4_h512_l1_reg0.0,0.147589,,,0.077077,0.046937,0.189825,0.276518
mamba_enzyme_h512_l3_reg0.0,0.153511,0.129891,0.177131,,,,
mamba_mof4_h512_l1_reg0.01,0.173795,,,0.175035,0.047323,0.271787,0.201034
mamba_enzyme_h512_l3_reg0.01,0.176578,0.162361,0.190795,,,,
mamba_enzyme_h512_l2_reg0.01,0.206817,0.186126,0.227508,,,,
mamba_mof4_h256_l1_reg0.01,nan,,,nan,nan,nan,nan
