time,loss_onestep,loss_rollout
1.003344506025314331e-01,4.948971974068011397e-19,4.948971974068011397e-19
2.006689012050628662e-01,4.948971974068011397e-19,1.979626219549922583e-18
3.010033369064331055e-01,4.948969906116480015e-19,4.454232354567901609e-18
4.013378024101257324e-01,4.948973525031659934e-19,7.918752205202843689e-18
5.016722679138183594e-01,4.948973525031659934e-19,1.237321244802950366e-17
6.020066738128662109e-01,4.948967321177065786e-19,1.781762590434737609e-17
7.023411393165588379e-01,4.948973525031659934e-19,2.425200084596258651e-17
8.026756048202514648e-01,4.948973525031659934e-19,3.167636539701596172e-17
9.030100107192993164e-01,4.948967321177065786e-19,4.009072452059117705e-17
1.003344535827636719e+00,4.948978177922605545e-19,4.949506994488210695e-17
1.103678941726684570e+00,4.948967321177065786e-19,5.988942483094590293e-17
1.204013347625732422e+00,4.948967321177065786e-19,7.127376601772541348e-17
1.304347872734069824e+00,4.948978177922605545e-19,8.364812328372269053e-17
1.404682278633117676e+00,4.948967321177065786e-19,9.701248339404793322e-17
1.505016684532165527e+00,4.948967321177065786e-19,1.113668331138113407e-16
1.605351209640502930e+00,4.948978177922605545e-19,1.267112055302374151e-16
1.705685615539550781e+00,4.948967321177065786e-19,1.430455741735465547e-16
1.806020021438598633e+00,4.948967321177065786e-19,1.603699390437387596e-16
1.906354546546936035e+00,4.948978177922605545e-19,1.786843266105936313e-16
2.006689071655273438e+00,4.948975592983191317e-19,1.979886309949927632e-16
2.107023477554321289e+00,4.948964736237651558e-19,2.182828124922667526e-16
2.207357883453369141e+00,4.948964736237651558e-19,2.395669108070850022e-16
2.307692289352416992e+00,4.948964736237651558e-19,2.618408597649985077e-16
2.408026695251464844e+00,4.948964736237651558e-19,2.851047784800154767e-16
2.508361101150512695e+00,4.948964736237651558e-19,3.093586669521359092e-16
2.608695745468139648e+00,4.948988000692379612e-19,3.346025251813598052e-16
2.709030151367187500e+00,4.948964736237651558e-19,3.608361943490095546e-16
2.809364557266235352e+00,4.948964736237651558e-19,3.880598332737627675e-16
2.909698963165283203e+00,4.948964736237651558e-19,4.162734419556194439e-16
3.010033369064331055e+00,4.948964736237651558e-19,4.454769145154611771e-16
3.110367774963378906e+00,4.948964736237651558e-19,4.756705685906431873e-16
3.210702419281005859e+00,4.948988000692379612e-19,5.068542453624878645e-16
3.311036825180053711e+00,4.948964736237651558e-19,5.390279977705544120e-16
3.411371231079101562e+00,4.948964736237651558e-19,5.721916669961652196e-16
3.511705636978149414e+00,4.948964736237651558e-19,6.063453059788794907e-16
3.612040042877197266e+00,4.948964736237651558e-19,6.414889676582564287e-16
3.712374687194824219e+00,4.948988000692379612e-19,6.776225461551776269e-16
3.812709093093872070e+00,4.948964736237651558e-19,7.147462002883206954e-16
3.913043498992919922e+00,4.948964736237651558e-19,7.528598241785672274e-16
4.013378143310546875e+00,4.948988000692379612e-19,7.919635237050356297e-16
4.113712310791015625e+00,4.948940437807157813e-19,8.320572988677259023e-16
4.214046955108642578e+00,4.948988000692379612e-19,8.731409379084012316e-16
4.314381122589111328e+00,4.948940437807157813e-19,9.152146525852984313e-16
4.414715766906738281e+00,4.948988000692379612e-19,9.582782311401806877e-16
4.515049934387207031e+00,4.948940437807157813e-19,1.002331779452166408e-15
4.615384578704833984e+00,4.948988000692379612e-19,1.047375509279492405e-15
