time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
1.003344506025314331e-01,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
2.006689012050628662e-01,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
3.010033369064331055e-01,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
4.013378024101257324e-01,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
5.016722679138183594e-01,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
6.020066738128662109e-01,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
7.023411393165588379e-01,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
8.026756048202514648e-01,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
9.030100107192993164e-01,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
1.003344535827636719e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
1.103678941726684570e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
1.204013347625732422e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
1.304347872734069824e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
1.404682278633117676e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
1.505016684532165527e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00,1.000499963760375977e+00
