time,loss_onestep,loss_rollout
5.008347034454345703e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.001669406890869141e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.502504229545593262e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.003338813781738281e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.504173517227172852e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.005008459091186523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.505843162536621094e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.006677627563476562e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.507512569427490234e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.008347034454345703e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.509181976318359375e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.010016918182373047e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.510851383209228516e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.011686325073242188e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.512520790100097656e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.013355255126953125e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.514190673828125000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.015025138854980469e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.515859603881835938e+00,4.650253515592339681e-07,3.099285947882890468e-07
1.001669406890869141e+01,8.695275823811243754e-07,6.241972982934385072e-07
1.051752948760986328e+01,4.624450156143211643e-08,1.771508451042791421e-08
1.101836395263671875e+01,1.756778923722723817e-11,3.619396666057483891e-12
1.151919841766357422e+01,1.079243506087006199e-13,3.269820598636972997e-14
1.202003383636474609e+01,1.979292719848403659e-14,3.370167490755358528e-15
1.252086830139160156e+01,2.244171780916084935e-14,1.867096302666051456e-15
1.302170276641845703e+01,7.278926132626636902e-14,2.144918874200725696e-15
1.352253723144531250e+01,6.681954794161837352e-13,4.103555298025970272e-15
1.402337265014648438e+01,2.779756806681188408e-11,5.811190236833111214e-15
1.452420711517333984e+01,1.889533196575143847e-09,1.470298255162264672e-14
1.502504158020019531e+01,3.695319961138920917e-08,6.470280040915543651e-14
1.552587604522705078e+01,1.553268873522029025e-07,4.264621696146303487e-13
1.602671051025390625e+01,2.716356277687737020e-07,3.427468812239320428e-12
1.652754592895507812e+01,3.043087417609058321e-07,2.837721550796867831e-11
1.702838134765625000e+01,2.293559049348914414e-07,1.959853251909393634e-10
1.752921485900878906e+01,7.434117833327036351e-06,7.376708708761725575e-06
1.803005027770996094e+01,2.727028686422272585e-06,5.587032319454010576e-06
1.853088569641113281e+01,1.598457188833890541e-08,7.161362987062602770e-07
1.903171920776367188e+01,2.506884673805775954e-12,5.248056329787420538e-12
1.953255462646484375e+01,5.176414852314792370e-15,2.775557561562891351e-16
2.003338813781738281e+01,1.011584005038319856e-14,1.080332396586854756e-15
2.053422355651855469e+01,9.665025398931936795e-14,1.367495941584731013e-15
2.103505897521972656e+01,2.596352494978193537e-13,1.640781592895674407e-14
2.153589248657226562e+01,3.599812776425986849e-13,4.013136055565878768e-14
2.203672790527343750e+01,3.583201985991879557e-13,4.517433722559492659e-14
2.253756332397460938e+01,3.479876705802381620e-13,4.518607710224387120e-14
2.303839683532714844e+01,3.714048383077206417e-13,4.210414094739552138e-14
2.353923225402832031e+01,5.273594603540099346e-13,4.341185817400249058e-14
2.404006767272949219e+01,1.137466206294068805e-12,6.511378079516322304e-14
2.454090118408203125e+01,3.667737988322095077e-12,1.039830656475448922e-13
2.504173660278320312e+01,1.742355565381714655e-11,2.680796394333856414e-13
2.554257011413574219e+01,1.140740835126052843e-10,7.300320287520478679e-13
2.604340553283691406e+01,8.529941752932757026e-10,2.167070125777548206e-12
2.654424095153808594e+01,5.482095666309305670e-09,6.425269604565242432e-12
2.704507446289062500e+01,2.417342948035638983e-08,1.515365090354325872e-11
2.754590988159179688e+01,7.001072788170858985e-08,4.313420801094203227e-11
2.804674530029296875e+01,1.431275080676641664e-07,1.178090403008980047e-10
2.854757881164550781e+01,2.123884570437439834e-07,2.865061521362122221e-10
2.904841423034667969e+01,2.422003717583720572e-07,6.322775636391497756e-10
2.954924964904785156e+01,2.311159335022239247e-07,1.283858352962852223e-09
3.005008316040039062e+01,2.013478308526828187e-07,2.422286371484005940e-09
3.055091857910156250e+01,1.778595901669177692e-07,4.284243182439695374e-09
3.105175209045410156e+01,1.818472412651317427e-07,7.156104153693831904e-09
3.155258750915527344e+01,2.230868005881347926e-07,1.132646776369483632e-08
3.205342102050781250e+01,2.906937766056216788e-07,1.686933259748002456e-08
3.255425643920898438e+01,3.569801094727154123e-07,2.311273128441371227e-08
3.305509185791015625e+01,3.917753303994686576e-07,2.826897294028185570e-08
3.355592727661132812e+01,3.828930061899882276e-07,3.026963923957737279e-08
3.405676269531250000e+01,3.406200050903862575e-07,2.858359771096274926e-08
