time,loss_onestep,loss_rollout
5.008347034454345703e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.001669406890869141e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.502504229545593262e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.003338813781738281e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.504173517227172852e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.005008459091186523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.505843162536621094e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.006677627563476562e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.507512569427490234e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.008347034454345703e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.509181976318359375e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.010016918182373047e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.510851383209228516e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.011686325073242188e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.512520790100097656e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.013355255126953125e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.514190673828125000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.015025138854980469e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.515859603881835938e+00,4.903361059405142441e-07,3.357355922162241768e-07
1.001669406890869141e+01,9.140146062236453872e-07,6.761620170436799526e-07
1.051752948760986328e+01,4.698022948446123337e-08,1.918716208137993817e-08
1.101836395263671875e+01,1.627862254716117008e-11,3.918176547101914764e-12
1.151919841766357422e+01,1.083288528867278055e-13,3.699500422801524357e-14
1.202003383636474609e+01,1.940577384928251353e-14,4.048844592929867758e-15
1.252086830139160156e+01,2.160684825502912076e-14,1.671117019110403105e-15
1.302170276641845703e+01,6.312456118798617788e-14,2.630130051332326899e-15
1.352253723144531250e+01,4.979538374520753319e-13,4.180972838855592441e-15
1.402337265014648438e+01,1.793835219254802382e-11,6.358484482075479546e-15
1.452420711517333984e+01,1.276137751027306422e-09,1.727705130382447413e-14
1.502504158020019531e+01,2.938688403730793652e-08,7.098466779653644920e-14
1.552587604522705078e+01,1.430690161896563950e-07,4.551971863678283547e-13
1.602671051025390625e+01,2.665107956545398338e-07,3.673175479057544379e-12
1.652754592895507812e+01,3.149123131152009591e-07,3.029499914819488993e-11
1.702838134765625000e+01,2.454375191973667825e-07,2.079026673040829110e-10
1.752921485900878906e+01,1.313072698394535109e-05,1.237077503901673481e-05
1.803005027770996094e+01,1.665334536937734811e-16,2.318071778972807806e-08
1.853088569641113281e+01,1.156482351783730253e-18,5.782411862316227832e-18
1.903171920776367188e+01,1.118364637551529095e-13,1.961394151343267764e-15
1.953255462646484375e+01,1.746163435199787894e-12,3.717824659243973429e-13
2.003338813781738281e+01,1.560473972261888775e-12,4.530080195512542485e-13
2.053422355651855469e+01,7.684917697863002939e-13,2.217820924740182553e-13
2.103505897521972656e+01,4.234046652781126019e-13,8.708890542313135752e-14
2.153589248657226562e+01,4.977179150593424861e-13,5.257484375696501455e-14
2.203672790527343750e+01,1.817232996026429959e-12,9.426169561696159938e-14
2.253756332397460938e+01,1.193360427836909210e-11,3.188586547575589236e-13
2.303839683532714844e+01,1.076365108154675454e-10,1.222883231309646046e-12
2.353923225402832031e+01,9.537209910703836613e-10,4.189870238952009274e-12
2.404006767272949219e+01,6.107061967242088940e-09,1.109046188219053874e-11
2.454090118408203125e+01,2.603661641842336394e-08,3.878081883401662822e-11
2.504173660278320312e+01,7.685899561238329625e-08,1.289045675756383957e-10
2.554257011413574219e+01,1.612979332321629045e-07,3.676742799108012605e-10
2.604340553283691406e+01,2.443773325921938522e-07,9.219719987463292910e-10
2.654424095153808594e+01,2.819132021159020951e-07,2.058861081621898848e-09
2.704507446289062500e+01,2.697238699056470068e-07,4.153848820465100289e-09
2.754590988159179688e+01,2.325703718497607042e-07,7.684682223896288633e-09
2.804674530029296875e+01,1.976678873916171142e-07,1.317451214788434299e-08
2.854757881164550781e+01,1.884881299929475063e-07,2.102293095163076941e-08
2.904841423034667969e+01,2.206850950869920780e-07,3.098759293607145082e-08
2.954924964904785156e+01,2.891646033731376519e-07,4.131160480369544530e-08
3.005008316040039062e+01,3.660321965526236454e-07,4.863992941750439059e-08
3.055091857910156250e+01,4.154081523211061722e-07,5.013594517322417232e-08
3.105175209045410156e+01,4.174405319190555019e-07,4.597083602675411385e-08
3.155258750915527344e+01,3.789152458466560347e-07,3.871156195600633509e-08
3.205342102050781250e+01,3.189157666838582372e-07,3.091777855956934218e-08
3.255425643920898438e+01,2.544031474371877266e-07,2.400126319912487816e-08
3.305509185791015625e+01,1.955291253352697822e-07,1.851071651515212579e-08
3.355592727661132812e+01,1.465621011220719083e-07,1.442363739556640212e-08
3.405676269531250000e+01,1.080738414316328999e-07,1.150508666114546941e-08
