time,theta_0,theta_1
5.008347034454345703e-01,5.000005245208740234e+00,5.000005245208740234e+00
1.001669406890869141e+00,5.000005245208740234e+00,5.000005245208740234e+00
1.502504229545593262e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.003338813781738281e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.504173517227172852e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.005008459091186523e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.505843162536621094e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.006677627563476562e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.507512569427490234e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.008347034454345703e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.509181976318359375e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.010016918182373047e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.510851383209228516e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.011686325073242188e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.512520790100097656e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.013355255126953125e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.514190673828125000e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.015025138854980469e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.515859603881835938e+00,8.476180076599121094e+00,6.832031011581420898e-01
1.001669406890869141e+01,8.401585578918457031e+00,8.012369275093078613e-01
1.051752948760986328e+01,8.625565528869628906e+00,4.409863352775573730e-01
1.101836395263671875e+01,8.727289199829101562e+00,3.119430840015411377e-01
1.151919841766357422e+01,8.772052764892578125e+00,2.637529373168945312e-01
1.202003383636474609e+01,8.795712471008300781e+00,2.404796481132507324e-01
1.252086830139160156e+01,8.809514999389648438e+00,2.276096194982528687e-01
1.302170276641845703e+01,8.817852973937988281e+00,2.200852930545806885e-01
1.352253723144531250e+01,8.822945594787597656e+00,2.155853360891342163e-01
1.402337265014648438e+01,8.826060295104980469e+00,2.128655463457107544e-01
1.452420711517333984e+01,8.827969551086425781e+00,2.112126201391220093e-01
1.502504158020019531e+01,8.829138755798339844e+00,2.102053910493850708e-01
1.552587604522705078e+01,8.829853057861328125e+00,2.095907777547836304e-01
