time,theta_0,theta_1,theta_2,theta_3
5.008347034454345703e-01,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
1.001669406890869141e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
1.502504229545593262e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.003338813781738281e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
2.504173517227172852e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.005008459091186523e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
3.505843162536621094e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.006677627563476562e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
4.507512569427490234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.008347034454345703e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
5.509181976318359375e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.010016918182373047e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
6.510851383209228516e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.011686325073242188e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
7.512520790100097656e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.013355255126953125e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
8.514190673828125000e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.015025138854980469e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00,5.000005245208740234e+00
9.515859603881835938e+00,8.342512130737304688e+00,1.039252638816833496e+00,1.009911894798278809e+00,8.327145576477050781e+00
1.001669406890869141e+01,7.456250190734863281e+00,2.967224359512329102e+00,2.554493904113769531e+00,7.165390014648437500e+00
1.051752948760986328e+01,6.873317718505859375e+00,4.465070724487304688e+00,3.332373142242431641e+00,6.250842094421386719e+00
1.101836395263671875e+01,6.539409160614013672e+00,5.115075588226318359e+00,3.644847154617309570e+00,5.207081317901611328e+00
1.151919841766357422e+01,6.349895000457763672e+00,5.656597614288330078e+00,3.800964832305908203e+00,4.642915725708007812e+00
1.202003383636474609e+01,6.250061035156250000e+00,6.048830986022949219e+00,3.927631139755249023e+00,4.220654487609863281e+00
1.252086830139160156e+01,6.179183006286621094e+00,6.347920894622802734e+00,4.043549060821533203e+00,3.884953498840332031e+00
1.302170276641845703e+01,6.116053581237792969e+00,6.583601474761962891e+00,4.152152061462402344e+00,3.608654737472534180e+00
1.352253723144531250e+01,6.055106163024902344e+00,6.773122310638427734e+00,4.254179000854492188e+00,3.376564025878906250e+00
1.402337265014648438e+01,5.995303630828857422e+00,6.927781581878662109e+00,4.349561691284179688e+00,3.179259061813354492e+00
1.452420711517333984e+01,5.936874866485595703e+00,7.055502891540527344e+00,4.438146591186523438e+00,3.010267972946166992e+00
1.502504158020019531e+01,5.880304813385009766e+00,7.162017822265625000e+00,4.519882678985595703e+00,2.864790201187133789e+00
1.552587604522705078e+01,5.826079368591308594e+00,7.251587390899658203e+00,4.594871044158935547e+00,2.739087104797363281e+00
1.602671051025390625e+01,5.774582386016845703e+00,7.327430725097656250e+00,4.663324832916259766e+00,2.630156040191650391e+00
1.652754592895507812e+01,5.726089477539062500e+00,7.392029285430908203e+00,4.725549221038818359e+00,2.535540103912353516e+00
1.702838134765625000e+01,5.680763721466064453e+00,7.447326183319091797e+00,4.781900882720947266e+00,2.453198909759521484e+00
1.752921485900878906e+01,8.538318634033203125e+00,2.644244670867919922e+00,6.914561390876770020e-01,7.154201030731201172e+00
1.803005027770996094e+01,7.608528137207031250e+00,5.010891914367675781e+00,2.148578643798828125e+00,5.733876705169677734e+00
1.853088569641113281e+01,6.947659015655517578e+00,6.124838829040527344e+00,3.096130609512329102e+00,4.249015331268310547e+00
1.903171920776367188e+01,6.618928432464599609e+00,6.710094928741455078e+00,3.562011480331420898e+00,3.498166084289550781e+00
1.953255462646484375e+01,6.456692695617675781e+00,7.039962291717529297e+00,3.806841611862182617e+00,3.058001995086669922e+00
2.003338813781738281e+01,6.352368831634521484e+00,7.254728794097900391e+00,3.966289520263671875e+00,2.757262706756591797e+00
2.053422355651855469e+01,6.266690731048583984e+00,7.410467147827148438e+00,4.092273712158203125e+00,2.529860973358154297e+00
2.103505897521972656e+01,6.187551498413085938e+00,7.530925273895263672e+00,4.202527046203613281e+00,2.348019599914550781e+00
2.153589248657226562e+01,6.111755847930908203e+00,7.627668857574462891e+00,4.302748203277587891e+00,2.198146820068359375e+00
2.203672790527343750e+01,6.038847446441650391e+00,7.707189559936523438e+00,4.394748687744140625e+00,2.072450637817382812e+00
2.253756332397460938e+01,5.969090461730957031e+00,7.773579120635986328e+00,4.479169368743896484e+00,1.965862751007080078e+00
2.303839683532714844e+01,5.902862071990966797e+00,7.829622745513916016e+00,4.556378364562988281e+00,1.874791622161865234e+00
2.353923225402832031e+01,5.840486049652099609e+00,7.877321720123291016e+00,4.626713275909423828e+00,1.796544551849365234e+00
2.404006767272949219e+01,5.782156944274902344e+00,7.918180465698242188e+00,4.690540790557861328e+00,1.729031562805175781e+00
2.454090118408203125e+01,5.727962493896484375e+00,7.953353404998779297e+00,4.748262405395507812e+00,1.670583248138427734e+00
2.504173660278320312e+01,5.677917480468750000e+00,7.983756542205810547e+00,4.800317764282226562e+00,1.619845509529113770e+00
2.554257011413574219e+01,5.631933212280273438e+00,8.010119438171386719e+00,4.847123622894287109e+00,1.575702786445617676e+00
2.604340553283691406e+01,5.589886188507080078e+00,8.033041000366210938e+00,4.889126777648925781e+00,1.537226438522338867e+00
2.654424095153808594e+01,5.551592826843261719e+00,8.053007125854492188e+00,4.926733970642089844e+00,1.503636002540588379e+00
2.704507446289062500e+01,5.516845703125000000e+00,8.070439338684082031e+00,4.960344314575195312e+00,1.474272966384887695e+00
2.754590988159179688e+01,5.485427856445312500e+00,8.085676193237304688e+00,4.990345478057861328e+00,1.448575496673583984e+00
2.804674530029296875e+01,5.457095146179199219e+00,8.099013328552246094e+00,5.017080307006835938e+00,1.426064252853393555e+00
2.854757881164550781e+01,5.431608676910400391e+00,8.110702514648437500e+00,5.040873527526855469e+00,1.406327605247497559e+00
2.904841423034667969e+01,5.408744812011718750e+00,8.120951652526855469e+00,5.062037944793701172e+00,1.389011144638061523e+00
2.954924964904785156e+01,5.388265132904052734e+00,8.129946708679199219e+00,5.080836296081542969e+00,1.373806834220886230e+00
3.005008316040039062e+01,5.369956016540527344e+00,8.137847900390625000e+00,5.097516536712646484e+00,1.360450863838195801e+00
3.055091857910156250e+01,5.353621006011962891e+00,8.144791603088378906e+00,5.112321376800537109e+00,1.348712682723999023e+00
3.105175209045410156e+01,5.339052200317382812e+00,8.150897026062011719e+00,5.125432491302490234e+00,1.338391304016113281e+00
3.155258750915527344e+01,5.326090812683105469e+00,8.156268119812011719e+00,5.137058258056640625e+00,1.329312443733215332e+00
3.205342102050781250e+01,5.314556121826171875e+00,8.160989761352539062e+00,5.147341728210449219e+00,1.321324229240417480e+00
3.255425643920898438e+01,5.304318904876708984e+00,8.165148735046386719e+00,5.156454086303710938e+00,1.314293384552001953e+00
3.305509185791015625e+01,5.295227527618408203e+00,8.168810844421386719e+00,5.164511680603027344e+00,1.308102607727050781e+00
3.355592727661132812e+01,5.287162780761718750e+00,8.172032356262207031e+00,5.171635627746582031e+00,1.302651643753051758e+00
3.405676269531250000e+01,5.280013084411621094e+00,8.174874305725097656e+00,5.177935123443603516e+00,1.297850847244262695e+00
3.455759429931640625e+01,1.164189696311950684e+00,8.418747901916503906e+00,8.427740097045898438e+00,8.001406669616699219e+00
3.505842971801757812e+01,5.394027233123779297e-01,9.078014373779296875e+00,8.686390876770019531e+00,9.366261363029479980e-01
3.555926513671875000e+01,6.830670237541198730e-01,8.426315307617187500e+00,8.555955886840820312e+00,1.098677515983581543e+00
3.606010055541992188e+01,8.633088469505310059e-01,8.284610748291015625e+00,8.433265686035156250e+00,1.173952698707580566e+00
3.656093597412109375e+01,1.096531152725219727e+00,8.266199111938476562e+00,8.294692993164062500e+00,1.185385704040527344e+00
3.706177139282226562e+01,1.402583003044128418e+00,8.283406257629394531e+00,8.132719039916992188e+00,1.154152154922485352e+00
3.756260299682617188e+01,1.784536600112915039e+00,8.308185577392578125e+00,7.942821502685546875e+00,1.112127780914306641e+00
3.806343841552734375e+01,2.211364984512329102e+00,8.324894905090332031e+00,7.736600875854492188e+00,1.096783995628356934e+00
3.856427383422851562e+01,2.697120666503906250e+00,8.332140922546386719e+00,7.612132072448730469e+00,1.115957617759704590e+00
3.906510925292968750e+01,3.589702367782592773e+00,8.331341743469238281e+00,8.260975837707519531e+00,1.168555855751037598e+00
3.956594467163085938e+01,5.443940162658691406e+00,8.284066200256347656e+00,9.188523292541503906e+00,1.351741671562194824e+00
4.006677627563476562e+01,4.153791427612304688e+00,8.252705574035644531e+00,6.474589824676513672e+00,1.269591808319091797e+00
4.056761169433593750e+01,4.565728664398193359e+00,8.204608917236328125e+00,5.936052322387695312e+00,1.340031266212463379e+00
4.106844711303710938e+01,5.027487754821777344e+00,8.155356407165527344e+00,5.519932270050048828e+00,1.415096998214721680e+00
4.156928253173828125e+01,5.446103096008300781e+00,8.108042716979980469e+00,5.120826721191406250e+00,1.489306211471557617e+00
4.207011795043945312e+01,7.909561395645141602e-01,7.216259002685546875e+00,8.705163955688476562e+00,8.211493492126464844e+00
4.257095336914062500e+01,7.304617762565612793e-01,9.099266052246093750e+00,8.637484550476074219e+00,2.575953722000122070e+00
4.307178497314453125e+01,9.062631726264953613e-01,7.801671028137207031e+00,8.469429016113281250e+00,2.185632705688476562e+00
4.357262039184570312e+01,1.161605954170227051e+00,7.817182540893554688e+00,8.287601470947265625e+00,2.074266672134399414e+00
4.407345581054687500e+01,1.698666214942932129e+00,8.035432815551757812e+00,8.008852958679199219e+00,1.681697249412536621e+00
4.457429122924804688e+01,3.179927587509155273e+00,8.407835006713867188e+00,7.500847339630126953e+00,1.016677737236022949e+00
4.507512664794921875e+01,3.739469051361083984e+00,8.409404754638671875e+00,7.309667110443115234e+00,1.085012197494506836e+00
4.557595825195312500e+01,6.658298969268798828e+00,8.345229148864746094e+00,8.696543693542480469e+00,1.305072784423828125e+00
4.607679367065429688e+01,4.590559959411621094e+00,8.451542854309082031e+00,6.039273262023925781e+00,1.059374451637268066e+00
4.657762908935546875e+01,5.066109180450439453e+00,8.449184417724609375e+00,5.553194999694824219e+00,1.048251032829284668e+00
4.707846450805664062e+01,5.527850151062011719e+00,8.447969436645507812e+00,5.107940673828125000e+00,1.044249653816223145e+00
4.757929992675781250e+01,5.935191154479980469e+00,8.446784973144531250e+00,4.675591945648193359e+00,1.045049548149108887e+00
4.808013534545898438e+01,6.286821365356445312e+00,8.445069313049316406e+00,4.271354198455810547e+00,1.048399448394775391e+00
4.858096694946289062e+01,6.583850383758544922e+00,8.443171501159667969e+00,3.904586553573608398e+00,1.052238821983337402e+00
4.908180236816406250e+01,6.829396247863769531e+00,8.441853523254394531e+00,3.579796075820922852e+00,1.054794549942016602e+00
4.958263778686523438e+01,7.028958320617675781e+00,8.441925048828125000e+00,3.298264741897583008e+00,1.054641485214233398e+00
5.008347320556640625e+01,7.189320087432861328e+00,8.444053649902343750e+00,3.058808326721191406e+00,1.050737023353576660e+00
5.058430862426757812e+01,5.864045023918151855e-01,7.999763011932373047e+00,8.795556068420410156e+00,2.506230115890502930e+00
5.108514022827148438e+01,3.389592647552490234e+00,8.763519287109375000e+00,8.024567604064941406e+00,6.382002830505371094e-01
5.158597564697265625e+01,3.836431026458740234e+00,8.639959335327148438e+00,8.220304489135742188e+00,8.023360967636108398e-01
5.208681106567382812e+01,6.266413211822509766e+00,8.580928802490234375e+00,8.909547805786132812e+00,9.861010909080505371e-01
5.258764648437500000e+01,4.288176059722900391e+00,8.656847000122070312e+00,6.360466957092285156e+00,7.562002539634704590e-01
5.308848190307617188e+01,4.701782703399658203e+00,8.667675018310546875e+00,5.874988079071044922e+00,7.296870946884155273e-01
5.358931732177734375e+01,5.131600856781005859e+00,8.682189941406250000e+00,5.459036350250244141e+00,7.063807249069213867e-01
5.409014892578125000e+01,5.536430835723876953e+00,8.696453094482421875e+00,5.057307720184326172e+00,6.865310668945312500e-01
5.459098434448242188e+01,5.910321235656738281e+00,8.708695411682128906e+00,4.670464515686035156e+00,6.701190471649169922e-01
5.509181976318359375e+01,6.248545646667480469e+00,8.718496322631835938e+00,4.301612854003906250e+00,6.568585038185119629e-01
5.559265518188476562e+01,6.546778678894042969e+00,8.726058006286621094e+00,3.954447984695434570e+00,6.462489366531372070e-01
5.609349060058593750e+01,6.803180694580078125e+00,8.731865882873535156e+00,3.633418083190917969e+00,6.376406550407409668e-01
5.659432220458984375e+01,7.019034385681152344e+00,8.736496925354003906e+00,3.342666387557983398e+00,6.303184628486633301e-01
5.709515762329101562e+01,7.197966098785400391e+00,8.740514755249023438e+00,3.084838628768920898e+00,6.235707402229309082e-01
5.759599304199218750e+01,7.344722270965576172e+00,8.744431495666503906e+00,2.860538005828857422e+00,6.167641878128051758e-01
5.809682846069335938e+01,7.464282989501953125e+00,8.748665809631347656e+00,2.668547153472900391e+00,6.093694567680358887e-01
5.859766387939453125e+01,7.561220169067382812e+00,8.753541946411132812e+00,2.506448745727539062e+00,6.009783148765563965e-01
5.909849929809570312e+01,7.639406681060791016e+00,8.759306907653808594e+00,2.371329069137573242e+00,5.913017392158508301e-01
5.959933090209960938e+01,7.701968669891357422e+00,8.766106605529785156e+00,2.260264635086059570e+00,5.801679491996765137e-01
6.010016632080078125e+01,7.751403808593750000e+00,8.774017333984375000e+00,2.170524120330810547e+00,5.675144791603088379e-01
6.060100173950195312e+01,7.789706230163574219e+00,8.783059120178222656e+00,2.099600315093994141e+00,5.533765554428100586e-01
6.110183715820312500e+01,7.818519115447998047e+00,8.793176651000976562e+00,2.045199871063232422e+00,5.378685593605041504e-01
6.160267257690429688e+01,7.839228153228759766e+00,8.804291725158691406e+00,2.005212306976318359e+00,5.211628675460815430e-01
6.210350418090820312e+01,7.853016376495361328e+00,8.816291809082031250e+00,1.977699637413024902e+00,5.034684538841247559e-01
6.260433959960937500e+01,7.860910415649414062e+00,8.829041481018066406e+00,1.960891485214233398e+00,4.850135445594787598e-01
6.310517501831054688e+01,7.863795757293701172e+00,8.842405319213867188e+00,1.953174471855163574e+00,4.660315513610839844e-01
6.360601043701171875e+01,7.862483978271484375e+00,8.856243133544921875e+00,1.953083395957946777e+00,4.467465579509735107e-01
6.410684204101562500e+01,7.857682704925537109e+00,8.870422363281250000e+00,1.959275841712951660e+00,4.273715317249298096e-01
6.460768127441406250e+01,8.053782463073730469e+00,8.957009315490722656e+00,1.618973255157470703e+00,3.259329199790954590e-01
6.510851287841796875e+01,7.995979785919189453e+00,8.960612297058105469e+00,1.717743754386901855e+00,3.222647905349731445e-01
6.560935211181640625e+01,7.977553844451904297e+00,8.972239494323730469e+00,1.752741932868957520e+00,3.099144697189331055e-01
6.611018371582031250e+01,7.963830471038818359e+00,8.984426498413085938e+00,1.777151823043823242e+00,2.963370978832244873e-01
6.661101531982421875e+01,7.952031612396240234e+00,8.996734619140625000e+00,1.797233223915100098e+00,2.825878858566284180e-01
6.711185455322265625e+01,7.941331863403320312e+00,9.008957862854003906e+00,1.814899802207946777e+00,2.690957784652709961e-01
6.761268615722656250e+01,7.931405544281005859e+00,9.020952224731445312e+00,1.830920815467834473e+00,2.560957670211791992e-01
6.811352539062500000e+01,7.922137260437011719e+00,9.032596588134765625e+00,1.845616698265075684e+00,2.437320649623870850e-01
6.861435699462890625e+01,7.913435935974121094e+00,9.043812751770019531e+00,1.859187245368957520e+00,2.320964932441711426e-01
6.911518859863281250e+01,7.905294895172119141e+00,9.054524421691894531e+00,1.871716380119323730e+00,2.212402820587158203e-01
6.961602783203125000e+01,7.897696018218994141e+00,9.064684867858886719e+00,1.883270502090454102e+00,2.111855000257492065e-01
7.011685943603515625e+01,7.890591621398925781e+00,9.074268341064453125e+00,1.893928408622741699e+00,2.019318342208862305e-01
7.061769866943359375e+01,8.207180976867675781e+00,9.166794776916503906e+00,1.378253579139709473e+00,1.362499445676803589e-01
7.111853027343750000e+01,8.163258552551269531e+00,9.168268203735351562e+00,1.442669034004211426e+00,1.353752762079238892e-01
7.161936187744140625e+01,8.150620460510253906e+00,9.173841476440429688e+00,1.468247175216674805e+00,1.321751475334167480e-01
