time,loss_onestep,loss_rollout
5.008347034454345703e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.001669406890869141e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.502504229545593262e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.003338813781738281e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.504173517227172852e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.005008459091186523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.505843162536621094e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.006677627563476562e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.507512569427490234e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.008347034454345703e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.509181976318359375e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.010016918182373047e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.510851383209228516e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.011686325073242188e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.512520790100097656e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.013355255126953125e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.514190673828125000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.015025138854980469e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.515859603881835938e+00,4.535056650638580322e-04,4.531753947958350182e-04
1.001669406890869141e+01,5.550149944610893726e-04,1.956150634214282036e-03
1.051752948760986328e+01,2.011399483308196068e-04,3.375673433765769005e-03
1.101836395263671875e+01,8.733222057344391942e-05,4.499875940382480621e-03
1.151919841766357422e+01,4.329830699134618044e-05,5.364364944398403168e-03
1.202003383636474609e+01,2.467185186105780303e-05,6.028756499290466309e-03
1.252086830139160156e+01,1.617771522433031350e-05,6.544922478497028351e-03
1.302170276641845703e+01,1.080204583558952436e-05,6.952493451535701752e-03
1.352253723144531250e+01,8.109618647722527385e-06,7.280228659510612488e-03
1.402337265014648438e+01,6.481074706243816763e-06,7.548487279564142227e-03
1.452420711517333984e+01,5.581850473390659317e-06,7.771592587232589722e-03
1.502504158020019531e+01,5.083769337943522260e-06,7.959652692079544067e-03
1.552587604522705078e+01,4.803481260751141235e-06,8.119897916913032532e-03
1.602671051025390625e+01,4.641843588615301996e-06,8.257597684860229492e-03
1.652754592895507812e+01,4.544399416772648692e-06,8.376695215702056885e-03
1.702838134765625000e+01,4.479324161366093904e-06,8.480197750031948090e-03
1.752921485900878906e+01,5.505476292455568910e-05,6.396849639713764191e-03
1.803005027770996094e+01,1.052633742801845074e-03,1.280151680111885071e-02
1.853088569641113281e+01,3.633483720477670431e-04,1.763026975095272064e-02
1.903171920776367188e+01,1.355132990283891559e-04,2.095187269151210785e-02
1.953255462646484375e+01,4.898187034996226430e-05,2.306435257196426392e-02
2.003338813781738281e+01,2.048667010967619717e-05,2.432803437113761902e-02
2.053422355651855469e+01,1.344206611975096166e-05,2.505701035261154175e-02
2.103505897521972656e+01,1.047072601068066433e-05,2.548059448599815369e-02
2.153589248657226562e+01,9.299999874201603234e-06,2.574877068400382996e-02
2.203672790527343750e+01,8.591181540396064520e-06,2.595183253288269043e-02
2.253756332397460938e+01,7.993220606294926256e-06,2.613971382379531860e-02
2.303839683532714844e+01,7.442735750373685732e-06,2.633700519800186157e-02
2.353923225402832031e+01,6.933631084393709898e-06,2.655308879911899567e-02
2.404006767272949219e+01,6.458325515268370509e-06,2.678877301514148712e-02
2.454090118408203125e+01,6.001677320455200970e-06,2.704048901796340942e-02
2.504173660278320312e+01,5.546033662540139630e-06,2.730276249349117279e-02
2.554257011413574219e+01,5.075893568573519588e-06,2.756972983479499817e-02
2.604340553283691406e+01,4.581704160955268890e-06,2.783593162894248962e-02
2.654424095153808594e+01,4.062196694576414302e-06,2.809668704867362976e-02
2.704507446289062500e+01,3.525605507093132474e-06,2.834831178188323975e-02
2.754590988159179688e+01,2.988692585859098472e-06,2.858804538846015930e-02
2.804674530029296875e+01,2.475624341968796216e-06,2.881400473415851593e-02
2.854757881164550781e+01,2.027247546720900573e-06,2.902506850659847260e-02
2.904841423034667969e+01,1.710235210339305922e-06,2.922074683010578156e-02
2.954924964904785156e+01,1.595447429281193763e-06,2.940098568797111511e-02
3.005008316040039062e+01,1.719668944133445621e-06,2.956611104309558868e-02
3.055091857910156250e+01,2.067296463792445138e-06,2.971670776605606079e-02
3.105175209045410156e+01,2.579621195764048025e-06,2.985356003046035767e-02
3.155258750915527344e+01,3.175660367560340092e-06,2.997753769159317017e-02
3.205342102050781250e+01,3.770953981074853800e-06,3.008950129151344299e-02
3.255425643920898438e+01,4.291585810278775170e-06,3.019043616950511932e-02
3.305509185791015625e+01,4.681198788603069261e-06,3.028125874698162079e-02
3.355592727661132812e+01,4.905342848360305652e-06,3.036285191774368286e-02
3.405676269531250000e+01,4.952199560648296028e-06,3.043605014681816101e-02
