time,loss_onestep,loss_rollout
5.008347034454345703e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.001669406890869141e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.502504229545593262e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.003338813781738281e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.504173517227172852e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.005008459091186523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.505843162536621094e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.006677627563476562e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.507512569427490234e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.008347034454345703e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.509181976318359375e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.010016918182373047e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.510851383209228516e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.011686325073242188e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.512520790100097656e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.013355255126953125e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.514190673828125000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.015025138854980469e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.515859603881835938e+00,1.101683592423796654e-03,1.101589179597795010e-03
1.001669406890869141e+01,1.000548712909221649e-03,4.243880044668912888e-03
1.051752948760986328e+01,1.958329230546951294e-04,6.302826106548309326e-03
1.101836395263671875e+01,5.532776776817627251e-05,7.542297244071960449e-03
1.151919841766357422e+01,2.083276012854184955e-05,8.340947329998016357e-03
1.202003383636474609e+01,8.452312613371759653e-06,8.862009271979331970e-03
1.252086830139160156e+01,3.167428758388268761e-06,9.174937382340431213e-03
1.302170276641845703e+01,1.160855163107044064e-06,9.322452358901500702e-03
1.352253723144531250e+01,8.409039651269267779e-07,9.341105818748474121e-03
1.402337265014648438e+01,1.255479219253174961e-06,9.264444001019001007e-03
1.452420711517333984e+01,1.901770474432851188e-06,9.121918119490146637e-03
1.502504158020019531e+01,2.425002776362816803e-06,8.937814272940158844e-03
1.552587604522705078e+01,2.677976908671553247e-06,8.731035515666007996e-03
1.602671051025390625e+01,2.677043539733858779e-06,8.515545167028903961e-03
1.652754592895507812e+01,2.651796648933668621e-06,8.301171474158763885e-03
1.702838134765625000e+01,2.815182142512639984e-06,8.094450458884239197e-03
1.752921485900878906e+01,1.270047796424478292e-04,7.623042445629835129e-03
1.803005027770996094e+01,5.675770808011293411e-03,2.710088901221752167e-02
1.853088569641113281e+01,2.248978271381929517e-04,3.241610899567604065e-02
1.903171920776367188e+01,5.491037882165983319e-06,3.320637345314025879e-02
1.953255462646484375e+01,2.704444113987847231e-06,3.298152238130569458e-02
2.003338813781738281e+01,3.885901605826802552e-06,3.254400566220283508e-02
2.053422355651855469e+01,3.822688995569478720e-06,3.208738565444946289e-02
2.103505897521972656e+01,3.302922323200618848e-06,3.166547045111656189e-02
2.153589248657226562e+01,2.719403028095257469e-06,3.129091486334800720e-02
2.203672790527343750e+01,2.214543201262131333e-06,3.096008673310279846e-02
2.253756332397460938e+01,1.814083361750817858e-06,3.066246025264263153e-02
2.303839683532714844e+01,1.506885269009217154e-06,3.038551844656467438e-02
2.353923225402832031e+01,1.275020508728630375e-06,3.011747077107429504e-02
2.404006767272949219e+01,1.105494789044314530e-06,2.984871342778205872e-02
2.454090118408203125e+01,9.945671308742021210e-07,2.957238070666790009e-02
2.504173660278320312e+01,9.606191042621503584e-07,2.928429841995239258e-02
2.554257011413574219e+01,1.031662804962252267e-06,2.898271754384040833e-02
2.604340553283691406e+01,1.204215095640392974e-06,2.866779081523418427e-02
2.654424095153808594e+01,1.441919039280037396e-06,2.834117785096168518e-02
2.704507446289062500e+01,1.701106725704448763e-06,2.800546959042549133e-02
2.754590988159179688e+01,1.951332251337589696e-06,2.766385115683078766e-02
2.804674530029296875e+01,2.172960421376046725e-06,2.731974236667156219e-02
2.854757881164550781e+01,2.342926336496020667e-06,2.697652950882911682e-02
2.904841423034667969e+01,2.561615929153049365e-06,2.663740329444408417e-02
2.954924964904785156e+01,2.952358954644296318e-06,2.630521915853023529e-02
3.005008316040039062e+01,2.943572326330468059e-06,2.598242834210395813e-02
3.055091857910156250e+01,2.858967945940094069e-06,2.567105367779731750e-02
3.105175209045410156e+01,2.841585910573485307e-06,2.537269704043865204e-02
3.155258750915527344e+01,2.834690349118318409e-06,2.508853375911712646e-02
3.205342102050781250e+01,2.734150257310830057e-06,2.481938712298870087e-02
3.255425643920898438e+01,2.499202992112259381e-06,2.456573769450187683e-02
3.305509185791015625e+01,2.184197228416451253e-06,2.432776056230068207e-02
3.355592727661132812e+01,2.063975898636272177e-06,2.410541288554668427e-02
3.405676269531250000e+01,2.154396952391834930e-06,2.389845810830593109e-02
