run,nrmse,CH4,O2,CO,CO2,H2O
A4_neural_ode_mlp_n3,0.219196,0.036432,0.130400,0.269706,0.261215,0.398229
A3_neural_ode_gru_n3,0.241107,0.063045,0.154649,0.309199,0.398911,0.279731
A4_neural_ode_mlp_n10,0.263687,0.034856,0.131445,0.225404,0.706228,0.220500
A9_neural_ode_correction_n3,0.333511,0.072391,0.165695,0.145206,0.696052,0.588211
A9_neural_ode_correction_n1000,0.386069,0.018526,0.047749,0.907963,0.808151,0.147956
A3_neural_ode_gru_n10,0.483795,0.073062,0.168179,0.546515,1.280621,0.350599
A3_neural_ode_gru_first_last_n3,0.624035,0.061014,1.273164,0.855190,0.696050,0.234756
A3_neural_ode_gru_first_last_n10,0.697918,0.059036,1.291101,0.855190,0.696052,0.588211
A6_baseline_first_last_n1000,1.226178,1.638083,1.701021,0.740743,0.664342,1.386701
A7_l1reg_first_last_n1000,1.264575,1.640045,1.704123,0.899313,0.668852,1.410542
A1_fixed_theta_n3,1.836106,1.806110,1.746267,1.673219,0.469552,3.485380
A1_fixed_theta_n10,1.836911,1.805954,1.746140,1.674819,0.469543,3.488097
A6_baseline_first_last_n3,1.876571,1.754734,1.702243,1.483694,0.709309,3.732877
A7_l1reg_first_last_n3,1.939098,1.745630,1.703984,1.925725,0.439966,3.880186
A5_unbounded_first_last_n3,2.350698,1.758089,1.662403,0.284823,4.300005,3.748170
A7_l1reg_n1000,3.856540,0.981243,1.012954,1.562172,11.324303,4.402028
A7_l1reg_n3,5.872132,1.188502,1.124201,1.951590,12.480597,12.615770
A2_sample_theta_n10,5.933407,1.243570,1.204358,3.771275,10.021489,13.426345
A6_baseline_n3,6.082275,1.156670,1.090182,1.965331,13.095158,13.104035
A5_unbounded_n3,6.125784,1.155713,1.088847,1.894139,13.385566,13.104657
A2_sample_theta_n3,6.864215,1.181008,1.099090,1.783066,15.873469,14.384445
A9_neural_ode_correction_first_last_n1000,8.462589,0.016919,0.562877,40.818865,0.808151,0.106133
A4_neural_ode_mlp_first_last_n10,153.903136,0.121062,16.852779,238.354472,513.599839,0.587528
A9_neural_ode_correction_first_last_n3,2792.641525,0.068385,13960.999789,0.855190,0.696052,0.588211
A4_neural_ode_mlp_first_last_n3,56463.169697,0.050306,14239.498559,152436.706161,115639.005251,0.588211
