time,loss_onestep,loss_rollout
2.512562833726406097e-02,1.597095653414726257e-02,1.596242748200893402e-02
5.025125667452812195e-02,6.356732454150915146e-03,4.238527268171310425e-02
7.537688314914703369e-02,2.645400585606694221e-03,6.505095213651657104e-02
1.005025133490562439e-01,1.121986075304448605e-03,8.048197627067565918e-02
1.256281435489654541e-01,5.002455436624586582e-04,8.945219218730926514e-02
1.507537662982940674e-01,2.384694817010313272e-04,9.386508166790008545e-02
1.758794039487838745e-01,1.206824890687130392e-04,9.539553523063659668e-02
2.010050266981124878e-01,6.535681313835084438e-05,9.493707120418548584e-02
2.261306494474411011e-01,3.714341437444090843e-05,9.324366599321365356e-02
2.512562870979309082e-01,2.150135514966677874e-05,9.083070605993270874e-02
2.763819098472595215e-01,1.252266793017042801e-05,8.802766352891921997e-02
3.015075325965881348e-01,7.164194357756059617e-06,8.503439277410507202e-02
3.266331553459167480e-01,5.471921213029418141e-06,8.198580890893936157e-02
3.517588078975677490e-01,3.032889026144403033e-06,7.895354926586151123e-02
3.768844306468963623e-01,1.909874299599323422e-06,7.599977403879165649e-02
4.020100533962249756e-01,4.153786903771106154e-06,7.315795868635177612e-02
4.271356761455535889e-01,3.746228685486130416e-06,7.045175880193710327e-02
4.522612988948822021e-01,2.570092419773573056e-06,6.789877265691757202e-02
4.773869216442108154e-01,1.734306238176941406e-06,6.550923734903335571e-02
5.025125741958618164e-01,1.158426471192797180e-06,6.328932940959930420e-02
5.276381969451904297e-01,7.735603162473125849e-07,6.121790409088134766e-02
5.527638196945190430e-01,4.988056048205180559e-07,5.923057720065116882e-02
5.778894424438476562e-01,3.290714971626584884e-07,5.734098330140113831e-02
6.030150651931762695e-01,2.053933343404423795e-07,5.555076152086257935e-02
6.281406879425048828e-01,1.325862371004404849e-07,5.385913327336311340e-02
6.532663106918334961e-01,7.629426335142852622e-08,5.226489156484603882e-02
6.783919334411621094e-01,4.669644582122600696e-08,5.076583102345466614e-02
7.035176157951354980e-01,2.717166935894965718e-08,4.935951903462409973e-02
7.286432385444641113e-01,1.470069754816449858e-08,4.804331436753273010e-02
7.537688612937927246e-01,8.334971823842352023e-09,4.681412130594253540e-02
7.788944840431213379e-01,5.097916755403275602e-09,4.566872864961624146e-02
8.040201067924499512e-01,3.666219106079893209e-09,4.460380971431732178e-02
8.291457295417785645e-01,3.278767035652663253e-09,4.361603036522865295e-02
8.542713522911071777e-01,3.468226594804946217e-09,4.270192235708236694e-02
8.793969750404357910e-01,3.913330548499516226e-09,4.185808449983596802e-02
9.045225977897644043e-01,4.428298172598488236e-09,4.108108207583427429e-02
9.296482205390930176e-01,4.915187368226270337e-09,4.036756232380867004e-02
9.547738432884216309e-01,5.325318408466728215e-09,3.971417993307113647e-02
9.798995256423950195e-01,5.649272605268151892e-09,3.911769017577171326e-02
1.005025148391723633e+00,5.843215244993871238e-09,3.857494145631790161e-02
1.030150771141052246e+00,5.982400352877448313e-09,3.808277100324630737e-02
1.055276393890380859e+00,6.006435349092953402e-09,3.763824701309204102e-02
1.080402016639709473e+00,6.012645492603496677e-09,3.723849356174468994e-02
1.105527639389038086e+00,5.915886447382945335e-09,3.688057512044906616e-02
1.130653262138366699e+00,5.831413574242105824e-09,3.656196594238281250e-02
1.155778884887695312e+00,5.739396957693543300e-09,3.628009185194969177e-02
1.180904507637023926e+00,5.523467017098937504e-09,3.603228181600570679e-02
1.206030130386352539e+00,5.380077272576500036e-09,3.581634163856506348e-02
1.231155753135681152e+00,5.252446477754801890e-09,3.563005849719047546e-02
1.256281375885009766e+00,5.068362174398544084e-09,3.547113761305809021e-02
1.281406998634338379e+00,4.938260467213240190e-09,3.533761948347091675e-02
1.306532621383666992e+00,4.748179627256376989e-09,3.522742539644241333e-02
1.331658244132995605e+00,4.641722117781910129e-09,3.513886779546737671e-02
1.356783866882324219e+00,4.448345247709539763e-09,3.506399691104888916e-02
1.381909489631652832e+00,4.364498540354588840e-09,3.499661013484001160e-02
1.407035231590270996e+00,4.177590273712894486e-09,3.493592888116836548e-02
1.432160854339599609e+00,4.116892604599797778e-09,3.488177061080932617e-02
1.457286477088928223e+00,4.404543869895860553e-05,3.438065573573112488e-02
1.482412099838256836e+00,4.859379987465217710e-05,3.399644792079925537e-02
1.507537722587585449e+00,1.166270521935075521e-05,3.388682380318641663e-02
1.532663345336914062e+00,3.909464339812984690e-06,3.387255594134330750e-02
1.557788968086242676e+00,1.143620693255797960e-06,3.389116004109382629e-02
1.582914590835571289e+00,4.545774743291985942e-07,3.392249345779418945e-02
1.608040213584899902e+00,2.583884111118095461e-07,3.395790979266166687e-02
1.633165836334228516e+00,1.825754196715934086e-07,3.399034217000007629e-02
1.658291459083557129e+00,1.384550358807246084e-07,3.401893377304077148e-02
1.683417081832885742e+00,1.083410481328428432e-07,3.404412791132926941e-02
1.708542704582214355e+00,8.609396928704882157e-08,3.406668826937675476e-02
1.733668327331542969e+00,6.808007668723803363e-08,3.408683463931083679e-02
1.758793950080871582e+00,5.509415146320861822e-08,3.410546481609344482e-02
1.783919572830200195e+00,4.502022576957642741e-08,3.412296995520591736e-02
1.809045195579528809e+00,3.621977029411027615e-08,3.413918241858482361e-02
1.834170818328857422e+00,3.000317860823997762e-08,3.415476903319358826e-02
1.859296441078186035e+00,2.507714746968758845e-08,3.416990861296653748e-02
1.884422063827514648e+00,2.107518071170488838e-08,3.418470174074172974e-02
1.909547686576843262e+00,1.766307988759763248e-08,3.419908881187438965e-02
1.934673309326171875e+00,1.492748324949388916e-08,3.421319648623466492e-02
1.959799051284790039e+00,1.261057658297204398e-08,3.422699123620986938e-02
1.984924674034118652e+00,1.084128253836524891e-08,3.424065187573432922e-02
2.010050296783447266e+00,9.361565744825384172e-09,3.425419703125953674e-02
2.035175800323486328e+00,8.120112582332694728e-09,3.426761552691459656e-02
2.060301542282104492e+00,7.069352214728041872e-09,3.428092226386070251e-02
2.085427045822143555e+00,6.128426655038765603e-09,3.429404646158218384e-02
2.110552787780761719e+00,5.442061468130532376e-09,3.430713340640068054e-02
2.135678291320800781e+00,4.678994969253835734e-09,3.431948646903038025e-02
2.160804033279418945e+00,4.308120971074913541e-09,3.433122858405113220e-02
2.185929536819458008e+00,3.701332795813527810e-09,3.434187918901443481e-02
2.211055278778076172e+00,3.324279074234937070e-09,3.435180708765983582e-02
2.236181020736694336e+00,3.080522503751126351e-09,3.436123579740524292e-02
2.261306524276733398e+00,2.633726570167027603e-09,3.436969220638275146e-02
2.286432266235351562e+00,2.448231173346471223e-09,3.437771648168563843e-02
2.311557769775390625e+00,2.256761888475011801e-09,3.438527137041091919e-02
2.336683511734008789e+00,1.918834646730260829e-09,3.439192846417427063e-02
2.361809015274047852e+00,1.886965916853000635e-09,3.439850732684135437e-02
2.386934757232666016e+00,1.704837826466132356e-09,3.440453857183456421e-02
2.412060260772705078e+00,1.556292317239638123e-09,3.441010415554046631e-02
2.437186002731323242e+00,1.515715553068730514e-09,3.441555052995681763e-02
2.462311506271362305e+00,1.314631736804017237e-09,3.442028909921646118e-02
2.487437248229980469e+00,1.315840880700136495e-09,3.442502394318580627e-02
2.512562751770019531e+00,1.172738461896472018e-09,3.442920371890068054e-02
2.537688493728637695e+00,1.136056804185159308e-09,3.443323075771331787e-02
2.562813997268676758e+00,1.079548672677788090e-09,3.443701565265655518e-02
2.587939739227294922e+00,1.002474214750748160e-09,3.444045409560203552e-02
2.613065242767333984e+00,9.993060823276778137e-10,3.444387018680572510e-02
2.638190984725952148e+00,9.070971196400989811e-10,3.444683551788330078e-02
2.663316488265991211e+00,9.070544870759533751e-10,3.444979339838027954e-02
2.688442230224609375e+00,1.913149026222527027e-03,3.802619501948356628e-02
2.713567733764648438e+00,7.467349641956388950e-04,4.688454046845436096e-02
2.738693475723266602e+00,3.172183351125568151e-04,5.358415096998214722e-02
2.763818979263305664e+00,1.425456575816497207e-04,5.845838785171508789e-02
2.788944721221923828e+00,6.599423795705661178e-05,6.193453446030616760e-02
2.814070463180541992e+00,3.098871820839121938e-05,6.437790393829345703e-02
2.839195966720581055e+00,1.488013458583736792e-05,6.608991324901580811e-02
2.864321708679199219e+00,8.778673873166553676e-06,6.727472692728042603e-02
2.889447212219238281e+00,4.501810053625376895e-06,6.809790432453155518e-02
2.914572954177856445e+00,2.258555241496651433e-06,6.866507977247238159e-02
2.939698457717895508e+00,1.176558726001530886e-06,6.905636936426162720e-02
2.964824199676513672e+00,6.124268452367687132e-07,6.932346522808074951e-02
2.989949703216552734e+00,3.253826434956863523e-07,6.950517743825912476e-02
3.015075445175170898e+00,1.758046153099712683e-07,6.962676346302032471e-02
3.040200948715209961e+00,9.971659409302446875e-08,6.970719993114471436e-02
3.065326690673828125e+00,6.055480383793110377e-08,6.975951790809631348e-02
3.090452194213867188e+00,3.993773844968018238e-08,6.979226320981979370e-02
3.115577936172485352e+00,2.924641329116184352e-08,6.981192529201507568e-02
3.140703439712524414e+00,2.317105085580806190e-08,6.982229650020599365e-02
3.165829181671142578e+00,7.545514080220527831e-08,6.981249153614044189e-02
3.190954685211181641e+00,1.765475280990358442e-05,6.939720362424850464e-02
3.216080427169799805e+00,4.271646048437105492e-06,6.924883276224136353e-02
3.241205930709838867e+00,8.691163202456664294e-07,6.923379749059677124e-02
3.266331672668457031e+00,2.556328126956941560e-07,6.926207989454269409e-02
3.291457176208496094e+00,1.101075213227886707e-07,6.930069625377655029e-02
3.316582918167114258e+00,5.853864948335285590e-08,6.933815032243728638e-02
3.341708660125732422e+00,3.574363205416375422e-08,6.937108188867568970e-02
3.366834163665771484e+00,2.317018932274095278e-08,6.939890980720520020e-02
3.391959905624389648e+00,1.592853848819686391e-08,6.942211091518402100e-02
3.417085409164428711e+00,1.174669961301333387e-08,6.944166868925094604e-02
3.442211151123046875e+00,8.788406447024499357e-09,6.945782154798507690e-02
3.467336654663085938e+00,7.047311179064763564e-09,6.947146356105804443e-02
3.492462396621704102e+00,5.861996665856850086e-09,6.948299705982208252e-02
3.517587900161743164e+00,5.063776509217632338e-09,6.949286162853240967e-02
3.542713642120361328e+00,4.484382198910452644e-09,6.950132548809051514e-02
3.567839145660400391e+00,3.996754927015899739e-09,6.950842589139938354e-02
3.592964887619018555e+00,3.712238072495210872e-09,6.951462477445602417e-02
3.618090391159057617e+00,3.461362751977503649e-09,6.951995939016342163e-02
3.643216133117675781e+00,3.260936409787973389e-09,6.952452659606933594e-02
3.668341636657714844e+00,3.088513667037773303e-09,6.952842324972152710e-02
3.693467378616333008e+00,2.952667443878453923e-09,6.953176856040954590e-02
3.718592882156372070e+00,2.817903466123539147e-09,6.953455507755279541e-02
3.743718624114990234e+00,2.744593219361490810e-09,6.953702121973037720e-02
3.768844127655029297e+00,2.656836084469205161e-09,6.953914463520050049e-02
3.793969869613647461e+00,2.545544441900915444e-09,6.954083591699600220e-02
3.819095373153686523e+00,2.485058159251707366e-09,6.954229623079299927e-02
3.844221115112304688e+00,2.422155365167100172e-09,6.954352557659149170e-02
3.869346618652343750e+00,2.327671833057820550e-09,6.954444199800491333e-02
3.894472360610961914e+00,2.266617116220004391e-09,6.954518705606460571e-02
3.919598102569580078e+00,2.204960880547446322e-09,6.954575330018997192e-02
3.944723606109619141e+00,2.172711788261949550e-09,6.954623758792877197e-02
3.969849348068237305e+00,2.075099425624671312e-09,6.954648345708847046e-02
3.994974851608276367e+00,2.074162397391887680e-09,6.954672932624816895e-02
4.020100593566894531e+00,1.985481778987718826e-09,6.954677402973175049e-02
4.045226097106933594e+00,1.178344828076660633e-03,6.714110076427459717e-02
4.070351600646972656e+00,4.775976121891289949e-04,7.764253765344619751e-02
4.095477581024169922e+00,1.883658551378175616e-04,8.489407598972320557e-02
4.120603084564208984e+00,8.001224341569468379e-05,8.987517654895782471e-02
4.145728588104248047e+00,3.520980317262001336e-05,9.327734261751174927e-02
4.170854091644287109e+00,1.581576725584454834e-05,9.455721825361251831e-02
4.195980072021484375e+00,8.744075785216409713e-06,9.573592245578765869e-02
4.221105575561523438e+00,4.320569587434874848e-06,9.643416106700897217e-02
4.246231079101562500e+00,2.097581045745755546e-06,9.680299460887908936e-02
4.271356582641601562e+00,1.009454194900172297e-06,9.694441407918930054e-02
4.296482563018798828e+00,5.078007916381466202e-07,9.693964570760726929e-02
4.321608066558837891e+00,2.536475562919804361e-07,9.683302044868469238e-02
4.346733570098876953e+00,1.339970339131468791e-07,9.666102379560470581e-02
4.371859073638916016e+00,7.504569055072352057e-08,9.644623100757598877e-02
4.396985054016113281e+00,4.691043997695487633e-08,9.620516002178192139e-02
4.422110557556152344e+00,3.149555283243898884e-08,9.594620019197463989e-02
4.447236061096191406e+00,2.434761903202797839e-08,9.567811340093612671e-02
4.472362041473388672e+00,2.054273728901989671e-08,9.540570527315139771e-02
4.497487545013427734e+00,1.804476390532272490e-08,9.513134509325027466e-02
4.522613048553466797e+00,1.670334093262226816e-08,9.485822170972824097e-02
4.547738552093505859e+00,1.559862639055609179e-08,9.458745270967483521e-02
4.572864532470703125e+00,1.466291443819045526e-08,9.431999176740646362e-02
4.597990036010742188e+00,1.392530091237631495e-08,9.405680000782012939e-02
4.623115539550781250e+00,1.320260345494261855e-08,9.379822760820388794e-02
4.648241043090820312e+00,1.251730274987039593e-08,9.354462474584579468e-02
4.673367023468017578e+00,1.186867137903391267e-08,9.329616278409957886e-02
4.698492527008056641e+00,1.124841109145791052e-08,9.305305778980255127e-02
4.723618030548095703e+00,1.057214582544929726e-08,9.281539171934127808e-02
4.748743534088134766e+00,1.004999283793495124e-08,9.258325397968292236e-02
4.773869514465332031e+00,9.557171942731201852e-09,9.235663712024688721e-02
4.798995018005371094e+00,9.083696461686940893e-09,9.213560074567794800e-02
4.824120521545410156e+00,8.637806026001726423e-09,9.192017465829849243e-02
4.849246025085449219e+00,8.102253978847784310e-09,9.171036630868911743e-02
4.874372005462646484e+00,7.709981098003027000e-09,9.150615334510803223e-02
4.899497509002685547e+00,7.284736813772951791e-09,9.130754321813583374e-02
4.924623012542724609e+00,7.033403637279889153e-09,9.111447632312774658e-02
4.949748516082763672e+00,6.572190791587217973e-09,9.092704206705093384e-02
4.974874496459960938e+00,6.425661780440350412e-09,9.074510633945465088e-02
5.000000000000000000e+00,6.019272635882089162e-09,9.056875854730606079e-02
