time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
2.512562833726406097e-02,1.290541291236877441e+00,9.606770873069763184e-01,3.637166693806648254e-02,9.891427122056484222e-03,9.658719062805175781e+00,9.683860465884208679e-03,7.901853561401367188e+00,9.786367416381835938e-01
5.025125667452812195e-02,2.561608314514160156e+00,1.077253222465515137e+00,4.995694383978843689e-02,8.473319932818412781e-03,8.717221021652221680e-01,6.420678459107875824e-03,7.701550006866455078e+00,9.899185895919799805e-01
7.537688314914703369e-02,3.647828102111816406e+00,1.702191382646560669e-01,4.401996359229087830e-02,6.600167602300643921e-03,2.981066145002841949e-02,3.860526019707322121e-03,6.182960033416748047e+00,9.908611774444580078e-01
1.005025133490562439e-01,3.981718540191650391e+00,1.570215374231338501e-01,3.028397820889949799e-02,6.030588410794734955e-03,1.755232177674770355e-02,3.354698652401566505e-03,4.748816013336181641e+00,9.911522865295410156e-01
1.256281435489654541e-01,4.112313747406005859e+00,1.619169861078262329e-01,2.132695727050304413e-02,6.109372247010469437e-03,1.424343790858983994e-02,3.510479582473635674e-03,3.496772050857543945e+00,9.911938905715942383e-01
1.507537662982940674e-01,4.154920101165771484e+00,1.744922697544097900e-01,1.648545265197753906e-02,6.485524587333202362e-03,1.275649480521678925e-02,3.987648058682680130e-03,2.479965686798095703e+00,9.908725619316101074e-01
1.758794039487838745e-01,4.167297363281250000e+00,1.955616772174835205e-01,1.378997601568698883e-02,7.011250592768192291e-03,1.186319533735513687e-02,4.691375419497489929e-03,1.701976776123046875e+00,9.898289442062377930e-01
2.010050266981124878e-01,4.225142955780029297e+00,2.252455055713653564e-01,1.228841114789247513e-02,7.583395112305879593e-03,1.126698683947324753e-02,5.542309954762458801e-03,1.156627535820007324e+00,9.881377816200256348e-01
2.261306494474411011e-01,4.270546913146972656e+00,2.517406046390533447e-01,1.138971373438835144e-02,8.183308877050876617e-03,1.081161014735698700e-02,6.552765145897865295e-03,7.857288122177124023e-01,9.854388236999511719e-01
2.512562870979309082e-01,4.247893333435058594e+00,2.721310257911682129e-01,1.081138290464878082e-02,8.815855719149112701e-03,1.043386850506067276e-02,7.791467010974884033e-03,5.317263007164001465e-01,9.808109402656555176e-01
2.763819098472595215e-01,4.108343124389648438e+00,2.806691825389862061e-01,1.042892411351203918e-02,9.485134854912757874e-03,1.010856125503778458e-02,9.375676512718200684e-03,3.584220111370086670e-01,9.734751582145690918e-01
3.015075325965881348e-01,3.873498439788818359e+00,2.876065373420715332e-01,1.015967223793268204e-02,1.023219618946313858e-02,9.809085167944431305e-03,1.164310798048973083e-02,2.386507987976074219e-01,9.641298055648803711e-01
3.266331553459167480e-01,1.012140959501266479e-01,4.097441732883453369e-01,1.005326211452484131e-02,1.058253739029169083e-02,9.696891531348228455e-03,1.280083693563938141e-02,2.423852086067199707e-01,9.478218555450439453e-01
3.517588078975677490e-01,2.599810995161533356e-02,4.318652153015136719e-01,1.008115243166685104e-02,1.047292165458202362e-02,9.755959734320640564e-03,1.209267135709524155e-02,1.599183231592178345e-01,9.052161574363708496e-01
3.768844306468963623e-01,1.740996725857257843e-02,4.381656646728515625e-01,1.012860797345638275e-02,1.038344576954841614e-02,9.805311448872089386e-03,1.157994382083415985e-02,1.238515004515647888e-01,7.988984584808349609e-01
4.020100533962249756e-01,1.417856197804212570e-02,4.414340555667877197e-01,1.013523247092962265e-02,1.030577719211578369e-02,9.848514571785926819e-03,1.117756962776184082e-02,2.096427083015441895e-01,1.644915491342544556e-01
4.271356761455535889e-01,1.246667467057704926e-02,4.435187280178070068e-01,1.009889133274555206e-02,1.023828145116567612e-02,9.885651990771293640e-03,1.085979118943214417e-02,1.827035248279571533e-01,1.071331370621919632e-02
4.522612988948822021e-01,1.156641356647014618e-02,4.447505474090576172e-01,1.006653532385826111e-02,1.018297206610441208e-02,9.915303438901901245e-03,1.062156073749065399e-02,1.475066989660263062e-01,4.408688750118017197e-03
4.773869216442108154e-01,1.103815250098705292e-02,4.455284178256988525e-01,1.003851275891065598e-02,1.013617496937513351e-02,9.939549490809440613e-03,1.043581869453191757e-02,1.184081509709358215e-01,2.813510596752166748e-03
5.025125741958618164e-01,1.070991158485412598e-02,4.460359215736389160e-01,1.001493167132139206e-02,1.009681168943643570e-02,9.959100745618343353e-03,1.029104460030794144e-02,9.435811638832092285e-02,2.134848618879914284e-03
5.276381969451904297e-01,1.049753185361623764e-02,4.463754296302795410e-01,1.000242307782173157e-02,1.006443798542022705e-02,9.974489919841289520e-03,1.017991360276937485e-02,6.307414919137954712e-02,1.774042611941695213e-03
5.527638196945190430e-01,1.034514978528022766e-02,4.466253221035003662e-01,1.000811532139778137e-02,1.003554556518793106e-02,9.987553581595420837e-03,1.008723024278879166e-02,3.455011546611785889e-02,1.536594238132238388e-03
5.778894424438476562e-01,1.024606637656688690e-02,4.467906951904296875e-01,1.002036314457654953e-02,1.001369580626487732e-02,9.996954351663589478e-03,1.002122834324836731e-02,2.283185534179210663e-02,1.392655191011726856e-03
