time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
2.512562833726406097e-02,1.120322585105895996e+00,1.184211254119873047e+00,9.952260971069335938e+00,8.894736529327929020e-04,9.934158325195312500e+00,3.749185125343501568e-04,7.985327720642089844e+00,9.787412285804748535e-01
5.025125667452812195e-02,1.147624373435974121e+00,1.319646716117858887e+00,9.950353622436523438e+00,8.347180119017139077e-05,9.927841186523437500e+00,4.643103966373018920e-05,8.513780593872070312e+00,9.888495802879333496e-01
7.537688314914703369e-02,1.203336715698242188e+00,1.610856890678405762e+00,9.939228057861328125e+00,5.092429637443274260e-05,9.930464744567871094e+00,3.925828059436753392e-05,7.736029148101806641e+00,9.907723665237426758e-01
1.005025133490562439e-01,1.305672883987426758e+00,1.861629486083984375e+00,9.931392669677734375e+00,5.505875378730706871e-05,9.930644035339355469e+00,4.410838664625771344e-05,6.811102390289306641e+00,9.914973974227905273e-01
1.256281435489654541e-01,1.472373604774475098e+00,1.957819819450378418e+00,9.924745559692382812e+00,6.851109355920925736e-05,9.929744720458984375e+00,4.874498335993848741e-05,5.770350933074951172e+00,9.918501377105712891e-01
1.507537662982940674e-01,1.622328758239746094e+00,1.987349390983581543e+00,9.918387413024902344e+00,1.177513768197968602e-04,9.928361892700195312e+00,5.232953481026925147e-05,4.725085735321044922e+00,9.920477867126464844e-01
1.758794039487838745e-01,1.477109074592590332e+00,1.995418787002563477e+00,9.927074432373046875e+00,7.803019046783447266e+00,9.932737350463867188e+00,5.518274338101036847e-05,4.200065612792968750e+00,9.921992421150207520e-01
2.010050266981124878e-01,1.413772463798522949e+00,1.991311430931091309e+00,9.935172080993652344e+00,9.757040023803710938e+00,9.939228057861328125e+00,5.634822082356549799e-05,3.796459674835205078e+00,9.921774268150329590e-01
2.261306494474411011e-01,1.375954627990722656e+00,1.986510276794433594e+00,9.934603691101074219e+00,9.838039398193359375e+00,9.937741279602050781e+00,5.706201409338973463e-05,3.445351362228393555e+00,9.922465085983276367e-01
2.512562870979309082e-01,1.313568830490112305e+00,1.983796119689941406e+00,9.934868812561035156e+00,9.844928741455078125e+00,9.936793327331542969e+00,5.751458957092836499e-05,3.194114685058593750e+00,9.922891259193420410e-01
2.763819098472595215e-01,1.242539167404174805e+00,1.981284737586975098e+00,9.935939788818359375e+00,9.861223220825195312e+00,9.936470985412597656e+00,5.777461774414405227e-05,3.032192707061767578e+00,9.923051595687866211e-01
3.015075325965881348e-01,1.170760393142700195e+00,1.976577997207641602e+00,9.937115669250488281e+00,9.870762825012207031e+00,9.936337471008300781e+00,5.793085438199341297e-05,2.931584596633911133e+00,9.923005104064941406e-01
3.266331553459167480e-01,1.111929655075073242e+00,1.970278024673461914e+00,9.938129425048828125e+00,9.875961303710937500e+00,9.936252593994140625e+00,5.801287989015690982e-05,2.884340524673461914e+00,9.922692179679870605e-01
3.517588078975677490e-01,1.055295944213867188e+00,1.963138461112976074e+00,9.940204620361328125e+00,9.881349563598632812e+00,9.935930252075195312e+00,5.805491309729404747e-05,2.861632347106933594e+00,9.921641945838928223e-01
