run,test_loss,best_val,Base,Mod,SBU,SBU_capped,Nuc_A,Am,Nuc_C,MOF_C,Met,LigH,Lig_minus,H_plus
mof8_transformer_lr1e-3_50ep,0.0005474133649840951,0.0005199943552725017,0.0019215933280065656,9.062147000804543e-06,0.0001590390456840396,2.242336813651491e-05,5.5677992349956185e-05,7.346180063905194e-05,2.2128608179627918e-05,0.00010365035268478096,,,,
mof12_transformer_lr1e-3_50ep,0.0005847818683832884,0.0005848264554515481,0.0024848715402185917,3.005017788382247e-06,5.016245268052444e-05,7.840652870072518e-06,2.738270632107742e-05,3.060239760088734e-05,3.4421347663737833e-05,6.116028089309111e-05,2.988380947499536e-05,0.0002353869058424607,0.00040347536560148,0.000168938931892626
mof8_gru_lr1e-3_50ep,0.0009152248385362327,0.0009305784478783607,0.0022885147482156754,4.128414730075747e-05,0.0003083067131228745,0.00011715408618329093,0.00027660359046421945,0.0003206053515896201,7.991922029759735e-05,0.0004112121241632849,,,,
mof12_gru_lr1e-3_50ep,0.0011372193694114685,0.0011570591013878584,0.0023187026381492615,4.524518226389773e-05,0.0003360141708981246,0.00012646029063034803,0.00032917503267526627,0.0003681514644995332,8.8381020759698e-05,0.0005051484331488609,0.00026061988319270313,0.00043481451575644314,0.0001902720396174118,0.0004907952970825136
mof12_mlp_lr1e-3_50ep,0.001161346910521388,0.00118815538007766,0.0021354344207793474,5.2684412366943434e-05,0.0003229662252124399,0.0001540449884487316,0.0003182830405421555,0.0004352832038421184,8.201410673791543e-05,0.0005427505238913,0.00026055320631712675,0.000495903252158314,0.00023383478401228786,0.00047883368097245693
mof8_mlp_lr1e-3_50ep,0.0015263109235092998,0.001888308790512383,0.004289774689823389,5.7719174947123975e-05,0.00038917106576263905,0.00014870490122120827,0.0005735002341680229,0.0004596117651090026,0.00014413964527193457,0.0005785319372080266,,,,
mof4_transformer_lr1e-3_50ep,0.002255229279398918,0.002375102136284113,0.0025393576361238956,0.0007077587069943547,,,,0.0004708823107648641,,0.0006226275581866503,,,,
mof6_transformer_lr1e-3_50ep,0.0036246359813958406,0.004954177886247635,0.0021981224417686462,0.0033617946319282055,0.0003653822641354054,,,0.0003459454164840281,2.701034100027755e-05,0.0001573513145558536,,,,
mof6_gru_lr1e-3_50ep,0.0052902307361364365,0.006515995599329472,0.0036032013595104218,0.0036765660624951124,0.0010319750290364027,,,0.0020382688380777836,8.924539724830538e-05,0.00035353959538042545,,,,
mof6_mlp_lr1e-3_50ep,0.006857951171696186,0.008033601567149162,0.005217015743255615,0.0036765660624951124,0.0006289654993452132,,,0.003959874622523785,0.0001621466944925487,0.0016791687812656164,,,,
mof4_mlp_lr1e-3_50ep,0.012210278771817684,0.013118567876517773,0.0034095922019332647,0.0029896709602326155,,,,0.009729632176458836,,0.003946362063288689,,,,
mof4_gru_lr1e-3_50ep,0.012396443635225296,0.013388190418481827,0.003337282920256257,0.0023138420656323433,,,,0.009818658232688904,,0.005710528697818518,,,,
