run,nrmse,Met,LigH,Lig_minus,H_plus,Base,Mod,SBU,SBU_capped,Nuc_A,Am,Nuc_C,MOF_C
A6_baseline_n10,0.013637,0.004307,0.004265,0.011089,0.003986,0.010605,0.004211,0.014605,0.013554,0.028898,0.005311,0.018122,0.044689
A5_unbounded_n10,0.021212,0.004868,0.004473,0.009423,0.004497,0.007572,0.008332,0.035330,0.026816,0.025345,0.037104,0.024642,0.066142
A2_sample_theta_n10,0.024671,0.008196,0.007584,0.011120,0.007796,0.009074,0.018090,0.035082,0.058223,0.023977,0.033657,0.026137,0.057120
A7_l1reg_n10,0.026718,0.009411,0.009064,0.008773,0.009246,0.011155,0.011751,0.031345,0.037822,0.034255,0.040043,0.025511,0.092237
A5_unbounded_first_last_n10,0.079737,0.015179,0.013689,0.016912,0.014370,0.006219,0.010687,0.056354,0.034394,0.119834,0.076080,0.512202,0.080926
A6_baseline_n3,0.086117,0.032313,0.033584,0.034447,0.032530,0.024903,0.062721,0.060155,0.358893,0.059126,0.129951,0.152002,0.052774
A2_sample_theta_n3,0.093733,0.027187,0.032413,0.035817,0.029378,0.023172,0.072902,0.059212,0.417151,0.049145,0.127795,0.086756,0.163872
A9_neural_ode_correction_n10,0.110926,0.070502,0.021113,0.167606,0.037188,0.054903,0.047241,0.108727,0.177964,0.191830,0.029328,0.291053,0.133658
A6_baseline_first_last_n10,0.111845,0.033110,0.026771,0.110038,0.025240,0.038745,0.048742,0.184990,0.156876,0.258241,0.177968,0.222108,0.059306
A7_l1reg_first_last_n10,0.113199,0.034203,0.025093,0.115306,0.024500,0.041639,0.049868,0.189647,0.160498,0.263560,0.176859,0.228929,0.048281
A6_baseline_first_last_n3,0.119267,0.027188,0.033733,0.058130,0.029021,0.031915,0.025757,0.149203,0.147383,0.197479,0.185012,0.288293,0.258093
A7_l1reg_first_last_n3,0.119415,0.048920,0.046166,0.042865,0.047135,0.035251,0.049768,0.096135,0.284779,0.217300,0.120740,0.231047,0.212872
A5_unbounded_n3,0.121555,0.019416,0.021319,0.033287,0.019619,0.032610,0.023379,0.134997,0.133776,0.139001,0.138830,0.216432,0.545994
A2_sample_theta_first_last_n10,0.140912,0.042883,0.026870,0.141626,0.028700,0.052824,0.057740,0.239467,0.185832,0.297283,0.217754,0.311671,0.088291
A2_sample_theta_first_last_n3,0.141998,0.025583,0.033801,0.056097,0.028453,0.035477,0.076467,0.150445,0.437550,0.198761,0.236427,0.289632,0.135287
